#######################
#######  JAPAN  #######
#######################
e_japan;Japan;Japan;;;;;;;;;;;;x
e_japan_adj;Japanese;Japanese;;;;;;;;;;;;x
d_shinto;Shinto Head of Religion;Japan;;;;;;;;;;;;x
k_japan;Japan;Japan;;;;;;;;;;;;x
k_japan_adj;Japanese;Japan;;;;;;;;;;;;x
d_kinai;Kinai;;;;;;;;;;;;;x
c_yamashiro;Yamashiro;;;;;;;;;;;;;x
b_yamashiro;Yamashiro;;;;;;;;;;;;;x
b_hiei;Hiei;;;;;;;;;;;;;x
b_kyoto;Kyoto;;;;;;;;;;;;;x
b_ryoan-ji;Ryoan-ji;;;;;;;;;;;;;x
b_nara;Nara;;;;;;;;;;;;;x
b_todai-ji;Todai-ji;;;;;;;;;;;;;x
b_to-ji;To-ji;;;;;;;;;;;;;x
c_yamato;Yamato;;;;;;;;;;;;;x
b_wakigami;Wakigami;;;;;;;;;;;;;x
b_katsujo;Katsujo;;;;;;;;;;;;;x
b_heijo-kyo;Heijo-kyo;;;;;;;;;;;;;x
b_takaichi;Takaichi;;;;;;;;;;;;;x
b_omiwa-jinja;Omiwa-jinja;;;;;;;;;;;;;x
b_ichinomiya;Ichinomiya;;;;;;;;;;;;;x
c_kii;Kii;;;;;;;;;;;;;x
b_wakayama;Wakayama;;;;;;;;;;;;;x
b_kinokawa;Kinokawa;;;;;;;;;;;;;x
b_arida;Arida;;;;;;;;;;;;;x
b_tanabe;Tanabe;;;;;;;;;;;;;x
d_tokaido;Tokaido;;;;;;;;;;;;;x
c_musashi;Musashi;;;;;;;;;;;;;x
b_fuchu;Fuchu;;;;;;;;;;;;;x
b_musashino;Musashino;;;;;;;;;;;;;x
b_edo;Edo;;;;;;;;;;;;;x
b_kokubunji;Kokubunji;;;;;;;;;;;;;x
b_odawara;Odawara;;;;;;;;;;;;;x
b_kanda;Kanda;;;;;;;;;;;;;x
c_hitachi;Hitachi;;;;;;;;;;;;;x
b_ishioka;Ishioka;;;;;;;;;;;;;x
b_kashima;Kashima;;;;;;;;;;;;;x
b_mito;Mito;;;;;;;;;;;;;x
c_totomi;Totomi;;;;;;;;;;;;;x
b_totomi;Totomi;;;;;;;;;;;;;x
b_shizouka;Shizouka;;;;;;;;;;;;;x
b_iwata;Iwata;;;;;;;;;;;;;x
b_hamamatsu;Hamamatsu;;;;;;;;;;;;;x
c_ise;Ise;;;;;;;;;;;;;x
b_ise;Ise;;;;;;;;;;;;;x
b_seishu;Seishu;;;;;;;;;;;;;x
b_tsu;Tsu;;;;;;;;;;;;;x
b_kuwana;Kuwana;;;;;;;;;;;;;x
