#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
emperor_chinese;Huángdì;Huángdì;;;;;;;;;;;;x
emperor_female_chinese;Nü-Huang;Nü-Huang;;;;;;;;;;;;x
king_chinese;Wáng;Wáng;;;;;;;;;;;;x
king_city_chinese;Temporary Court;Temporary Court;;;;;;;;;;;;x
kingdom_of_chinese;State of;State of;;;;;;;;;;;;x
duke_chinese;Gong;Gong;;;;;;;;;;;;x
duke_city_chinese;Gong;Gong;;;;;;;;;;;;x
duchy_of_chinese;Circuit of;Circuit of;;;;;;;;;;;;x
duchy_chinese;Circuit;Circuit;;;;;;;;;;;;x
count_chinese;Bó;Bó;;;;;;;;;;;;x
count_city_chinese;Bó;Trie-cju;;;;;;;;;;;;x
county_of_chinese;Province of;Province of;;;;;;;;;;;;x
county_chinese;Province;Province;;;;;;;;;;;;x
baron_chinese;Nan;Nan;;;;;;;;;;;;x
baron_city_chinese;Trie-ghuenh;Trie-ghuenh;;;;;;;;;;;;x
barony_of_chinese;County of;County of;;;;;;;;;;;;x
title_regent_chinese;Regent;Regent;;;;;;;;;;;;x
title_ruler_consort_female_chinese;Empress Consort;Empress Consort;;;;;;;;;;;;x
baron_title_ruler_consort_female_chinese;Pyo-njin;Pyo-njin;;;;;;;;;;;;x
count_title_ruler_consort_female_chinese;Pyo-njin;Pyo-njin;;;;;;;;;;;;x
duke_title_ruler_consort_female_chinese;Queen Consort;Queen Consort;;;;;;;;;;;;x
emperor_title_ruler_consort_female_chinese;Huánghòu;Huánghòu;;;;;;;;;;;;x
king_title_ruler_consort_female_chinese;Nü-Wang;Nü-Wang;;;;;;;;;;;;x
title_queen_mother_chinese;Empress Dowager;Empress Dowager;;;;;;;;;;;;x
emperor_title_queen_mother_female_chinese;Empress Dowager;Empress Dowager;;;;;;;;;;;;x
title_prince_chinese;Prince;Prince;;;;;;;;;;;;x
title_prince_female_chinese;Gongzhu;Gongzhu;;;;;;;;;;;;x
#####################################################à
job_chancellor_chinese;Guan Shàngshàng;Guan Shàngshàng;;;;;;;;;;;;x
job_marshal_chinese;Duhu;Duhu;;;;;;;;;;;;x
job_treasurer_chinese;Guan Shàng;Guan Shàng;;;;;;;;;;;;x
job_spiritual_chinese;Guan Shi;Guan Shi;;;;;;;;;;;;x
job_spymaster_chinese;Guan Cóng; ;;;;;;;;;;;;x
#################
MUSHI;Mùshi;Mùshi;;;;;;;;;;;;x
STAT_PIETY_DAO;Dao;Dao;;;;;;;;;;;;x
STAT_PIETY_DESC_DAO;Dao is used symbolically in its sense of 'way' as the 'right' or 'proper' way of existence, or in the context of ongoing practices of attainment or of the full coming into being, or the state of enlightenment or spiritual perfection that is the outcome of some practices or a certain lifestyle.;Dao;;;;;;;;;;;;x
#################
factions;Factions;Factions;;;;;;;;;;;;x
factions_desc;The Chinese government is characterized by the bitter struggle between the dominant factions at court. A wise ruler should choose when it's time to take sides with one or another.;Factions;;;;;;;;;;;;x
factions_law_0;Bureaucrats;Bureaucrats;;;;;;;;;;;;x
factions_law_0_desc;Representing the Confucian Bureaucracy. The Bureaucracy are really quite interestend in perpetuating themselves. The bureaucrat will support building new structures and earning money.;;;;;;;;;;;;;x
factions_law_1;Temple;Temple;;;;;;;;;;;;x
factions_law_1_desc;Representing various Taoist orders. The Temples are especially interested in persecuting foreign religions, and in and expansion of the boundaries. Usually the Chinese military is formally composed mainly of mercenaries, the military governors loyal to the faction of the temple will provide to ensure a coscripted army.;;;;;;;;;;;;;x
factions_law_2;Eunuchs;Eunuchs;;;;;;;;;;;;x
factions_law_2_desc;The imperial household administrator who vied to get the ear of the Emperor. The Eunuchs are not interested in future generations and instead focus on the now. They are an excellent middle way.;;;;;;;;;;;;;x
