#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
emperor_khitan;Huángdì;Huángdì;;;;;;;;;;;;x
emperor_female_khitan;Nü-Huang;Nü-Huang;;;;;;;;;;;;x
king_khitan;Gurkhan;Wáng;;;;;;;;;;;;x
king_city_khitan;Temporary Court;Temporary Court;;;;;;;;;;;;x
duke_khitan;Gong;Gong;;;;;;;;;;;;x
duke_city_khitan;Gong;Gong;;;;;;;;;;;;x
duchy_of_khitan;Circuit of;Circuit of;;;;;;;;;;;;x
count_khitan;Bó;Bó;;;;;;;;;;;;x
count_city_khitan;Bó;Trie-cju;;;;;;;;;;;;x
county_of_khitan;Province of;Province of;;;;;;;;;;;;x
baron_khitan;Kung;Kung;;;;;;;;;;;;x
baron_city_khitan;Trie-ghuenh;Trie-ghuenh;;;;;;;;;;;;x
barony_of_khitan;County of;County of;;;;;;;;;;;;x
title_regent_khitan;Regent;Regent;;;;;;;;;;;;x
title_ruler_consort_female_khitan;Empress Consort;Empress Consort;;;;;;;;;;;;x
baron_title_ruler_consort_female_khitan;Pyo-njin;Pyo-njin;;;;;;;;;;;;x
count_title_ruler_consort_female_khitan;Pyo-njin;Pyo-njin;;;;;;;;;;;;x
duke_title_ruler_consort_female_khitan;Queen Consort;Queen Consort;;;;;;;;;;;;x
emperor_title_ruler_consort_female_khitan;Huánghòu;Huánghòu;;;;;;;;;;;;x
king_title_ruler_consort_female_khitan;Nü-Wang;Nü-Wang;;;;;;;;;;;;x
title_queen_mother_khitan;Empress Dowager;Empress Dowager;;;;;;;;;;;;x
emperor_title_queen_mother_female_khitan;Empress Dowager;Empress Dowager;;;;;;;;;;;;x
title_prince_khitan;Prince;Prince;;;;;;;;;;;;x
title_prince_female_khitan;Gongzhu;Gongzhu;;;;;;;;;;;;x
#####################################################à
job_chancellor_khitan;Taishi;Guan Shàngshàng;;;;;;;;;;;;x
job_marshal_khitan;Duhu;Duhu;;;;;;;;;;;;x
job_treasurer_khitan;Guan Shàng;Guan Shàng;;;;;;;;;;;;x
job_spiritual_khitan;Guan Shi;Guan Shi;;;;;;;;;;;;x
job_spymaster_khitan;Guan Cóng; ;;;;;;;;;;;;x
