#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
temple_emperor_tibeto-burman;Dalai Lama;Dalai Lama;Dalai Lama;;Dalai Lama;;;;;;;;;x
temple_king_tibeto-burman;Panchen Lama;Panchen Lama;Panchen Lama;;Panchen Lama;;;;;;;;;x
temple_duke_tibeto-burman;Tai Situpa;Tai Situpa;Tai Situpa;;Tai Situpa;;;;;;;;;x
temple_count_tibeto-burman;Trizin;Trizin;Trizin;;Trizin;;;;;;;;;x
temple_baron_tibeto-burman;Lama;Lama;Lama;;Lama;;;;;;;;;x
temple_baron_title_ruler_consort_female_tibeto-burman;Bdag-mo;Bdag-mo;Bdag-mo;;Bdag-mo;;;;;;;;;x
city_baron_tibeto-burman;Dpon-po;Dpon-po;Dpon-po;;Dpon-po;;;;;;;;;x
city_baron_female_tibeto-burman;Dpon-mo;Dpon-mo;Dpon-mo;;Dpon-mo;;;;;;;;;x
emperor_tibeto-burman;Tsenpo;Tsenpo;Tsenpo;;Tsenpo;;;;;;;;;x
emperor_female_tibeto-burman;Tsenmo;Tsenmo;Tsenmo;;Tsenmo;;;;;;;;x;
empire_of_tibeto-burman;Tsen of;Tsen of;Tsen of;;Tsen of;;;;;;;;;x
empire_tibeto-burman;Tsen;Tsen;Tsen;;Tsen;;;;;;;;;x
temple_empire_of_tibeto-burman;Khang of;Khang of;Khang of;;Khang of;;;;;;;;;x
king_tibeto-burman;Tsenpo;Tsenpo;Tsenpo;;Tsenpo;;;;;;;;;x
king_female_tibeto-burman;Tsenmo;Tsenmo;Tsenmo;;Tsenmo;;;;;;;;x;
kingdom_of_tibeto-burman;Tsen of;Tsen of;Tsen of;;Tsen of;;;;;;;;;x
kingdom_tibeto-burman;Tsen;Tsen;Tsen;;Tsen;;;;;;;;;x
temple_kingdom_of_tibeto-burman;Khang of;Khang of;Khang of;;Khang of;;;;;;;;;x
duke_tibeto-burman;rJe;rJe;rJe;;rJe;;;;;;;;;x
duke_female_tibeto-burman;Khri bTsun;Khri bTsun;Khri bTsun;;Khri bTsun;;;;;;;;;x
duchy_of_tibeto-burman;Mnga' Sde of;Mnga' Sde of;Mnga' Sde of;;Mnga' Sde of;;;;;;;;;x
duchy_tibeto-burman;Mnga' Sde;Mnga' Sde;Mnga' Sde;;Mnga' Sde;;;;;;;;;x
temple_duchy_of_tibeto-burman;Pho-dgon of;Pho-dgon of;Pho-dgon of;;Pho-dgon of;;;;;;;;;x
temple_duchy_tibeto-burman;Pho-dgon;Pho-dgon;Pho-dgon;;Pho-dgon;;;;;;;;;x
count_tibeto-burman;Rgyal-po;Rgyal-po;Rgyal-po;;Rgyal-po;;;;;;;;;x
count_female_tibeto-burman;Rgyal-mo;Rgyal-mo;Rgyal-mo;;Rgyal-mo;;;;;;;;;x
county_of_tibeto-burman;Sa-Khul of;Sa-Khul of;Sa-Khul of;;Sa-Khul of;;;;;;;;;x
county_tibeto-burman;Sa-Khul;Sa-Khul;Sa-Khul;;Sa-Khul;;;;;;;;;x
temple_county_of_tibeto-burman;Gönba of;Gönba of;Gönba of;;Gönba of;;;;;;;;;x
temple_county_tibeto-burman;Gönba;Gönba;Gönba;;Gönba;;;;;;;;;x
baron_tibeto-burman;Bdag-po;Bdag-po;Bdag-po;;Bdag-po;;;;;;;;;x
baron_female_tibeto-burman;Bdag-mo;Bdag-mo;Bdag-mo;;Bdag-mo;;;;;;;;;x
barony_of_tibeto-burman;Mkhar of;Mkhar of;Mkhar of;;Mkhar of;;;;;;;;;x
temple_barony_of_tibeto-burman;Ling of;Ling of;Ling of;;Ling of;;;;;;;;;x
city_barony_of_tibeto-burman;Grongkhyer of;Grongkhyer of;Grongkhyer of;;Grongkhyer of;;;;;;;;;x
title_regent_tibeto-burman;Kalön;Kalön;Kalön;;Kalön;;;;;;;;;x
title_ruler_consort_tibeto-burman;Tsenpo;Tsenpo;Tsenpo;;Tsenpo;;;;;;;;;x
title_ruler_consort_female_tibeto-burman;Tsenmo;Tsenmo;Tsenmo;;Tsenmo;;;;;;;;x;
baron_title_ruler_consort_tibeto-burman;Bdag-po;Bdag-po;Bdag-po;;Bdag-po;;;;;;;;;x
baron_title_ruler_consort_female_tibeto-burman;Bdag-mo;Bdag-mo;Bdag-mo;;Bdag-mo;;;;;;;;;x
count_title_ruler_consort_tibeto-burman;Rgyal-po;Rgyal-po;Rgyal-po;;Rgyal-po;;;;;;;;;x
count_title_ruler_consort_female_tibeto-burman;Rgyal-mo;Rgyal-mo;Rgyal-mo;;Rgyal-mo;;;;;;;;;x
duke_title_ruler_consort_tibeto-burman;rJe;rJe;rJe;;rJe;;;;;;;;;x
duke_title_ruler_consort_female_tibeto-burman;Khri bTsun;Khri bTsun;Khri bTsun;;Khri bTsun;;;;;;;;;x
emperor_title_ruler_consort_tibeto-burman;Tsenpo;Tsenpo;Tsenpo;;Tsenpo;;;;;;;;;x
emperor_title_ruler_consort_female_tibeto-burman;Tsenmo;Tsenmo;Tsenmo;;Tsenmo;;;;;;;;x;
title_queen_mother_tibeto-burman;Tsen-ama;Tsen-ama;Tsen-ama;;Tsen-ama;;;;;;;;;x
emperor_title_queen_mother_female_tibeto-burman;Tsen-ama;Tsen-ama;Tsen-ama;;Tsen-ama;;;;;;;;;x
