emperor_viet;Hoang de;Hoang de;;;;;;;;;;;;x
emperor_female_viet;Hoang hau;Hoang hau;;;;;;;;;;;;x
king_viet;Vuong;Vuong;;;;;;;;;;;;x
king_female_viet;Vuong;Vuong;;;;;;;;;;;;x
duke_viet;Quan Cong;Quan Cong;;;;;;;;;;;;x
duke_female_viet;Quan Cong;Quan Cong;;;;;;;;;;;;x
duchy_of_viet;Quan Cong of;Quan Cong of;;;;;;;;;;;;x
duchy_viet;Quan Cong;Quan Cong;;;;;;;;;;;;x
count_viet;Ba;Ba;;;;;;;;;;;;x
count_female_viet;Ba;Ba;;;;;;;;;;;;x
county_of_viet;Ba of;Ba of;;;;;;;;;;;;x
county_viet;Ba;Ba;;;;;;;;;;;;x
baron_viet;Nam;Nam;;;;;;;;;;;;x
baron_female_viet;Nam;Nam;;;;;;;;;;;;x
barony_of_viet;Nam of;Nam of;;;;;;;;;;;;x
title_regent_viet;Regent;Regent;;;;;;;;;;;;x
title_ruler_consort_viet;Vuong;Vuong;;;;;;;;;;;;x
title_ruler_consort_female_viet;Vuong;Vuong;;;;;;;;;;;;x
baron_title_ruler_consort_viet;Nam;Nam;;;;;;;;;;;;x
baron_title_ruler_consort_female_viet;Nam;Nam;;;;;;;;;;;;x
count_title_ruler_consort_viet;Ba;Ba;;;;;;;;;;;;x
count_title_ruler_consort_female_viet;Ba;Ba;;;;;;;;;;;;x
duke_title_ruler_consort_viet;Quan Cong;Quan Cong;;;;;;;;;;;;x
duke_title_ruler_consort_female_viet;Quan Cong;Quan Cong;;;;;;;;;;;;x
emperor_title_ruler_consort_viet;Hoang de;Hoang de;;;;;;;;;;;;x
emperor_title_ruler_consort_female_viet;Hoang hau;Hoang hau;;;;;;;;;;;;x
title_queen_mother_viet;Vuong me;Vuong me;;;;;;;;;;;;x
emperor_title_queen_mother_female_viet;Hoang hau me;Hoang hau me;;;;;;;;;;;;x
title_prince_viet;Cong;Cong;;;;;;;;;;;;x
title_prince_female_viet;Cong Chua;Cong Chua;;;;;;;;;;;;x
