RULE_GROUP_TIANXIA;Tianxia;;;;;;;;;;;;;x
RULE_DUCHY_CREATION_RESTRICTIONS;Duchy creation restrictions;;;;;;;;;;;;;x
RULE_DUCHY_CREATION_RESTRICTIONS_DISABLED;Disabled;;;;;;;;;;;;;x
RULE_DUCHY_CREATION_RESTRICTIONS_DISABLED_DESC;There are no special restrictions on duchy creation;;;;;;;;;;;;;x
RULE_DUCHY_CREATION_RESTRICTIONS_ENABLED;Enabled;;;;;;;;;;;;;x
RULE_DUCHY_CREATION_RESTRICTIONS_ENABLED_DESC;Vassals of Chinese or Eastern Imperial realms are only able to create duchies in certain situations.;;;;;;;;;;;;;x
RULE_KINGDOM_CREATION_RESTRICTIONS;Kingdom creation restrictions;;;;;;;;;;;;;x
RULE_KINGDOM_CREATION_RESTRICTIONS_DISABLED;Disabled;;;;;;;;;;;;;x
RULE_KINGDOM_CREATION_RESTRICTIONS_DISABLED_DESC;There are no special restrictions on kingdom creation;;;;;;;;;;;;;x
RULE_KINGDOM_CREATION_RESTRICTIONS_ENABLED;Enabled;;;;;;;;;;;;;x
RULE_KINGDOM_CREATION_RESTRICTIONS_ENABLED_DESC;Vassals of Chinese, Eastern Japanese, and Divine Imperial realms are only able to create kingdoms in certain situations.;;;;;;;;;;;;;x

RULE_GROUP_TIANXIA_CHINA;Tianxia - China;;;;;;;;;;;;;xRULE_CHINESE_IMPLOSION;Chinese Collapse;;;;;;;;;;;;;x
RULE_CHINESE_IMPLOSION_ALLOWED;Allowed;;;;;;;;;;;;;x
RULE_CHINESE_IMPLOSION_ALLOWED_DESC;If a Chinese Imperial China is usurped from within by another dynasty eligible for Chinese Imperial vassals might break off, and could potentially even claim the Mandate of Heaven.;;;;;;;;;;;;;x
RULE_CHINESE_IMPLOSION_OFF;Disallowed;;;;;;;;;;;;;x
RULE_CHINESE_IMPLOSION_OFF_DESC;Nothing special happens if a Chinese Imperial China is usurped from within by another dynasty eligible for Chinese Imperial.;;;;;;;;;;;;;x
RULE_IMPERIAL_MARRIAGES;§BJade Dragon:§! Imperial Marriages;;;;;;;;;;;;;x
RULE_IMPERIAL_MARRIAGES_DISABLED;Disabled;;;;;;;;;;;;;x
RULE_IMPERIAL_MARRIAGES_DISABLED_DESC;Female relatives of a Chinese Imperial Emperor of China can be married normally. The "Request Imperial Marriage" interactions are disnabled.;;;;;;;;;;;;;x
RULE_IMPERIAL_MARRIAGES_ENABLED;Enabled;;;;;;;;;;;;;x
RULE_IMPERIAL_MARRIAGES_ENABLED_DESC;Female relatives of a Chinese Imperial Emperor of China cannot be married normally. The "Request Imperial Marriage" interactions are enabled.;;;;;;;;;;;;;x
RULE_JURCHEN_DOOMSTACKS;Jurchen event troops;;;;;;;;;;;;;x
RULE_JURCHEN_DOOMSTACKS_DISABLED;Disabled;;;;;;;;;;;;;x
RULE_JURCHEN_DOOMSTACKS_DISABLED_DESC;Forming a Chinese Imperial empire with the special Jurchen decision does not spawn a large number of event troops.;;;;;;;;;;;;;x
RULE_JURCHEN_DOOMSTACKS_ENABLED;Enabled;;;;;;;;;;;;;x
