#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Easter Eggs
nick_the_lever_puller;the Lever-Puller;;;;;;;;;;;;;x
nick_the_successor;the Successor;;;;;;;;;;;;;x
# Dragonslayers
nick_the_dragonslayer;the Dragonslayer;;;;;;;;;;;;;x
nick_oakenshield;Oakenshield;;;;;;;;;;;;;x
nick_of_lydda;of Lydda;;;;;;;;;;;;;x
nick_of_the_glorious_goods;of the Glorious Goods;;;;;;;;;;;;;x
nick_of_the_white_lotus;of the White Lotus;;;;;;;;;;;;;x
nick_the_blade;the Blade;;;;;;;;;;;;;x
nick_the_charming;the Charming;;;;;;;;;;;;;x
nick_the_crusader_special;the Crusader;;;;;;;;;;;;;x
nick_the_goliath;the Goliath;;;;;;;;;;;;;x
nick_the_huntress;the Huntress;;;;;;;;;;;;;x
nick_the_of_the_black_arrow;of the Black Arrow;;;;;;;;;;;;;x
nick_the_squire;the Squire;;;;;;;;;;;;;x
nick_the_wyld;the Wyld;;;;;;;;;;;;;x
# WotRS
nick_sword_of_christ;the Sword of Christ;;;;;;;;;;;;;x
nick_sword_of_serpents;the Sword of Serpents;;;;;;;;;;;;;x
nick_sword_of_the_dragon;the Sword of the Dragon;;;;;;;;;;;;;x
nick_sword_of_the_shifting_sands;the Sword of the Shifting Sands;;;;;;;;;;;;;x
nick_sword_of_the_steppes;the Sword of the Steppes;;;;;;;;;;;;;x
nick_sword_of_winter;the Sword of Winter;;;;;;;;;;;;;x
# Historical or history-adjacent
nick_ambiguous;Ambiguous [This.GetOnlyDynastyName];;;;;;;;;;;;;x
nick_blind;Blind;;;;;;;;;;;;;x
nick_dokuganryu;Dokuganryu;;;;;;;;;;;;;x
nick_fledgling_phoenix;Fledgling Phoenix;;;;;;;;;;;;;x
nick_flying_general;Flying General;;;;;;;;;;;;;x
nick_flying_shadow;Flying Shadow;;;;;;;;;;;;;x
nick_general_of_earth;General of Earth;;;;;;;;;;;;;x
nick_general_of_heaven;General of Heaven;;;;;;;;;;;;;x
nick_general_of_the_people;General of the People;;;;;;;;;;;;;x
nick_hachimantaro;Hachimantaro;;;;;;;;;;;;;x
nick_ichi_no_hito;Ichi no Hito;;;;;;;;;;;;;x
nick_iron_arm;Iron Arm;;;;;;;;;;;;;x
nick_kensei;Kensei;;;;;;;;;;;;;x
nick_lord_of_the_magnificient_beard;Lord of the Magnificient Beard;;;;;;;;;;;;;x
nick_master_black_horn;Master Black Horn;;;;;;;;;;;;;x
nick_nanoka_no_kampaku;Nanoka no Kampaku;;;;;;;;;;;;;x
nick_nihongi_no_tsubone;Nihongi no tsubone;;;;;;;;;;;;;x
nick_one_eyed;One-Eyed;;;;;;;;;;;;;x
nick_peacemaking_son_of_heaven;the Peacemaking Son of Heaven;;;;;;;;;;;;;x
nick_remote_joy;Remote Joy;;;;;;;;;;;;;x
nick_scoundrel;Scoundrel;;;;;;;;;;;;;x
nick_sparrow;Sparrow;;;;;;;;;;;;;x
nick_the_beautiful_youth;the Beautiful Youth;;;;;;;;;;;;;x
nick_the_blue_faced_beast;the Blue-Faced Beast;;;;;;;;;;;;;x
nick_the_crouching_dragon;the Crouching Dragon;;;;;;;;;;;;;x
nick_the_divine_child;the Divine Child;;;;;;;;;;;;;x
nick_the_double_headed_serpent;the Double-headed Serpent;;;;;;;;;;;;;x
nick_the_dragon_in_the_clouds;the Dragon in the Clouds;;;;;;;;;;;;;x
nick_the_dragon_king;the Dragon King;;;;;;;;;;;;;x
nick_the_dragon_of_capital;the Dragon of [Root.Capital.GetName];;;;;;;;;;;;;x
nick_the_featherless_arrow;the Featherless Arrow;;;;;;;;;;;;;x
nick_the_file_folder;the File Folder;;;;;;;;;;;;;x
nick_the_fool;the Fool;;;;;;;;;;;;;x
nick_the_half_empeorr;the Half-Emperor;;;;;;;;;;;;;x
nick_the_impatient_vanguard;the Impatient Vanguard;;;;;;;;;;;;;x
nick_the_little_conqueror;the Little Conqueror;;;;;;;;;;;;;x
nick_the_sleeping_dragon;the Sleeping Dragon;;;;;;;;;;;;;x
nick_the_splendid;the Splendid;;;;;;;;;;;;;x
nick_the_striking_hawk;the Striking Hawk;;;;;;;;;;;;;x
nick_the_tiger_of_capital;the Tiger of [Root.Capital.GetName];;;;;;;;;;;;;x
nick_the_twin_tailed_scorpion;the Twin-tailed Scorpion;;;;;;;;;;;;;x
nick_tiger_fool;Tiger Fool;;;;;;;;;;;;;x
nick_white_horse_general;White Horse General;;;;;;;;;;;;;x
nick_white_tiger;White Tiger;;;;;;;;;;;;;x
# Kitsune
nick_of_the_nine_tails;the Nine-Tailed Fox;;;;;;;;;;;;;x
# Ainu child (nick)names
nick_ayay;Ayay;;;;;;;;;;;;;x
nick_poyshi;Poyshi;;;;;;;;;;;;;x
nick_shion;Shion;;;;;;;;;;;;;x
nick_shipo;Shipo;;;;;;;;;;;;;x
# Mythology-inspired
nick_the_azure_dragon;the Azure Dragon;;;;;;;;;;;;;x
nick_the_black_tortoise;the Black Tortoise;;;;;;;;;;;;;x
nick_the_black_turtle;the Black Turtle;;;;;;;;;;;;;x
nick_the_jade_dragon;the Jade Dragon;;;;;;;;;;;;;x
nick_the_oni;the Oni;;;;;;;;;;;;;x
nick_the_vermillion_bird;the Vermillion Bird;;;;;;;;;;;;;x
nick_the_white_tiger;the White Tiger;;;;;;;;;;;;;x
nick_the_yellow_dragon;the Yellow Dragon;;;;;;;;;;;;;x
# Misc
nick_the_shirabyoshi;the Shirabyoshi;;;;;;;;;;;;;x
nick_the_hero_of_prov;the [Root.GetHeroHeroine] of [Root.HeroProv.GetName];;;;;;;;;;;;;x
