EVTTITLE_SRI_2;Lost at Sea;;;;;;;;;;;;;x
EVTDESC_SRI_2;A wealthy Chinese merchant by the name of Ma He recently left Guangzhou with a large fleet of ships, sailing in the direction of the Ma-i-an Archipelago on what should have been a fairly ordinary voyage. However, rumor has it that he has yet to arrive in the archipelago, and where the merchant's fleet has ended up is unclear.\n\nA few sailors aboard other ships that recently have returned from the archipelago have claimed that they witnessed a large number of ship heading further east, directly towards a brewing storm, though many suspect that they simply are telling tall tales in the hopes of getting free drinks at whichever tavern they are visiting.;;;;;;;;;;;;;x
EVTOPTA_SRI_2;These things happen...;;;;;;;;;;;;;x
EVTTITLE_SRI_4;The Burning Empire;;;;;;;;;;;;;x
EVTDESC_SRI_4;Word has reached my court that a small ship with a half-starved crew made landfall in the easternmost reaches of Java recently. The sailors aboard claim to have been part of Ma He's fleet, and that they are all that remain.\n\nAccording to their rather fanciful tale, the fleet crossed the Eastern Ocean and arrived off the coast of a previously unknown continent. There, the fleet supposedly was captured by the forces of the "Lord of the Dawn", the ruler of a vast realm the sailors call the "Burning Empire". If the sailors are to be believed, they are all that remain from a much larger group that made a daring escape, and many ships had to be left behind.;;;;;;;;;;;;;x
EVTOPTA_SRI_4;They have clearly gone mad!;;;;;;;;;;;;;x
EVTTITLE_SRI_6;Trouble in the East;;;;;;;;;;;;;x
EVTDESC_SRI_6;The great archipelago east of Java is known to be home to many savage tribes that have little to offer to the civilized peoples of the world, and thus it is an area that few pay attention to and fewer care to visit.\n\nHowever, unusual rumors have recently started to spread from the achipelago, telling of a great tribe of warriors in enormous ships that supposedly have started attacking the people there, with great success. Where these invaders came from is somewhat unclear, though some whisper that they came across the Eastern Ocean.;;;;;;;;;;;;;x
EVTOPTA_SRI_6;A fantasy menace!;;;;;;;;;;;;;x
EVTOPTB_SRI_6;And so it begins...;;;;;;;;;;;;;x
EVTDESC_SRI_8;Today a small ship arrived from the eastern archipelago, bringing with it an emissary claiming to have been charged with negotiate on behalf of a group of refugees due to arrive before long. Apparently, they wish to settle in [papuan_refugee_province.GetName] as their homeland supposedly was conquered by the strangers from the east.;;;;;;;;;;;;;x
EVTOPTA_SRI_8;I suppose I can allow it...;;;;;;;;;;;;;x
EVTOPTB_SRI_8;There is no place for you here!;;;;;;;;;;;;;x
EVTDESC_SRI_9;"We will have to take [papuan_refugee_province.GetName] by force, then!" the emissary declares, turning and taking his leave.\n\nMy courtiers are rather too amused by this bold claim to try to stop the man, and he returns to his ship and sets sail.;;;;;;;;;;;;;x
EVTOPTA_SRI_9;Empty threats!;;;;;;;;;;;;;x
EVTDESC_SRI_11;A small band of warriors from the eastern archipelago arrived on the shores of [papuan_refugee_province.GetName] today, wasting no time before disembarking and launching an attack on the nearest settlement. Clearly, they could not accept their emissary's failure to secure the land peacefully.;;;;;;;;;;;;;x
EVTOPTA_SRI_11;To arms!;;;;;;;;;;;;;x
EVTDESC_SRI_12;Today a small ship bearing what passes for notables from among the people living in the eastern archipelago arrived at my court. They humbly request permission to stay, claiming that they have nowhere else to go as their homeland has been lost to the vast armies of the "Takers of Daughers".;;;;;;;;;;;;;x
EVTOPTA_SRI_12;You can stay in my court!;;;;;;;;;;;;;x
EVTOPTB_SRI_12;Be gone!;;;;;;;;;;;;;x
EVTTITLE_SRI_13;Strangers with Silver;;;;;;;;;;;;;x
EVTDESC_SRI_13;Several large ships have been making landfall in Japan and in various islands further south, carrying with them official-looking strangers escorted by large numbers of warriors that have come ashore demanding to speak to the local authorities.\n\nI granted an audience to one such group, and their leader formally requested permission to settle in [province_being_bought.GetName] in the future along with some of his countrymen, offering a substantial payment of silver in return. When asked how many settlers they would be bringing, the man claimed that I hardly need to concern myself with such details, repeating the offer of silver for land.;;;;;;;;;;;;;x
EVTOPTA_SRI_13;I can set aside some land for you...;;;;;;;;;;;;;x
EVTOPTB_SRI_13;My land is not for sale!;;;;;;;;;;;;;x
EVTDESC_SRI_15;The strange ships have departed, sailing south and east. The envoys did not look pleased when they departed, and some people that were nearby as the strangers boarded their ships claim to have heard one of the strangers say something about the region having to be left to the "Golden Hosts" of the "Lord of the Dawn", whatever that is supposed to mean.;;;;;;;;;;;;;x
EVTOPTA_SRI_15;I have a bad feeling about this...;;;;;;;;;;;;;x
EVTDESC_SRI_16;The strange ships have departed, sailing south and east. The envoys looked rather pleased when they departed, and some people that were nearby claim to have heard one of the strangers say something about there being no need for the "Golden Hosts" of the "Lord of the Dawn" to intervene in the region, whatever that is supposed to mean.;;;;;;;;;;;;;x
EVTOPTA_SRI_16;What a strange thing to say...;;;;;;;;;;;;;x
EVTDESC_SRI_18;Hundreds of menacing ships have arrived off the shores of [Root.GetName], spilling out numberless hordes of fierce warriors in strange garb. Their ululating battle cries can be heard for miles!;;;;;;;;;;;;;x
EVTOPTA_SRI_18;Throw them back into the sea!;;;;;;;;;;;;;x
EVTTITLE_SRI_19;Sunrise Invasion;;;;;;;;;;;;;x
EVTDESC_SRI_19;A mighty fleet consisting of hundreds of warships have arrived off the shores of [From.GetName], bringing one of the seemingly inexhaustable armies of the Sapa Inca with it, which made landfall shortly after dawn while letting out ululating battle cries.\n\nThough the invaders have proven unwilling to negotiate at this point, some of the refugees fleeing before their advance claim that they have proclaimed that they have been tasked with securing the entirety of what they have termed the "Sunset Isles" for their ruler, and unless they are stopped it is likely that their advance will continue even further.;;;;;;;;;;;;;x
EVTOPTA_SRI_19;They must be driven back!;;;;;;;;;;;;;x
EVTDESC_SRI_20;Hundreds of menacing ships have arrived off the shores of [Root.GetName], spilling out numberless hordes of fierce warriors in strange garb. Their ululating battle cries can be heard for miles!;;;;;;;;;;;;;x
EVTOPTA_SRI_20;Throw them back into the sea!;;;;;;;;;;;;;x
EVTTITLE_SRI_1;Sunrise Invasion;;;;;;;;;;;;;x
EVTDESC_SRI_21;A mighty fleet consisting of hundreds of warships have arrived off the shores of [From.GetName], bringing one of the seemingly inexhaustable armies of the Sapa Inca with it, along with priests and priestesses sworn to their heathen god Inti, whose followers supposedly have been victorious in every war fought in his name.\n\nMany of those who have fled before the invaders claim that their priestesses steal away the daughters of those that submit, supposedly to either be wedded off to foreign lords or sacrificed to the merciless god of the sun for the benefit of the whole empire.;;;;;;;;;;;;;x
EVTOPTA_SRI_21;They must be driven back!;;;;;;;;;;;;;x
EVTDESC_SRI_22;Hundreds of menacing ships have arrived off the shores of [Root.GetName], spilling out numberless hordes of fierce warriors in strange garb. Their ululating battle cries can be heard for miles!;;;;;;;;;;;;;x
EVTOPTA_SRI_22;Throw them back into the sea!;;;;;;;;;;;;;x
EVTTITLE_SRI_3;Sunrise Invasion;;;;;;;;;;;;;x
EVTDESC_SRI_23;A mighty fleet consisting of hundreds of warships have arrived off the shores of [From.GetName], bringing one of the seemingly inexhaustable armies of the Sapa Inca with it. These warriors have been heard letting out ululating cries and are dressed in strange armor made of painted wood and chequered cloth.\n\nThough the battle still rages, some of those fleeing from the invaders claim that they demand that all adopt their strange customs and their heathen religion, and that the people of the towns that refuse are put to death so that the area can be repopulated with Quechua settlers...;;;;;;;;;;;;;x
EVTOPTA_SRI_23;They must be driven back!;;;;;;;;;;;;;x
EVTTITLE_SRI_5;Sunrise Invasion;;;;;;;;;;;;;x
EVTDESC_SRI_25;Knowing of the mightly armies and immense fleets brought to bear by the Incan invaders further south, the rulers of various islands to the north of the Ma-i-an Archipelago have been doing what they can to prepare themselves for a similar onslaught, but it has become clear that they will face a different threat.\n\nInstead of a single mighty host carried by one grand armada, several smaller armies of Inca warriors have made landfall, each of them seemingly operating independently. Those that have managed to flee before the onslaight claim that the invaders have come to claim what they previously purchased.;;;;;;;;;;;;;x
EVTOPTA_SRI_25;They must be driven back!;;;;;;;;;;;;;x
