EVTDESC_SRI_106;The war is over and lost, but the Sapa Inca is not finished with me. An Apupanaca, an emissary from the imperial city of Cuzco, has been sent to collect one of my daughters, and his eye has fallen on the young [child_to_seize.GetFirstName].\n\n[apupanaca.GetBestName] explains that she will be taken to the Acllahuasi, a sacred convent in Cuzco, and there instructed in the Incan ways. It is a holy place, and [child_to_seize.GetFirstName] might even receive the honor of being sacrificed to Inti when she reaches adulthood. She could also be married to the Sapa Inca, or one of his vassals.\n\nIt is a great honor, and with my levies still recuperating from the defeat at the hands of [From.GetBestName] I am in no position to refuse.;;;;;;;;;;;;;x
EVTOPTA_SRI_106;Not my little [child_to_seize.GetFirstName]!;;;;;;;;;;;;;x
EVTOPTB_SRI_106;Her existing betrothal will have to be broken...;;;;;;;;;;;;;x
EVTDESC_SRI_111;An Apupanaca has come all the way from the imperial city of Cuzco, with the sorrowful message that my house has yet to provide a girl to the sacred Acllahuasi. He is here to collect [child_to_seize.GetFirstName].\n\n[apupanaca.GetBestName] explains that she will be taken to a convent in Cuzco, and there instructed in the Yupaychaspa ways. It is a holy place, and [child_to_seize.GetFirstName] might even receive the honor of being sacrificed to Inti when she reaches adulthood. She could also be married to the Sapa Inca, or one of his vassals.\n\nIt is a great honor, and refusing to cooperate would be seen as both foolish and treasonous.;;;;;;;;;;;;;x
EVTOPTA_SRI_111;Of course you can have her!;;;;;;;;;;;;;x
EVTOPTB_SRI_111;I suppose her betrothal must be broken...;;;;;;;;;;;;;x
EVTOPTC_SRI_111;You are not taking her!;;;;;;;;;;;;;x
EVTOPTC_SRI_111_TOOLTIP;This may have serious repercussions...;;;;;;;;;;;;;x
EVTOPTD_SRI_111;How about we forget all about this...?;;;;;;;;;;;;;x
EVTDESC_SRI_112;The Apupanaca had left in a hurry, spouting curses upon my house and my cows. Some of those appear to have come true, as I have now been declared an outlaw in the whole Inca realm! The Sapa Inca can imprison me at will!;;;;;;;;;;;;;x
EVTOPTA_SRI_112;I see...;;;;;;;;;;;;;x
EVTDESC_SRI_113;Tears keep streaming down [child_to_seize.GetFirstName]'s face, no matter how long I or the Apupanaca keep explaining her new status. In the end I give up and pull her in for a long hug, and a few words whispered in her ear where the emissary cannot hear them.;;;;;;;;;;;;;x
EVTOPTA_SRI_113;Be strong!;;;;;;;;;;;;;x
EVTOPTB_SRI_113;Do it for Inti!;;;;;;;;;;;;;x
EVTOPTC_SRI_113;I will bring you home!;;;;;;;;;;;;;x
