EVTDESC_SOH_1802;What do you want to focus on during your self-reflection?;;;;;;;;;;;;;;x
EVTOPTA_SOH_1802;I want to reflect on a virtue;;;;;;;;;;;;;;x
EVTOPTB_SOH_1802;I want to reflect on another trait;;;;;;;;;;;;;;x
EVTDESC_SOH_1803;What do you want to focus on during your self-reflection?;;;;;;;;;;;;;;x
EVTOPTA_SOH_1803;Chastity, temperance, or charity;;;;;;;;;;;;;;x
EVTOPTB_SOH_1803;Diligence, patience, or kindness;;;;;;;;;;;;;;x
EVTOPTC_SOH_1803;Humility;;;;;;;;;;;;;;x
EVTOPTD_SOH_1803;Something else;;;;;;;;;;;;;;x
EVTDESC_SOH_1804;What do you want to focus on during your self-reflection?;;;;;;;;;;;;;;x
EVTOPTA_SOH_1804;Chastity;;;;;;;;;;;;;;x
EVTOPTB_SOH_1804;Temperance;;;;;;;;;;;;;;x
EVTOPTC_SOH_1804;Charity;;;;;;;;;;;;;;x
EVTOPTD_SOH_1804;Something else;;;;;;;;;;;;;;x
EVTDESC_SOH_1805;What do you want to focus on during your self-reflection?;;;;;;;;;;;;;;x
EVTOPTA_SOH_1805;Diligence;;;;;;;;;;;;;;x
EVTOPTB_SOH_1805;Patience;;;;;;;;;;;;;;x
EVTOPTC_SOH_1805;Kindness;;;;;;;;;;;;;;x
EVTOPTD_SOH_1805;Something else;;;;;;;;;;;;;;x
EVTDESC_SOH_1806;What do you want to focus on during your self-reflection?;;;;;;;;;;;;;;x
EVTOPTA_SOH_1806;Bravery, contentness, or gregariousness;;;;;;;;;;;;;;x
EVTOPTB_SOH_1806;Honesty, justice, or trust;;;;;;;;;;;;;;x
EVTOPTC_SOH_1806;Zeal;;;;;;;;;;;;;;x
EVTOPTD_SOH_1806;Something else;;;;;;;;;;;;;;x
EVTDESC_SOH_1807;What do you want to focus on during your self-reflection?;;;;;;;;;;;;;;x
EVTOPTA_SOH_1807;Bravery;;;;;;;;;;;;;;x
EVTOPTB_SOH_1807;Contentness;;;;;;;;;;;;;;x
EVTOPTC_SOH_1807;Gregariousness;;;;;;;;;;;;;;x
EVTOPTD_SOH_1807;Something else;;;;;;;;;;;;;;x
EVTDESC_SOH_1808;What do you want to focus on during your self-reflection?;;;;;;;;;;;;;;x
EVTOPTA_SOH_1808;Honesty;;;;;;;;;;;;;;x
EVTOPTB_SOH_1808;Justice;;;;;;;;;;;;;;x
EVTOPTC_SOH_1808;Trust;;;;;;;;;;;;;;x
EVTOPTD_SOH_1808;Something else;;;;;;;;;;;;;;x
EVTDESC_SOH_1809;I am trying to become more chaste to be a better member of the Hwarang, and though it might take me several tries to improve in that regard I need to figure out how I want to approach the matter for the time being.;;;;;;;;;;;;;;x
EVTOPTA_SOH_1809;I will meditate on the matter!;;;;;;;;;;;;;;x
EVTOPTB_SOH_1809;I will speak to [hwarang_self_reflection_help.GetBestName]!;;;;;;;;;;;;;;x
EVTOPTC_SOH_1809;I will request help from the Hwarang!;;;;;;;;;;;;;;x
EVTOPTD_SOH_1809;I will visit a temple for assistance!;;;;;;;;;;;;;;x
