EVTTITLE_SOH_7002;Amaterasu Defied;;;;;;;;;;;;;x
EVTDESC_SOH_7002;Tenno [From.GetFirstName] has died without an heir. While [From.GetSheHe] was a mortal [From.GetManWoman] like any other and [From.GetHerHis] death thus was to be expected sooner or later, the lack of a member of the Imperial Family to inherit the Chrysanthemum Throne is unprecedented, seeing as the Imperial Family has possessed it since time immemorial.\n\nWith the succession unclear, Tenno [From.GetFirstName]'s former realm has crumbled, and the belief of many of the Shinto faithful has crumbled alongside it, with many abandoning their faith altogether.;;;;;;;;;;;;;x
EVTOPTA_SOH_7002;The unthinkable has happened!;;;;;;;;;;;;;x
EVTOPTB_SOH_7002;I suppose Buddhism has its appeal...;;;;;;;;;;;;;x
EVTOPTC_SOH_7002;I suppose Shugendo has its appeal...;;;;;;;;;;;;;x
EVTOPTD_SOH_7002;I suppose Koshin has its appeal...;;;;;;;;;;;;;x
EVTOPTE_SOH_7002;It is time for me to openly convert...;;;;;;;;;;;;;x
EVTOPTF_SOH_7002;So much for "Ten thousand years!"...;;;;;;;;;;;;;x
EVTDESC_SOH_7011;As the new Tenno, I need to decide on a regnal name to use.;;;;;;;;;;;;;x
JIMMU;I will be known as Jimmu!;;;;;;;;;;;;;x
SUIZEI;I will be known as Suizei!;;;;;;;;;;;;;x
ANNEI;I will be known as Annei!;;;;;;;;;;;;;x
ITOKU;I will be known as Itoku!;;;;;;;;;;;;;x
KOSHO;I will be known as Kosho!;;;;;;;;;;;;;x
KOAN;I will be known as Koan!;;;;;;;;;;;;;x
KOREI;I will be known as Korei!;;;;;;;;;;;;;x
KOGEN;I will be known as Kogen!;;;;;;;;;;;;;x
KAIKA;I will be known as Kaika!;;;;;;;;;;;;;x
SUJIN;I will be known as Sujin!;;;;;;;;;;;;;x
SUININ;I will be known as Suinin!;;;;;;;;;;;;;x
KEIKO;I will be known as Keiko!;;;;;;;;;;;;;x
SEIMU;I will be known as Seimu!;;;;;;;;;;;;;x
CHUAI;I will be known as Chuai!;;;;;;;;;;;;;x
JINGU;I will be known as Jingu!;;;;;;;;;;;;;x
OJIN;I will be known as Ojin!;;;;;;;;;;;;;x
RICHU;I will be known as Richu!;;;;;;;;;;;;;x
HANZEI;I will be known as Hanzei!;;;;;;;;;;;;;x
INGYO;I will be known as Ingyo!;;;;;;;;;;;;;x
ANKO;I will be known as Anko!;;;;;;;;;;;;;x
YURYAKU;I will be known as Yuryaku!;;;;;;;;;;;;;x
SEINEI;I will be known as Seinei!;;;;;;;;;;;;;x
TSUNUZASHI;I will be known as Tsunuzashi!;;;;;;;;;;;;;x
KENZO;I will be known as Kenzo!;;;;;;;;;;;;;x
NINKEN;I will be known as Ninken!;;;;;;;;;;;;;x
BURETSU;I will be known as Buretsu!;;;;;;;;;;;;;x
ANKAN;I will be known as Ankan!;;;;;;;;;;;;;x
SENKA;I will be known as Senka!;;;;;;;;;;;;;x
OKA;I will be known as Oka!;;;;;;;;;;;;;x
SUDOJINKEI;I will be known as Sudojinkei!;;;;;;;;;;;;;x
KASUGA;I will be known as Kasuga!;;;;;;;;;;;;;x
SUDO;I will be known as Sudo!;;;;;;;;;;;;;x
KINMEI;I will be known as Kinmei!;;;;;;;;;;;;;x
BIDATSU;I will be known as Bidatsu!;;;;;;;;;;;;;x
YOMEI;I will be known as Yomei!;;;;;;;;;;;;;x
SUSHUN;I will be known as Sushun!;;;;;;;;;;;;;x
SUIKO;I will be known as Suiko!;;;;;;;;;;;;;x
JOMEI;I will be known as Jomei!;;;;;;;;;;;;;x
KOGYOKU;I will be known as Kogyoku!;;;;;;;;;;;;;x
KOTOKU;I will be known as Kotoku!;;;;;;;;;;;;;x
SAIMEI;I will be known as Saimei!;;;;;;;;;;;;;x
TENJI;I will be known as Tenji!;;;;;;;;;;;;;x
KOBUN;I will be known as Kobun!;;;;;;;;;;;;;x
TENMU;I will be known as Tenmu!;;;;;;;;;;;;;x
JITO;I will be known as Jito!;;;;;;;;;;;;;x
MONMU;I will be known as Monmu!;;;;;;;;;;;;;x
GENMEI;I will be known as Genmei!;;;;;;;;;;;;;x
GENSHO;I will be known as Gensho!;;;;;;;;;;;;;x
SHOMU;I will be known as Shomu!;;;;;;;;;;;;;x
KOKEN;I will be known as Koken!;;;;;;;;;;;;;x
JUNNIN;I will be known as Junnin!;;;;;;;;;;;;;x
KASHIWABARA;I will be known as Kashiwabara!;;;;;;;;;;;;;x
NARA;I will be known as Nara!;;;;;;;;;;;;;x
OGIMACHI;I will be known as Ogimachi!;;;;;;;;;;;;;x
MIZUNOO;I will be known as Mizunoo!;;;;;;;;;;;;;x
MINOO;I will be known as Minoo!;;;;;;;;;;;;;x
MEISHO;I will be known as Meisho!;;;;;;;;;;;;;x
SAI;I will be known as Sai!;;;;;;;;;;;;;x
REIGEN;I will be known as Reigen!;;;;;;;;;;;;;x
HIGASHIYAMA;I will be known as Higashiyama!;;;;;;;;;;;;;x
NAKAMIKADO;I will be known as Nakamikado!;;;;;;;;;;;;;x
SAKURAMACHI;I will be known as Sakuramachi!;;;;;;;;;;;;;x
MOMOZONO;I will be known as Momozono!;;;;;;;;;;;;;x
KOKAKU;I will be known as Kokaku!;;;;;;;;;;;;;x
NINKO;I will be known as Ninko!;;;;;;;;;;;;;x
KOMEI;I will be known as Komei!;;;;;;;;;;;;;x
CHOKEI;I will be known as Chokei!;;;;;;;;;;;;;x
SHOKO;I will be known as Shoko!;;;;;;;;;;;;;x
KOMYO;I will be known as Komyo!;;;;;;;;;;;;;x
SUKO;I will be known as Suko!;;;;;;;;;;;;;x
KOGO;I will be known as Kogo!;;;;;;;;;;;;;x
KOMATSU;I will be known as Komatsu!;;;;;;;;;;;;;x
