EVTDESC_SOH_7103;Having become a ruler in my own right it is time for me to decide whether I favor the government of a warrior, similar to that of [FromFrom.GetBestName], or a more bureaucratic government.;;;;;;;;;;;;;x
EVTOPTA_SOH_7103;A warrior's government for me!;;;;;;;;;;;;;x
EVTOPTB_SOH_7103;A bureaucratic government sounds rather nice...;;;;;;;;;;;;;x
EVTDESC_SOH_7104;Having become a ruler in my own right it is time for me to decide whether I favor a more priesly government, similar to that of [FromFrom.GetBestName], or a more bureaucratic government.
EVTOPTA_SOH_7104;I must follow [Root.Religion.GetHighGod]'s plan!;;;;;;;;;;;;;x
EVTOPTB_SOH_7104;A bureaucratic government sounds rather nice...;;;;;;;;;;;;;x
EVTDESC_SOH_7105;Having taken over from [FromFrom.GetBestName], I need to decide whether I wish to have the government of a warrior like [FromFrom.GetHerHim] or if I would rather have a bureaucratic government.;;;;;;;;;;;;;x
EVTOPTA_SOH_7105;A warrior's government for me!;;;;;;;;;;;;;x
EVTOPTB_SOH_7105;A bureaucratic government sounds rather nice...;;;;;;;;;;;;;x
EVTDESC_SOH_7106;Having taken over from [FromFrom.GetBestName], I need to decide whether I wish to have a more priestly government like [FromFrom.GetHerHis] or if I would rather have a bureaucratic government.;;;;;;;;;;;;;x
EVTOPTA_SOH_7106;A warrior's government for me!;;;;;;;;;;;;;x
EVTOPTB_SOH_7106;A bureaucratic government sounds rather nice...;;;;;;;;;;;;;x
EVTDESC_SOH_7107;Having inherited from [FromFrom.GetBestName], I need to decide whether I wish to have the government of a warrior like [FromFrom.GetHerHim] or if I would rather have a bureaucratic government.;;;;;;;;;;;;;x
EVTOPTA_SOH_7107;A warrior's government for me!;;;;;;;;;;;;;x
EVTOPTB_SOH_7107;A bureaucratic government sounds rather nice...;;;;;;;;;;;;;x
EVTDESC_SOH_7108;Having inherited from [FromFrom.GetBestName], I need to decide whether I wish to have a more priestly government like [FromFrom.GetHerHis] or if I would rather have a bureaucratic government.;;;;;;;;;;;;;x
EVTOPTA_SOH_7108;A warrior's government for me!;;;;;;;;;;;;;x
EVTOPTB_SOH_7108;A bureaucratic government sounds rather nice...;;;;;;;;;;;;;x
