EVTDESC_SOH_2903;[Root.GetSocietyRank] [Root.GetFirstName],\nThe approximate location of one of the greatest warriors in the world -- the [Root.GetTheVeryBestOpponent] -- has been determined. You must seek out this champion and defeat them in an honorable duel.\n\nBy my hand and seal,\n[rising_sun_leader.GetSocietyRank] [rising_sun_leader.GetFirstName];;;;;;;;;;;;;x
EVTOPTA_SOH_2903;I'll depart at once!;;;;;;;;;;;;;x
EVTDESC_SOH_2905;As I am passing through a village on my way to where the [Root.GetTheVeryBestOpponent] supposedly can be found one of the villagers is behaving very rudely towards me, doing his best to get in the way of my horse and making several unflattering comments about me and my chosen attire.;;;;;;;;;;;;;x
EVTOPTA_SOH_2905;Such insolence must be punished!;;;;;;;;;;;;;x
EVTOPTB_SOH_2905;I'll just ride off...;;;;;;;;;;;;;x
EVTDESC_SOH_2906;I pull out my sword and cut the offensive man down with a single swift strike, as is my right as a warrior. Unfortunately, the other villagers appear to be horrified by my behaviour, and they demand that I leave the village at once as they do not want any further trouble.;;;;;;;;;;;;;x
EVTOPTA_SOH_2906;I suppose I should leave...;;;;;;;;;;;;;x
EVTDESC_SOH_2907;I draw your sword and cut the offensive man down with a single swift strike, as is my right as a warrior. The villagers nearby cry out in dismay, and soon a large number of guards surround me. After hearing what happened they demand that I pay a fine, as their customs apparently do not allow warriors to cut down rude commoners at will.;;;;;;;;;;;;;x
EVTOPTA_SOH_2907;I'll pay your fine!;;;;;;;;;;;;;x
EVTOPTB_SOH_2907;I'll kill you all!;;;;;;;;;;;;;x
EVTOPTC_SOH_2907;Time to run!;;;;;;;;;;;;;x
EVTDESC_SOH_2908;The guards that had surrounded me did evidently not anticipate that I would consider fighting them as they are completely surprised by my attack. By the time that the survivours start to recover I have already cut half of them down, and the other half does not put up significant resistance.;;;;;;;;;;;;;x
EVTOPTA_SOH_2908;Was that all?;;;;;;;;;;;;;x
EVTDESC_SOH_2909;I attack the guards surrounding me, catching many of them by surprise, and the battle is already in my favor by the time the less surprised ones can intervene. It takes me a while to finish the fight, but even though they injure me it is hardly in a concerning fashion.;;;;;;;;;;;;;x
EVTOPTA_SOH_2909;'Tis but a scratch!;;;;;;;;;;;;;x
EVTDESC_SOH_2910;The guards are not particularly surprised by me electing to attack them, and they put up fierce resistance. The battle eventually turns in my favor, but though I come out alive it probably was a bad idea to fight the guards as they manage to injure me quite severely.;;;;;;;;;;;;;x
EVTOPTA_SOH_2910;That hurt!;;;;;;;;;;;;;x
EVTDESC_SOH_2911;The guards are ready for my attack, and I am wounded almost as quickly as I move to attack them. Though I do my best to avoid their blows and try my best to strike back at them, the battle does not go my way, and soon I find myself lying on the ground, bleeding out from a large number of lethal wounds.;;;;;;;;;;;;;x
EVTOPTA_SOH_2911;Not like this!;;;;;;;;;;;;;x
EVTDESC_SOH_2912;One evening when I am passing through a forest I hear the sound of people talking somewhere nearby. I cannot make out what they are saying, and as far as I can tell they are not in my immediate vicinity, but I am evidently not alone.;;;;;;;;;;;;;x
EVTOPTA_SOH_2912;I must investigate this!;;;;;;;;;;;;;x
EVTOPTB_SOH_2912;I must investigate this... discreetly!;;;;;;;;;;;;;x
EVTOPTC_SOH_2912;It is safest to leave...;;;;;;;;;;;;;x
EVTDESC_SOH_2913;As I move around a large boulder I find the source of the voices I have been hearing. It seems a number of attractive young [Root.GetAttractiveBathingPeopleGender] are taking a bath together in a small pool in the forest and have been talking rather loudly while doing so. They have noticed my approach, and seem a bit surprised by my presence.;;;;;;;;;;;;;x
EVTOPTA_SOH_2913;Sorry to have bothered you!;;;;;;;;;;;;;x
EVTOPTB_SOH_2913;May I join you?;;;;;;;;;;;;;x
EVTDESC_SOH_2914;I make my way towards the voices, moving carefully. As I crest a small hill I can see that a number of attractive young [Root.GetAttractiveBathingPeopleGender] are taking a bath together in a small pool in the forest, talking loudly while doing so. They do not appear to have noticed my presence yet.;;;;;;;;;;;;;x
EVTOPTA_SOH_2914;I'll not bother them...;;;;;;;;;;;;;x
EVTOPTB_SOH_2914;I will ask to join them.;;;;;;;;;;;;;x
EVTDESC_SOH_2915;I make my way towards the voices, moving carefully, but I am not as careful as I would have liked. I trip over a branch and fall through a thick bush, emerging face-to-face with a number of attractive young [Root.GetAttractiveBathingPeopleGender] that are taking a bath together, talking loudly to one another.;;;;;;;;;;;;;x
EVTOPTA_SOH_2915;Sorry, I took a wrong turn!;;;;;;;;;;;;;x
EVTOPTB_SOH_2915;May I join you?;;;;;;;;;;;;;x
EVTDESC_SOH_2916;I abandon stealth and move towards the bathing [Root.GetAttractiveBathingPeopleGender] openly, deciding that they likely will be more willing to hear me out if I let them see me coming. They appear to be surprised by my presence, but they do not indicate that my presence is unwelcome as I approach them.;;;;;;;;;;;;;x
EVTOPTA_SOH_2916;May I join you?;;;;;;;;;;;;;x
EVTDESC_SOH_2917;The [Root.GetAttractiveBathingPeopleGender] taking a bath in the forest interrupt me before I am done trying to invite myself to join them, telling me that it would be best for everyone if I turned around and kept walking. Though it was not what I wanted to hear, it is clearly not worth pressing the issue.;;;;;;;;;;;;;x
EVTOPTA_SOH_2917;Fine! Be that way!;;;;;;;;;;;;;x
EVTDESC_SOH_2918;The attractive young [Root.GetAttractiveBathingPeopleGender] quickly invite me to join them in the small pool they are bathing in, and I waste no time getting out of my clothes and joining them. We all seem to have a good time bathing, and I start to wonder if it perhaps would be worth trying to take things further...;;;;;;;;;;;;;x
EVTOPTA_SOH_2918;I'll not push my luck...;;;;;;;;;;;;;x
EVTOPTB_SOH_2918;It's worth a shot!;;;;;;;;;;;;;x
EVTDESC_SOH_2919;All of the attractive young [Root.GetAttractiveBathingPeopleGender] are open to the idea of doing something rather more intimate than just bathing together, and we waste no time before getting started. The evening turns out in a most wonderful fashion for everyone involved, and I do not regret asking.;;;;;;;;;;;;;x
EVTOPTA_SOH_2919;That went well!;;;;;;;;;;;;;x
