#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_IN_001;A sufi merchant has arrived from Arabia. His ship is severely damaged and carries rare goods. His crew are divided weither it was Sea Monsters or the Ocean trade winds that caused the damage.;Le confucianisme est une religion diverse comportant quatre branches principales : le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTTITLE_IN_001;The ship;;;;;;;;;;;;;x
EVTOPTA_IN_001;Trade with the merchants;Exchange avec les marchandes.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_IN_001;You damned heretics aren't landing a foot.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTC_IN_001;Slay the infidel.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_002;The merchant trades with you making a profit. He decides to stay in port until his ship is fixed;Le confucianisme est une religion diverse comportant quatre branches principales : le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_002;Your under my protection;Exchange avec les marchandes.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_IN_002;I can't promise your safety.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTC_IN_002;Set up a quarantine.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_003;A group of Buddhists line the streets and demand the departure of Islam. They claim Islam is an expansive religion.: le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_003;Now let's be fair here.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_IN_003;Expell the heretics;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTC_IN_003;I promised to protect them.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTD_IN_003;Slay the fidel!;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_004;A group of Hindu's have gathered and demand the departure of Islam. They claim Islam is an expansive religion.; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_004;Now let's be fair here.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_IN_004;Expell the heretics;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTC_IN_004;I promised to protect them.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTD_IN_004;Slay the fidel!;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_084;An uneasy alliance of Hindus and Buddhists mob the streets and demand the departure of Islam. They cite many times Islamites invaded other countries. They claim they can convert areas even if they are a minority. You address the sea of orange and red.: le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_084;Now let's be fair here. People!;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_IN_084;They are leaving tomorrow.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTC_IN_084;I promised to protect them.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTD_IN_084;I will only speak to one representative.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_005;It is claimed that one of the boat people slapped a child for eating pig. Your manor is swamped by peasants with farming equipment; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
