EVTDESC_SOH_10301;I have recently read quite a bit about the Chinese way of warfare and have gained some familiarity with it. However, I now need to focus on one approach to it. Which one is the most appealing?;;;;;;;;;;;;;;x
EVTOPTA_SOH_10301;The Way of the Dragon;;;;;;;;;;;;;;x
EVTOPTB_SOH_10301;The Way of the Dog;;;;;;;;;;;;;;x
EVTOPTC_SOH_10301;The Way of the Tiger;;;;;;;;;;;;;;x
EVTOPTD_SOH_10301;The Way of the Leopard;;;;;;;;;;;;;;x
EVTDESC_SOH_10302;I have recently read quite a bit about the Chinese way of warfare and have gained some familiarity with it. However, I now need to focus on one approach to it. Which one is the most appealing?;;;;;;;;;;;;;;x
EVTOPTA_SOH_10302;The Way of the Dragon;;;;;;;;;;;;;;x
EVTOPTB_SOH_10302;The Way of the Dog;;;;;;;;;;;;;;x
EVTOPTC_SOH_10302;The Way of the Tiger;;;;;;;;;;;;;;x
EVTOPTD_SOH_10302;The Way of the Leopard;;;;;;;;;;;;;;x
