EVTDESC_SOH_2201;As a young member of the Hwarang I have often encountered older members that are eager to give me suggestions about what I could do better. These suggestions tend to be rather limited, however, so maybe I should approach someone like [hwarang_mentor.GetBestName] to see if I could get some more extensive guidance?;;;;;;;;;;;;;x
EVTOPTA_SOH_2201;I'll ask [hwarang_mentor.GetHerHim]!;;;;;;;;;;;;;x
EVTOPTB_SOH_2201;I don't want to bother [hwarang_mentor.GetHerHim]...;;;;;;;;;;;;;x
EVTDESC_SOH_2202;Today I was approached by [From.GetBestName], a younger member of the Hwarang. It seems [From.GetSheHe] wishes to learn how to become a better member of the Hwarang and that [From.GetSheHe] thinks I am someone that could give [From.GetHerHim] some guidance in that regard.;;;;;;;;;;;;;x
EVTOPTA_SOH_2202;Of course!;;;;;;;;;;;;;x
EVTOPTB_SOH_2202;I think not!;;;;;;;;;;;;;x
EVTDESC_SOH_2203;[From.GetBestName] has agreed to give me some more extensive guidance to let me be a better member of the Hwarang in the future.;;;;;;;;;;;;;x
EVTOPTA_SOH_2203;Just was I expected!;;;;;;;;;;;;;x
EVTDESC_SOH_2204;[From.GetHerHim] has informed me that [From.GetSheHe] does not have the time or the interest to help me become a better member of the Hwarang.;;;;;;;;;;;;;x
EVTOPTA_SOH_2204;How rude!;;;;;;;;;;;;;x
EVTDESC_SOH_2206;[From.GetBestName] has given me several useful lessons recently, focusing on teaching me how to better at fighting. I expect the Hwarang as a whole will approve of both my progress and [From.GetHerHis] help.;;;;;;;;;;;;;x
EVTOPTA_SOH_2206;This has been beneficial!;;;;;;;;;;;;;x
EVTDESC_SOH_2207;I have been giving [From.GetBestName] quite a few lessons recently, focusing on teaching [From.GetHerHim] to fight. These lessons have gone well, and I expect that the Hwarang as a whole will approve.;;;;;;;;;;;;;x
EVTOPTA_SOH_2207;I hope this benefits [From.GetHerHim]!;;;;;;;;;;;;;x
EVTDESC_SOH_2208;[From.GetBestName] has given me several useful lessons recently, focusing on teaching me how to better at warfare. I expect the Hwarang as a whole will approve of both my progress and [From.GetHerHis] help.;;;;;;;;;;;;;x
EVTOPTA_SOH_2208;This has been beneficial!;;;;;;;;;;;;;x
EVTDESC_SOH_2209;I have been giving [From.GetBestName] quite a few lessons recently, focusing on teaching [From.GetHerHim] about warfare. These lessons have gone well, and I expect that the Hwarang as a whole will approve.;;;;;;;;;;;;;x
EVTOPTA_SOH_2209;I hope this benefits [From.GetHerHim]!;;;;;;;;;;;;;x
EVTDESC_SOH_2210;[From.GetBestName] has given me several useful lessons recently, focusing on teaching me how to be chaste. I expect the Hwarang as a whole will approve of both my progress and [From.GetHerHis] help.;;;;;;;;;;;;;x
EVTOPTA_SOH_2210;This has been beneficial!;;;;;;;;;;;;;x
EVTDESC_SOH_2211;I have been giving [From.GetBestName] quite a few lessons recently, focusing on teaching [From.GetHerHim] to be chaste. These lessons have gone well, and I expect that the Hwarang as a whole will approve.;;;;;;;;;;;;;x
EVTOPTA_SOH_2211;I hope this benefits [From.GetHerHim]!;;;;;;;;;;;;;x
EVTDESC_SOH_2212;[From.GetBestName] has given me several useful lessons recently, focusing on teaching me how to be temperate. I expect the Hwarang as a whole will approve of both my progress and [From.GetHerHis] help.;;;;;;;;;;;;;x
EVTOPTA_SOH_2212;This has been beneficial!;;;;;;;;;;;;;x
EVTDESC_SOH_2213;I have been giving [From.GetBestName] quite a few lessons recently, focusing on teaching [From.GetHerHim] to be temperate. These lessons have gone well, and I expect that the Hwarang as a whole will approve.;;;;;;;;;;;;;x
EVTOPTA_SOH_2213;I hope this benefits [From.GetHerHim]!;;;;;;;;;;;;;x
EVTDESC_SOH_2214;[From.GetBestName] has given me several useful lessons recently, focusing on teaching me how to be charitable. I expect the Hwarang as a whole will approve of both my progress and [From.GetHerHis] help.;;;;;;;;;;;;;x
EVTOPTA_SOH_2214;This has been beneficial!;;;;;;;;;;;;;x
EVTDESC_SOH_2215;I have been giving [From.GetBestName] quite a few lessons recently, focusing on teaching [From.GetHerHim] to be charitable. These lessons have gone well, and I expect that the Hwarang as a whole will approve.;;;;;;;;;;;;;x
EVTOPTA_SOH_2215;I hope this benefits [From.GetHerHim]!;;;;;;;;;;;;;x
EVTDESC_SOH_2216;[From.GetBestName] has given me several useful lessons recently, focusing on teaching me how to be diligent. I expect the Hwarang as a whole will approve of both my progress and [From.GetHerHis] help.;;;;;;;;;;;;;x
EVTOPTA_SOH_2216;This has been beneficial!;;;;;;;;;;;;;x
EVTDESC_SOH_2217;I have been giving [From.GetBestName] quite a few lessons recently, focusing on teaching [From.GetHerHim] to be diligent. These lessons have gone well, and I expect that the Hwarang as a whole will approve.;;;;;;;;;;;;;x
EVTOPTA_SOH_2217;I hope this benefits [From.GetHerHim]!;;;;;;;;;;;;;x
EVTDESC_SOH_2218;[From.GetBestName] has given me several useful lessons recently, focusing on teaching me how to be patient. I expect the Hwarang as a whole will approve of both my progress and [From.GetHerHis] help.;;;;;;;;;;;;;x
EVTOPTA_SOH_2218;This has been beneficial!;;;;;;;;;;;;;x
EVTDESC_SOH_2219;I have been giving [From.GetBestName] quite a few lessons recently, focusing on teaching [From.GetHerHim] to be patient. These lessons have gone well, and I expect that the Hwarang as a whole will approve.;;;;;;;;;;;;;x
EVTOPTA_SOH_2219;I hope this benefits [From.GetHerHim]!;;;;;;;;;;;;;x
EVTDESC_SOH_2220;[From.GetBestName] has given me several useful lessons recently, focusing on teaching me how to be kind. I expect the Hwarang as a whole will approve of both my progress and [From.GetHerHis] help.;;;;;;;;;;;;;x
EVTOPTA_SOH_2220;This has been beneficial!;;;;;;;;;;;;;x
EVTDESC_SOH_2221;I have been giving [From.GetBestName] quite a few lessons recently, focusing on teaching [From.GetHerHim] to be kind. These lessons have gone well, and I expect that the Hwarang as a whole will approve.;;;;;;;;;;;;;x
EVTOPTA_SOH_2221;I hope this benefits [From.GetHerHim]!;;;;;;;;;;;;;x
EVTDESC_SOH_2222;[From.GetBestName] has given me several useful lessons recently, focusing on teaching me how to be humble. I expect the Hwarang as a whole will approve of both my progress and [From.GetHerHis] help.;;;;;;;;;;;;;x
EVTOPTA_SOH_2222;This has been beneficial!;;;;;;;;;;;;;x
EVTDESC_SOH_2223;I have been giving [From.GetBestName] quite a few lessons recently, focusing on teaching [From.GetHerHim] to be humble. These lessons have gone well, and I expect that the Hwarang as a whole will approve.;;;;;;;;;;;;;x
EVTOPTA_SOH_2223;I hope this benefits [From.GetHerHim]!;;;;;;;;;;;;;x
EVTDESC_SOH_2224;[From.GetBestName] has given me several useful lessons recently, focusing on teaching me how to be brave. I expect the Hwarang as a whole will approve of both my progress and [From.GetHerHis] help.;;;;;;;;;;;;;x
EVTOPTA_SOH_2224;This has been beneficial!;;;;;;;;;;;;;x
EVTDESC_SOH_2225;I have been giving [From.GetBestName] quite a few lessons recently, focusing on teaching [From.GetHerHim] to be brave. These lessons have gone well, and I expect that the Hwarang as a whole will approve.;;;;;;;;;;;;;x
EVTOPTA_SOH_2225;I hope this benefits [From.GetHerHim]!;;;;;;;;;;;;;x
EVTDESC_SOH_2226;[From.GetBestName] has given me several useful lessons recently, focusing on teaching me how to be content. I expect the Hwarang as a whole will approve of both my progress and [From.GetHerHis] help.;;;;;;;;;;;;;x
EVTOPTA_SOH_2226;This has been beneficial!;;;;;;;;;;;;;x
EVTDESC_SOH_2227;I have been giving [From.GetBestName] quite a few lessons recently, focusing on teaching [From.GetHerHim] to be content. These lessons have gone well, and I expect that the Hwarang as a whole will approve.;;;;;;;;;;;;;x
EVTOPTA_SOH_2227;I hope this benefits [From.GetHerHim]!;;;;;;;;;;;;;x
EVTDESC_SOH_2228;[From.GetBestName] has given me several useful lessons recently, focusing on teaching me how to be gregarious. I expect the Hwarang as a whole will approve of both my progress and [From.GetHerHis] help.;;;;;;;;;;;;;x
EVTOPTA_SOH_2228;This has been beneficial!;;;;;;;;;;;;;x
EVTDESC_SOH_2229;I have been giving [From.GetBestName] quite a few lessons recently, focusing on teaching [From.GetHerHim] to be gregarious. These lessons have gone well, and I expect that the Hwarang as a whole will approve.;;;;;;;;;;;;;x
EVTOPTA_SOH_2229;I hope this benefits [From.GetHerHim]!;;;;;;;;;;;;;x
