EVTDESC_MR_1;The Pyu of [Root.GetName] are intermingling more and more with the migrating Yi tribes, the two fusing to create a distinct ethnicity. They identify themselves as the Bamar, neither Pyu nor Yi but with elements of both cultures.;;;;;;;;;;;;;x
EVTOPTA_MR_1;Just don't get any funny ideas...;;;;;;;;;;;;;x
EVTOPTB_MR_1;More of my people!;;;;;;;;;;;;;x
EVTDESC_MR_2;The Wa of [Root.GetName] are intermingling more and more with the migrating Dai tribes, the two fusing to create a distinct ethnicity. They identify themselves as the Shan, neither Wa nor Dai but with elements of both cultures.;;;;;;;;;;;;;x
EVTOPTA_MR_2;Just don't get any funny ideas...;;;;;;;;;;;;;x
EVTOPTB_MR_2;More of my people!;;;;;;;;;;;;;x
EVTDESC_MR_3;As our people migrate into [Root.GetName], they intermingle with the local tribes, picking up their practices and customs. Distanced from the ways of the Dai, they have begun to identify themselves as the Lao people.;;;;;;;;;;;;;x
EVTOPTA_MR_3;Just don't get any funny ideas!;;;;;;;;;;;;;x
EVTOPTB_MR_3;More of my people!;;;;;;;;;;;;;x
EVTDESC_MR_4;The Mon of [Root.GetName] are intermingling more and more with the migrating Dai tribes, the two fusing to create a distinct ethnicity. They identify themselves as the Thai, neither Mon nor Dai but with elements of both cultures.;;;;;;;;;;;;;x
EVTOPTA_MR_4;Just don't get any funny ideas...;;;;;;;;;;;;;x
EVTOPTB_MR_4;More of my people!;;;;;;;;;;;;;x
EVTDESC_MR_5;The Thai of [Root.GetName], under the influence of the Lao people and distanced from their brethren in other Thai realms, have begun to develop their own distinct identity. They call themselves the Khon Mueang, meaning the people of the community.;;;;;;;;;;;;;x
EVTOPTA_MR_5;So long as there are no revolts...;;;;;;;;;;;;;x
EVTOPTB_MR_5;Welcome to the Lan Na kingdom!;;;;;;;;;;;;;x
EVTDESC_MR_6;Thai migrants to [Root.GetName] are intermingling with the local Malays, adopting various elements of their culture and language. While they are certainly not becoming Malays, one could definitely make a case that these Pak Tai are distinct from their Thai brethren.;;;;;;;;;;;;;x
EVTOPTA_MR_6;So long as there are no revolts...;;;;;;;;;;;;;x
EVTOPTB_MR_6;Yet more of my people see the light.;;;;;;;;;;;;;x
