EVTDESC_SOH_9901;The people of [Root.GetName] have developed their language and customs to a point where they may now be considered part of a distinct branch of Yamato culture. They have begun to refer to themselves as Japanese.;;;;;;;;;;;;;x
EVTOPTA_SOH_9901;What will they think of next, I wonder.;;;;;;;;;;;;;x
EVTOPTB_SOH_9901;Welcome into the fold, my Japanese brothers and sisters.;;;;;;;;;;;;;x
EVTDESC_SOH_9902;The people of [Root.GetName] have developed their language and customs to a point where they may now be considered part of a distinct branch of Emishi culture. They have begun to refer to themselves as Japanese.;;;;;;;;;;;;;x
EVTOPTA_SOH_9902;What will they think of next, I wonder.;;;;;;;;;;;;;x
EVTOPTB_SOH_9902;Welcome into the fold, my Japanese brothers and sisters.;;;;;;;;;;;;;x
EVTDESC_SOH_9903;The people of [Root.GetName] have developed their language and customs to a point where they may now be considered part of a distinct branch of Emishi culture. They have begun to refer to themselves as Ainu.;;;;;;;;;;;;;x
EVTOPTA_SOH_9903;What will they think of next, I wonder.;;;;;;;;;;;;;x
EVTOPTB_SOH_9903;Welcome into the fold, my Ainu brothers and sisters.;;;;;;;;;;;;;x
EVTDESC_SOH_9904;China is a large and diverse region, and the Chinese people do not maintain a unified identity. In the absence of strong imperial authority in the Wu region, the common folk of [Root.GetName] are beginning to assert the regional identity of the Wu people again.;;;;;;;;;;;;;x
EVTOPTA_SOH_9904;As long as they do not make trouble...;;;;;;;;;;;;;x
EVTOPTB_SOH_9904;The people of the Wu region truly are foremost under heaven.;;;;;;;;;;;;;x
EVTDESC_SOH_9905;China is a large and diverse region, and the Chinese people do not maintain a unified identity. In the absence of strong imperial authority in the Yue region, the common folk of [Root.GetName] are beginning to assert the regional identity of the Yue people again.;;;;;;;;;;;;;x
EVTOPTA_SOH_9905;As long as they do not make trouble...;;;;;;;;;;;;;x
EVTOPTB_SOH_9905;The people of the Yue region truly are foremost under heaven.;;;;;;;;;;;;;x
EVTDESC_SOH_9906;China is a large and diverse region, and the Chinese people do not maintain a unified identity. In the absence of strong imperial authority in the Min region, the common folk of [Root.GetName] are beginning to assert the regional identity of the Min people again.;;;;;;;;;;;;;x
EVTOPTA_SOH_9906;As long as they do not make trouble...;;;;;;;;;;;;;x
EVTOPTB_SOH_9906;The people of the Min region truly are foremost under heaven.;;;;;;;;;;;;;x
EVTDESC_SOH_9907;China is a large and diverse region, and the Chinese people do not maintain a unified identity. In the absence of strong imperial authority in the Gan region, the common folk of [Root.GetName] are beginning to assert the regional identity of the Gan people again.;;;;;;;;;;;;;x
EVTOPTA_SOH_9907;As long as they do not make trouble...;;;;;;;;;;;;;x
EVTOPTB_SOH_9907;The people of the Gan region truly are foremost under heaven.;;;;;;;;;;;;;x
EVTDESC_SOH_9908;China is a large and diverse region, and the Chinese people do not maintain a unified identity. In the absence of strong imperial authority in the Xiang region, the common folk of [Root.GetName] are beginning to assert the regional identity of the Xiang people again.;;;;;;;;;;;;;x
EVTOPTA_SOH_9908;As long as they do not make trouble...;;;;;;;;;;;;;x
EVTOPTB_SOH_9908;The people of the Xiang region truly are foremost under heaven.;;;;;;;;;;;;;x
EVTDESC_SOH_9909;China is a large and diverse region, and the Chinese people do not maintain a unified identity. In the absence of strong imperial authority in the Ba-Shu region, the common folk of [Root.GetName] are beginning to assert the regional identity of the Ba-Shu people again.;;;;;;;;;;;;;x
EVTOPTA_SOH_9909;As long as they do not make trouble...;;;;;;;;;;;;;x
EVTOPTB_SOH_9909;The people of the Ba-Shu region truly are foremost under heaven.;;;;;;;;;;;;;x
EVTDESC_SOH_9910;The Gan people are not native to [Root.GetName], but lately they have migrated there in higher and higher numbers. Through intermingling with the native She peoples, they have developed their own distinct identity. The more proper Chinese have taken to calling these migrants Hakka, or guest families.;;;;;;;;;;;;;x
EVTOPTA_SOH_9910;These migrants better pay their taxes...;;;;;;;;;;;;;x
EVTOPTB_SOH_9910;One day we will be recognised as natives...;;;;;;;;;;;;;x
