EVTDESC_SOH_1;Before I can invite my vassals to my Iyomante I need to ensure that all the necessary preparations have been taken care of. It should not take overly long to get them out of the way.;;;;;;;;;;;;;x
EVTOPTA_SOH_1;Let's get started!;;;;;;;;;;;;;x
EVTDESC_SOH_2;When sending a kamuy back Kamuy Mosir it is traditional to offer up plenty of wooden nusa. Of course, it is possible to offer just a single inaw if I feel that it would be extravagant to do anything more...;;;;;;;;;;;;;x
EVTOPTA_SOH_2;The kamuy deserves plenty of nusa!;;;;;;;;;;;;;x
EVTOPTB_SOH_2;A reasonable number of nusa is appropriate!;;;;;;;;;;;;;x
EVTOPTC_SOH_2;We just need a single inaw!;;;;;;;;;;;;;x
EVTDESC_SOH_3;In addition to nusa, it is only right and proper to ensure that some sake is offered to the kamuy when sending it back to Kamuy Mosir. How much sake do I want to ready for this purpose?;;;;;;;;;;;;;x
EVTOPTA_SOH_3;The kamuy shall have plenty of sake!;;;;;;;;;;;;;x
EVTOPTB_SOH_3;I think a moderate amount is reasonable!;;;;;;;;;;;;;x
EVTOPTC_SOH_3;I will give it the bare minimum!;;;;;;;;;;;;;x
EVTDESC_SOH_4;The guests coming to my Iyomante will of course expect me to provide food prior to the sacrifice. I need to decide how much I am prepared to spend on this prior to sending out the invitations.;;;;;;;;;;;;;x
EVTDESC_SOH_5;With the preparations taken care of, I can finally send out the invitations to my vassals. I hope that all of them will be able to come to my Iyomante.;;;;;;;;;;;;;x
EVTDESC_SOH_6;[Root.GetTitledName]\nI hereby invite you to my Iyomante and hope that you will be able to attend. It is time for us to return a kamuy to Kamuy Mosir!\nBest regards,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTA_SOH_6;I'll be there!;;;;;;;;;;;;;x
EVTOPTB_SOH_6;I have other plans...;;;;;;;;;;;;;x
EVTDESC_SOH_7;[Root.GetTitledName],\nI have made other plans and will not be attending your Iyomante.\nBest regards,\n[From.GetTitledName].;;;;;;;;;;;;;x
EVTDESC_SOH_8;The guests are finally arriving at my Iyomante, and the bear that I have been raising has been appropriately tied up for the sacrifice. The celebration can finally begin.;;;;;;;;;;;;;x
EVTOPTA_SOH_8;Welcome! Welcome!;;;;;;;;;;;;;x
EVTDESC_SOH_9;I have finally arrived at [From.GetBestName]'s Iyomante, as have many other guests from other parts of [From.GetHerHis] realm. As best I can tell, everything is ready for the celebration.;;;;;;;;;;;;;x
EVTOPTA_SOH_9;I hope it will be fun!;;;;;;;;;;;;;x
EVTDESC_SOH_11;[From.GetBestName] really seems to have gone out of [From.GetHerHis] way to ensure that there is plentiful and varied food at [From.GetHerHis] Iyomante.;;;;;;;;;;;;;x
EVTOPTA_SOH_11;This pleases me!;;;;;;;;;;;;;x
EVTOPTB_SOH_11;An unnecessary expense!;;;;;;;;;;;;;x
EVTOPTC_SOH_11;I suppose it is nice...;;;;;;;;;;;;;x
EVTDESC_SOH_12;The food provided at [From.GetBestName]'s Iyomante is neither the most varied nor the most plentiful I have experienced, but it is clear [From.GetSheHe] has put some effort into the preparations.;;;;;;;;;;;;;x
EVTOPTA_SOH_12;[From.GetSheHeCap] has made a wise decision!;;;;;;;;;;;;;x
EVTOPTB_SOH_12;[From.GetSheHeCap] spent too much on the food!;;;;;;;;;;;;;x
EVTOPTC_SOH_12;I suppose it is a reasonable amount...;;;;;;;;;;;;;x
EVTDESC_SOH_13;Though [From.GetBestName] has made sure that there is food available for the guests at [From.GetHerHis] Iyomante, it is neither plentiful nor particularly varied.;;;;;;;;;;;;;x
EVTOPTA_SOH_13;It shows good judgement!;;;;;;;;;;;;;x
EVTOPTB_SOH_13;[From.GetSheHeCap] should have done more!;;;;;;;;;;;;;x
EVTOPTC_SOH_13;I suppose it still could be worse...;;;;;;;;;;;;;x
EVTDESC_SOH_14;[From.GetBestName] seems to have found my decision regarding the food to be served at the Iyomante to have been a good one, as [From.GetSheHe] has made it clear that [From.GetSheHe] thinks my preparations were excellent.;;;;;;;;;;;;;x
EVTOPTA_SOH_14;That's good!;;;;;;;;;;;;;x
EVTDESC_SOH_15;It seems [From.GetBestName] does not approve of the amount or quality of the food served at the Iyomante, as [From.GetSheHe] has been heard complaining about it rather loudly.;;;;;;;;;;;;;x
EVTOPTA_SOH_15;[From.GetSheHeCap] should shut up!;;;;;;;;;;;;;x
EVTDESC_SOH_16;As the Iyomante goes on I find myself spending some time with [iyomante_friend.GetBestName], a rather fascinating [iyomante_friend.GetManWoman], and I find that we have a lot in common.;;;;;;;;;;;;;x
EVTOPTA_SOH_16;We should be friends!;;;;;;;;;;;;;x
EVTDESC_SOH_17;I have the opportunity to spend some time getting to know [From.GetBestName] at [From.GetHerHis] Iyomante, and I really feel that we have a lot in common.;;;;;;;;;;;;;x
EVTOPTA_SOH_17;We should be friends!;;;;;;;;;;;;;x
EVTDESC_SOH_18;I find myself spending spending quite some time with [iyomante_friend_character_2.GetBestName] at [From.GetBestName]'s Iyomante, and we turn out to have quite a few things in common.;;;;;;;;;;;;;x
EVTOPTA_SOH_18;We should be friends!;;;;;;;;;;;;;x
EVTDESC_SOH_19;I and [iyomante_friend_character_1.GetBestName] have an opportunity to spend some time together at [From.GetBestName]'s Iyomante, and it turns out we have a lot in common.;;;;;;;;;;;;;x
EVTOPTA_SOH_19;We should be friends!;;;;;;;;;;;;;x
EVTDESC_SOH_20;It seems [iyomante_friend_character_1.GetBestName] and [iyomante_friend_character_2.GetBestName] have grown quite a bit closer during the Iyomante, seeing as they both have loudly proclaimed their friendship.;;;;;;;;;;;;;x
EVTOPTA_SOH_20;I see...;;;;;;;;;;;;;x
EVTDESC_SOH_21;At [From.GetBestName]'s Iyomante I have the displeasure of spending time with [iyomante_rival_character_2.GetBestName], a thoroughly unpleasant [iyomante_rival_character_2.GetManWoman].;;;;;;;;;;;;;x
EVTOPTA_SOH_21;I really hate them!;;;;;;;;;;;;;x
EVTDESC_SOH_22;It seems [iyomante_rival_character_1.GetBestName] is at [From.GetBestName]'s Iyomante. [iyomante_rival_character_1.GetSheHeCap] really is an unpleasant [iyomante_rival_character_1.GetManWoman], and I really do not enjoy being in their presence.;;;;;;;;;;;;;x
EVTOPTA_SOH_22;In fact, I hate them!;;;;;;;;;;;;;x
EVTDESC_SOH_23;Two of my guests, [iyomante_rival_character_1.GetBestName] and [iyomante_rival_character_2.GetBestName], really do not seem to be enjoying each other's company, and all attempts to make them get along seem to have failed.;;;;;;;;;;;;;x
EVTOPTA_SOH_23;I see...;;;;;;;;;;;;;x
EVTDESC_SOH_24;As the Iyomante continues one of my servants comes running, screaming that the bear has escaped. I cannot be blamed for this, seeing as I did not tie it up myself, but it is still a major embarrasment to me.;;;;;;;;;;;;;x
EVTOPTA_SOH_24;This is a disaster!;;;;;;;;;;;;;x
EVTDESC_SOH_25;I am having a good time conversing with some of the other guests at [From.GetBestName]'s Iyomante when a servant comes running, screaming that the bear that was due to be sacrificed has escaped.;;;;;;;;;;;;;x
EVTOPTA_SOH_25;What an embarrasment!;;;;;;;;;;;;;x
EVTDESC_SOH_26;I am conversing with some of the guests at the Iyomante when I suddenly hear someone cry out in pain outside. Running out, I discover that [iyomante_wounded_guest.GetBestName] has been wounded by the bear, which somehow has gotten loose.;;;;;;;;;;;;;x
EVTOPTA_SOH_26;Make sure it is tied up properly this time!;;;;;;;;;;;;;x
EVTDESC_SOH_27;As I am walking around some distance away from the main celebration at [From.GetBestName]'s Iyomante to get some fresh air I hear movement behind me. Turning around, I find the bear that's due to be sacrificed standing there, clearly not tied up. I manage to get away from it quickly enough, but not without being wounded.;;;;;;;;;;;;;x
EVTOPTA_SOH_27;Ow!;;;;;;;;;;;;;x
EVTDESC_SOH_28;As the Iyomante continues the celebration is briefly interrupted by the sound of screaming. I and several others head to investigate it, and it turns out the bear has gotten loose and has attacked [iyomante_wounded_guest.GetBestName].;;;;;;;;;;;;;x
EVTOPTA_SOH_28;I hope it is tied up properly this time...;;;;;;;;;;;;;x
EVTDESC_SOH_29;One of my servants informs me that the bear at the Iyomante apparently had not been tied up properly as it somehow got loose. Luckily, it did not wander off or hurt anyone, and it has been tied up properly now.;;;;;;;;;;;;;x
EVTOPTA_SOH_29;That could have been bad...;;;;;;;;;;;;;x
EVTDESC_SOH_30;One of [From.GetBestName]'s servants brings word that the bear at the Iyomante had gotten loose, but that it has been tied up properly now. Nobody was hurt in the process.;;;;;;;;;;;;;x
EVTOPTA_SOH_30;That could have been bad...;;;;;;;;;;;;;x
EVTDESC_SOH_31;The bear that [From.GetBestName] has raised for [From.GetHerHis] Iyomante is very large, and it looks as if it has been fed quite well indeed. It is clear that it has been raised in an appropriate fashion.;;;;;;;;;;;;;x
EVTOPTA_SOH_31;Most impressive!;;;;;;;;;;;;;x
EVTDESC_SOH_32;It seems [From.GetBestName] really thinks that the bear at my Iyomante is impressive. I have of course ensured that it was well fed and taken care of, and it is good to know that that is appreciated.;;;;;;;;;;;;;x
EVTOPTA_SOH_32;Good to hear!;;;;;;;;;;;;;x
EVTDESC_SOH_33;The bear at [From.GetBestName]'s Iyomante is rather unimpressive compared to others I have seen in the past. It is as if [From.GetBestName] has not been taking proper care of it, which is unlikely to please the kamuy.;;;;;;;;;;;;;x
EVTOPTA_SOH_33;It is a rather disappointing sight!;;;;;;;;;;;;;x
EVTDESC_SOH_34;It seems [From.GetBestName] does not think much of the bear at my Iyomante as [From.GetSheHe] has been heard complaining about how small it is and how it does not look anything like those [From.GetSheHe] has seen before.;;;;;;;;;;;;;x
EVTOPTA_SOH_34;I see...;;;;;;;;;;;;;x
EVTDESC_SOH_36;As the sending off of the bear is about to begin [bear_sacrifice_child.GetBestName] comes running and demands that I call of the sacrifice, claiming that the bear is as a sibling to [bear_sacrifice_child.GetHerHim] and that [bear_sacrifice_child.GetSheHe] never will forgive me if I kill the bear.;;;;;;;;;;;;;x
EVTOPTA_SOH_36;I suppose you can have the bear...;;;;;;;;;;;;;x
iyomante_bear_saved;The bear will be given to [bear_sacrifice_child.GetBestName]. There will be no sacrifice.;;;;;;;;;;;;;x
EVTOPTB_SOH_36;The sacrifice will continue as planned!;;;;;;;;;;;;;x
EVTDESC_SOH_37;As the bear is about to be sent off to Kamuy Mosir [bear_sacrifice_child.GetBestName] comes running and demands that [From.GetBestName] lets [bear_sacrifice_child.GetHerHim] keep the bear. To everyone's surprise, [From.GetBestName] agrees to this.;;;;;;;;;;;;;x
EVTOPTA_SOH_37;That's unexpected...;;;;;;;;;;;;;x
EVTDESC_SOH_38;As the bear is about to be sent off to Kamuy Mosir [bear_sacrifice_child.GetBestName] comes running and demands that [From.GetBestName] lets [bear_sacrifice_child.GetHerHim] keep the bear. It is hardly surprising that [From.GetBestName] refuses.;;;;;;;;;;;;;x
EVTOPTA_SOH_38;The child will understand, one day...;;;;;;;;;;;;;x
EVTDESC_SOH_39;The sending off of the bear is about to begin, and it is time to decide who will be allowed to take the first shot at the bear. Every eye will be on the archer, and they will hopefully not make a fool of themselves.;;;;;;;;;;;;;x
EVTOPTA_SOH_39;I will take the first shot!;;;;;;;;;;;;;x
EVTOPTB_SOH_39;[iyomante_archer_1.GetBestName] will take the first shot!;;;;;;;;;;;;;x
EVTOPTC_SOH_39;[iyomante_archer_2.GetBestName] will take the first shot!;;;;;;;;;;;;;x
EVTDESC_SOH_40;Having decided to take the first shot myself, I ready my bow and take position not too far from the bear. As it is tied up it is hardly a difficult target to hit, and my arrow strikes true.;;;;;;;;;;;;;x
EVTOPTA_SOH_40;An easy shot!;;;;;;;;;;;;;x
EVTDESC_SOH_41;As the sending off of the bear begins [From.GetBestName] takes the first shot at the bear. Missing the shot would have been quite embarassing, seeing as the bear is tied up, and [From.GetBestName]'s arrow easily finds its mark.;;;;;;;;;;;;;x
EVTOPTA_SOH_41;Not very surprising!;;;;;;;;;;;;;x
EVTDESC_SOH_42;Having decided to take the first shot myself, I ready my bow and take position not too far from the bear. I hear several of my guests laughing behind my back as I manage to miss the tied up bear.;;;;;;;;;;;;;x
EVTOPTA_SOH_42;I meant to do that!;;;;;;;;;;;;;x
EVTDESC_SOH_43;[From.GetBestName] decides that [From.GetSheHe] will get to take the first shot and readies [From.GetHerHis] bow. Despite the bear being tied up and [From.GetBestName] standing quite close, [From.GetSheHe] still somehow manages to miss.;;;;;;;;;;;;;x
EVTOPTA_SOH_43;How embarassing!;;;;;;;;;;;;;x
EVTDESC_SOH_44;I have been given permission to be the first to shoot an arrow at the bear being sacrificed at [From.GetBestName]'s Iyomante. As soon as the servants have fetched my bow, I take position near the bear and loose my arrow, which strikes true.;;;;;;;;;;;;;x
EVTOPTA_SOH_44;It would have been embarassing to miss!;;;;;;;;;;;;;x
EVTDESC_SOH_45;I give [From.GetBestName] permission to shoot the first arrow at the bear, and though we have to wait for the servants to fetch [From.GetHerHis] bow [From.GetSheHe] has no difficulty hitting the bear with [From.GetHerHis] arrow.;;;;;;;;;;;;;x 
EVTOPTA_SOH_45;As expected!;;;;;;;;;;;;;x
EVTDESC_SOH_46;[FromFrom.GetBestName] gives [From.GetBestName] permission to be the first to shoot an arrow at the bear that is being sacrificed at the Iyomante, and once [From.GetHerHis] bow has been fetched by the servants [From.GetBestName] easily fires an arrow at the bear.;;;;;;;;;;;;;x
EVTOPTA_SOH_46;As expected!;;;;;;;;;;;;;x
EVTDESC_SOH_47;[From.GetBestName] gives me the right to fire the first arrow at the bear to be sacrificed at the Iyomante, and I do not expect any trouble since it is tied up. However, my shot still goes wide, and I can hear someone laughing behind me.;;;;;;;;;;;;;x
EVTOPTA_SOH_47;I meant to do that!;;;;;;;;;;;;;x
EVTDESC_SOH_48;I give [From.GetBestName] the right to fire the first arrow at the bear, expecting it to be an easy shot for [From.GetHerHim]. To my surprise, and likely the surprise of everyone else, the shot goes wide.;;;;;;;;;;;;;x
EVTOPTA_SOH_48;How embarassing!;;;;;;;;;;;;;x
EVTDESC_SOH_49;[FromFrom.GetBestName] gives [From.GetBestName] the right to fire the first arrow at the bear being sacrificed at the Iyomante, and it should be an easy shot with the bear being tied up nearby. However, [From.GetBestName] is apparently a terrible archer as [From.GetSheHe] still manages to miss the bear.;;;;;;;;;;;;;x
EVTOPTA_SOH_49;How embarassing!;;;;;;;;;;;;;x
EVTDESC_SOH_50;With the bear weakened from the many arrows I step up to it and cut its throat in one swift motion. Blood pours forth, and I and many of my guests drink it, as is appropriate.;;;;;;;;;;;;;x
EVTOPTA_SOH_50;Thank you, kamuy!;;;;;;;;;;;;;x
EVTDESC_SOH_51;The bear at the Iyomante has been weakened from the many arrows that has hit it, and [From.GetBestName] finally steps up to cut its throat. I and many of the other guests come forward to drink its blood, as is appropriate.;;;;;;;;;;;;;x
EVTOPTA_SOH_51;Thank you, kamuy!;;;;;;;;;;;;;x
EVTDESC_SOH_52;As soon as the bear at the Iyomante has been sufficiently weakened by the arrows being shot at it [From.GetBestName] steps up to it and cuts its throat. [From.GetSheHeCap] and many of the Ainu guests then see fit to drink its blood, thanking the kamuy once they are finished.;;;;;;;;;;;;;x
EVTOPTA_SOH_52;How barbaric!;;;;;;;;;;;;;x
