EVTDESC_SOH_8403;Due to a combination of a lack of ocean currents and a lack of wind, the Treasure Fleet has found itself becalmed. Without doubt, the situation will improve sooner or later, but for the time being it will not be making much progress towards the next port.;;;;;;;;;;;;;x
EVTOPTA_SOH_8403;Unfortunate!;;;;;;;;;;;;;x
EVTDESC_SOH_8405;Over the last couple of days the weather has been getting steadily worse as a storm has been brewing nearby. Though an attempt has been made to avoid it, the Treasure Fleet has been unable to do so, and now it will have no choice but to face the storm's fury. Hopefully the ships are sturdy enough to withstand what is to come...;;;;;;;;;;;;;x
EVTOPTA_SOH_8405;Grab on to something!;;;;;;;;;;;;;x
EVTDESC_SOH_8407;Though the passage through the storm hardly can be considered pleasant it is by no means as dangerous as it could have been. A census conducted after the storm disperses makes it clear that no lives have been lost, and no ship seems to have suffered any noteworthy damage.;;;;;;;;;;;;;x
EVTOPTA_SOH_8407;That wasn't so bad...;;;;;;;;;;;;;x
EVTDESC_SOH_8408;The passage through the storm is rather unpleasant, but the fleet emerges with only minor damage done to the ships. A few particularly unlucky sailors have been injured, but no lives seem to have been lost.;;;;;;;;;;;;;x
EVTOPTA_SOH_8408;That could have gone a lot worse...;;;;;;;;;;;;;x
EVTDESC_SOH_8409;The Treasure Fleet does not emerge entirely unscatched from the storm. Though the ship I am on escapes without major damage, several other ships go down, with the crews and passengers aboard trying to swim towards the surviving vessels.;;;;;;;;;;;;;x
EVTOPTA_SOH_8409;We should save all we can!;;;;;;;;;;;;;x
EVTDESC_SOH_8410;The voyage through the storm is not too bad at first, but it gets worse over time, and eventually my ship's luck runs out. Lightning strikes the masts, and fierce waves batter the hull. The sailors do all they can to save the ship, but their efforts are in vain.;;;;;;;;;;;;;x
EVTOPTA_SOH_8410;I must swim to safety!;;;;;;;;;;;;;x
EVTDESC_SOH_8411;Despite the best efforts of the sailors aboard the Treasure Fleet, the voyage through the storm proves to be the fleet's undoing. Lightning and waves batter the ships, with ship after ship going under. My ship goes under before the storm dissipates, and though I try my best I cannot make it ashore.;;;;;;;;;;;;;x
EVTOPTA_SOH_8411;Not like this!;;;;;;;;;;;;;x
EVTDESC_SOH_8412;I have just received word that the Treasure Fleet has gone down with all hands. It was seen heading directly into a fierce storm, and once the weather cleared only driftwood and corpses remained to be discovered by the nearby ships that had managed to avoid the worst of the storm's fury.;;;;;;;;;;;;;x
EVTOPTA_SOH_8412;Most inauspicious!;;;;;;;;;;;;;x
EVTDESC_SOH_8413;I have just received word that the Treasure Fleet has gone down with all hands. It was seen heading directly into a fierce storm, and once the weather cleared only driftwood and corpses remained to be discovered by the nearby ships that had managed to avoid the worst of the storm's fury.;;;;;;;;;;;;;x
