EVTDESC_TIANXIA_2201;[curse_target.GetBestName] is a rival for [shared_partner.GetBestName]'s affections. I could perhaps use the powers bestowed upon me by the [Root.Society.GetName] and [Root.GetDWDemon] to curse [curse_target.GetHerHim]...;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2201;I will make [curse_target.GetHerHim] less attractive!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_2201;[curse_target.GetSheHeCap] will become infertile!;;;;;;;;;;;;;x
EVTOPTC_TIANXIA_2201;May [curse_target.GetSheHe] suffer various misfortunes!;;;;;;;;;;;;;x
EVTOPTD_TIANXIA_2201;This sounds rather too risky...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2202;Success! All it took was the proper rituals and sacrifices to [Root.GetDWDemon] and [curse_target.GetBestName] was cursed as I intended. And, best of all, nobody suspects I am to blame for what happened!;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2202;You never should have been in my way, [curse_target.GetFirstName]...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2203;At first I wanted to dismiss the idea as preposterous, but it is clear to me now that I have been cursed by a follower of [Root.TrueReligion.GetRandomEvilGodName]. I don't know who to suspect.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2203;Who could have done this?;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2204;I managed to carry out the proper rituals and sacrifices to [Root.GetDWDemon] to curse [curse_target.GetBestName] as I planned. Unfortunately, it seems that some might suspect me of being involved in the matter, whether because I have been unable to hide my satisfaction or because they noticed some of what I was doing.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2204;Not ideal, but not a complete failure...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2205;At first I wanted to dismiss the idea as preposterous, but it is clear to me now that I have been cursed by a follower of [Root.TrueReligion.GetRandomEvilGodName]. This might be [From.GetBestName]'s doing.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2205;[From.GetSheHeCap] must have cursed me!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_2205;Guards! Seize [From.GetHerHim]!;;;;;;;;;;;;;x
EVTOPTC_TIANXIA_2205;I am surely imagining [From.GetHerHis] involvement...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2206;It seems [curse_target.GetBestName] has caught on to me cursing [curse_target.GetHerHim] as [curse_target.GetSheHe] has made public accusations to that effect.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2206;You have no proof!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_2206;This might not be good...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2207;[curse_target.GetBestName] has accused [curser.GetBestName] of cursing [curse_target.GetHerHim], supposedly in order to make me dislike [curse_target.GetHerHim]. Some of the servants also claim to have noticed [curser.GetBestName] involved in some suspicious activities, though whether they can be trusted is unknown.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2207;[curser.GetFirstName] will burn for this!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_2207;I will have [curser.GetFirstName] imprisoned!;;;;;;;;;;;;;x
EVTOPTC_TIANXIA_2207;The [curser.GetWarlockWitch] will be branded!;;;;;;;;;;;;;x
EVTOPTD_TIANXIA_2207;What nonsense! [curser.GetFirstName] is innocent!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2208;[From.GetBestName] believed [curse_target.GetBestName]'s accusations, and has decreed that I will be burned at the stake.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2208;No! Not like this!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2209;[FromFrom.GetBestName] believed my accusations, and as a result [curser.GetBestName] has been burned at the stake for [curser.GetHerHis] crimes against me.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2209;Suffer not the [curser.GetWarlockWitch]!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2210;It seems [From.GetBestName] believed [curse_target.GetBestName]'s accusations, as [From.GetSheHe] has ordered [From.GetHerHis] guards to throw me in a prison cell until such a time I can be dealt with properly.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2210;Unhand me!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2211;[FromFrom.GetBestName] had [FromFrom.GetHerHis] guards throw [curser.GetBestName] in a prison cell. Not as permanent an outcome as burning the [curser.GetWarlockWitch] would have been, but still a punishment for [curser.GetHerHis] crimes against me.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2211;Let [curser.GetHerHim] rot!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2212;[From.GetBestName] believed [curse_target.GetBestName]'s accusations and has ordered me to be branded so that everyone will know that I am a [Root.GetWarlockWitch].;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2212;I don't deserve this!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2213;[FromFrom.GetBestName] had [curser.GetBestName] branded as a [curser.GetWarlockWitch]. [curser.GetSheHeCap] still remains free, but at least there was a punishment.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2213;Now everyone will know of [curser.GetHerHis] crimes!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2214;It seems [From.GetBestName] did not believe [curse_target.GetBestName]'s accusations, seeing as [From.GetSheHe] has decreed that I am not to be punished for my supposed crimes.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2214;That could have ended very poorly...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2215;[FromFrom.GetBestName] dismissed my accusations against [curser.GetBestName], stating that I must be imagining things.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2215;What? [curser.GetSheHeCap] is clearly guilty!;;;;;;;;;;;;;x
