EVTTITLE_SOH_9103;Far from the Dragon's Eyes;;;;;;;;;;;;;x
EVTDESC_SOH_9103;The Treasure Fleet is quite far from the Middle Kingdom, and thus far from the Dragon Throne. Recently, several of the commanders in charge of the soldiers that are accompanying the Treasure Fleet have obliquely suggested that perhaps I should seize this opportunity and carve out a realm of my own in the lands currently held by [potential_treasure_fleet_invasion_target.GetBestName].\nShould I attempt to do this, [From.treasure_fleet_army_strength.GetValue] regiments, each with a thousand soldiers, will pledge themselves to my cause, provided I can put my plan into motion. Failure would likely result in the Dragon Throne making an example of me...;;;;;;;;;;;;;x
EVTOPTA_SOH_9103;This is my destiny!;;;;;;;;;;;;;x
EVTOPTB_SOH_9103;That would be treason...;;;;;;;;;;;;;x
EVTDESC_SOH_9105;At my signal the commanders that have pledged themselves to me order their forces into motion. However, though the element of surprise is on our side, the loyalists soon strike back, and we are eventually overcome. I find myself chained up on a ship bound back to China, awaiting the Dragon Throne's mercy.;;;;;;;;;;;;;x
EVTOPTA_SOH_9105;This is all a misunderstanding!;;;;;;;;;;;;;x
EVTDESC_SOH_9106;I have just received word that [From.GetBestName] attempted to seize control of the forces accompanying the Treasure Fleet in order to carve out an empire of [From.GetHerHis] own. Luckily, the loyal elements of the Treasure Fleet managed to put an end to this treasonous plan.;;;;;;;;;;;;;x
EVTOPTA_SOH_9106;I will deal with this traitor myself!;;;;;;;;;;;;;x
EVTDESC_SOH_9107;As the Treasure Fleet is about to depart forces loyal to [From.GetBestName] attempt to take control of the fleet, proclaiming that [From.GetBestName] will forge an empire to last ten thousand years. However, [From.GetHerHis] rebellion does not even last a day, and [From.GetSheHe] is captured and shipped back to the Middle Kingdom.;;;;;;;;;;;;;x
EVTOPTA_SOH_9107;I doubt the Dragon Throne will be merciful...;;;;;;;;;;;;;x
EVTDESC_SOH_9108;I have received word that [From.GetBestName] sought to use the Treasure Fleet to carve out an empire of [From.GetHerHis] own but that the attempt was unsuccessful. The traitor has been shipped back to the Middle Kingdom to stand trial.;;;;;;;;;;;;;x
EVTOPTA_SOH_9108;How unexpected!;;;;;;;;;;;;;x
EVTDESC_SOH_9109;The commanders who have pledged themselves to me strike on my signal, and with the element of surprise on our side we seize control of most of the ships belonging to the Treasure Fleet. A few vessels make their escape as my forces make landfall, but they are in no position to stop me.;;;;;;;;;;;;;x
EVTOPTA_SOH_9109;Onwards to victory!;;;;;;;;;;;;;x
EVTDESC_SOH_9110;I have just received word that the traitorous [From.GetBestName] has suborned the Treasure Fleet and that [From.GetSheHe] now seeks to carve out an empire of [From.GetHerHis] own. Should [From.GetHerHis] initial conquest succeed, [From.GetSheHe] will likely claim the Mandate of Heaven.;;;;;;;;;;;;;x
EVTOPTA_SOH_9110;Traitor!;;;;;;;;;;;;;x
