EVTTITLE_SOH_9602;The Treasure Fleet Returns;;;;;;;;;;;;;x
EVTDESC_SOH_9602;The Treasure Fleet has finally returned to the Middle Kingdom, and the many soldiers and officials aboard have started to disembark. Judging by the reports that are spreading, the voyage went about as well as could have been hoped for, and it is clear to everyone that the [treasure_fleet_original_sender.GetSonDaughterCap] of Heaven, [treasure_fleet_original_sender.GetBestName], truly made a wise decision to dispatch it.\nThe recent display of the might of the Middle Kingdom will surely cause even the fiercest detractors to become more convinced that the current imperial dynasty truly possesses the Mandate of Heaven.;;;;;;;;;;;;;x
EVTOPTA_SOH_9602;Truly an auspicious event!;;;;;;;;;;;;;x
EVTTITLE_SOH_9603;The Treasure Fleet Returns;;;;;;;;;;;;;x
EVTDESC_SOH_9603;The Treasure Fleet has finally returned to the Middle Kingdom, and the many soldiers and officials aboard have started to disembark. Judging by the reports that are spreading, the voyage went about as well as could have been hoped for, and it is clear to everyone that the [treasure_fleet_original_sender.GetSonDaughterCap] of Heaven, [treasure_fleet_original_sender.GetBestName], truly made a wise decision to dispatch it.\nThe recent display of the might of the Middle Kingdom will surely cause even the fiercest detractors to become more convinced that the current imperial dynasty truly possesses the Mandate of Heaven.;;;;;;;;;;;;;x
EVTOPTA_SOH_9603;We are finally back!;;;;;;;;;;;;;x
EVTTITLE_SOH_9604;The Treasure Fleet Returns;;;;;;;;;;;;;x
EVTDESC_SOH_9604;The Treasure Fleet has finally returned to the Middle Kingdom, and the many soldiers and officials aboard have started to disembark. Judging by the reports that are spreading, the voyage went about as well as could have been hoped for, and it is clear to everyone that the [treasure_fleet_original_sender.GetSonDaughterCap] of Heaven, [treasure_fleet_original_sender.GetBestName], truly made a wise decision to dispatch it.\nThe recent display of the might of the Middle Kingdom will surely cause even the fiercest detractors to become more convinced that the current imperial dynasty truly possesses the Mandate of Heaven.;;;;;;;;;;;;;x
EVTOPTA_SOH_9604;Truly an auspicious event!;;;;;;;;;;;;;x
EVTTITLE_SOH_9605;The Treasure Fleet Returns;;;;;;;;;;;;;x
EVTDESC_SOH_9605;The Treasure Fleet has finally returned to the Middle Kingdom, and the many soldiers and officials aboard have started to disembark. Judging by the reports that are spreading, the voyage went about as well as could have been hoped for, and it is clear to everyone that the [treasure_fleet_original_sender.GetSonDaughterCap] of Heaven, [treasure_fleet_original_sender.GetBestName], truly made a wise decision to dispatch it.\nThe recent display of the might of the Middle Kingdom will surely cause even the fiercest detractors to become more convinced that the current imperial dynasty truly possesses the Mandate of Heaven.;;;;;;;;;;;;;x
EVTOPTA_SOH_9605;Interesting...;;;;;;;;;;;;;x
EVTOPTB_SOH_9605;How unfortunate it did not sink...;;;;;;;;;;;;;x
EVTTITLE_SOH_9606;The Treasure Fleet Returns;;;;;;;;;;;;;x
EVTDESC_SOH_9606;The Treasure Fleet has finally returned to the Middle Kingdom, and the many soldiers and officials aboard have started to disembark. Judging by the reports that are spreading, the Treasure Fleet somehow ended up at the legendary Mount Penglai, where a single Peach of Immortality was entrusted to its commander for delivery to the [treasure_fleet_original_sender.GetSonDaughterCap] of Heaven.\nThis highly unexpected outcome will surely cause even the fiercest detractors to become more convinced that the current imperial dynasty truly possesses the Mandate of Heaven.;;;;;;;;;;;;;x
EVTOPTA_SOH_9606;My reign will truly last ten thousand years!;;;;;;;;;;;;;x
EVTTITLE_SOH_9607;The Treasure Fleet Returns;;;;;;;;;;;;;x
EVTDESC_SOH_9607;The Treasure Fleet has finally returned to the Middle Kingdom, and the many soldiers and officials aboard have started to disembark. Judging by the reports that are spreading, the Treasure Fleet somehow ended up at the legendary Mount Penglai, where a single Peach of Immortality was entrusted to its commander for delivery to the [treasure_fleet_original_sender.GetSonDaughterCap] of Heaven.\nThis highly unexpected outcome will surely cause even the fiercest detractors to become more convinced that the current imperial dynasty truly possesses the Mandate of Heaven.;;;;;;;;;;;;;x
EVTOPTA_SOH_9607;Ten thousand years!;;;;;;;;;;;;;x
EVTTITLE_SOH_9608;The Treasure Fleet Returns;;;;;;;;;;;;;x
EVTDESC_SOH_9608;The Treasure Fleet has finally returned to the Middle Kingdom, and the many soldiers and officials aboard have started to disembark. Judging by the reports that are spreading, the Treasure Fleet somehow ended up at the legendary Mount Penglai, where a single Peach of Immortality was entrusted to its commander for delivery to the [treasure_fleet_original_sender.GetSonDaughterCap] of Heaven.\nThis highly unexpected outcome will surely cause even the fiercest detractors to become more convinced that the current imperial dynasty truly possesses the Mandate of Heaven.;;;;;;;;;;;;;x
EVTOPTA_SOH_9608;Ten thousand years!;;;;;;;;;;;;;x
EVTTITLE_SOH_9609;The Treasure Fleet Returns;;;;;;;;;;;;;x
EVTDESC_SOH_9609;The Treasure Fleet has finally returned to the Middle Kingdom, and the many soldiers and officials aboard have started to disembark. Judging by the reports that are spreading, the Treasure Fleet somehow ended up at the legendary Mount Penglai, where a single Peach of Immortality was entrusted to its commander for delivery to the [treasure_fleet_original_sender.GetSonDaughterCap] of Heaven.\nThis highly unexpected outcome will surely cause even the fiercest detractors to become more convinced that the current imperial dynasty truly possesses the Mandate of Heaven.;;;;;;;;;;;;;x
EVTOPTA_SOH_9609;Interesting...;;;;;;;;;;;;;x
EVTOPTB_SOH_9609;Terrible news indeed!;;;;;;;;;;;;;x
EVTTITLE_SOH_9610;The Treasure Fleet Returns;;;;;;;;;;;;;x
EVTDESC_SOH_9610;The Treasure Fleet has finally returned to the Middle Kingdom, and the many soldiers and officials aboard have started to disembark. Judging by the reports that are spreading, the Treasure Fleet somehow ended up at the legendary Mount Penglai. Unfortunately, there apparently were no immortals to be found there, and no Peaches of Immortality.\nThough not the ideal outcome for the [treasure_fleet_sender.GetSonDaughterCap] of Heaven, it is still a good outcome, and surely even the fiercest detractors are now more convinced that the current imperial dynasty truly possesses the Mandate of Heaven.;;;;;;;;;;;;;x
EVTOPTA_SOH_9610;Perhaps another voyage would be good...;;;;;;;;;;;;;x
EVTTITLE_SOH_9611;The Treasure Fleet Returns;;;;;;;;;;;;;x
EVTDESC_SOH_9611;The Treasure Fleet has finally returned to the Middle Kingdom, and the many soldiers and officials aboard have started to disembark. Judging by the reports that are spreading, the Treasure Fleet somehow ended up at the legendary Mount Penglai. Unfortunately, there apparently were no immortals to be found there, and no Peaches of Immortality.\nThough not the ideal outcome for the [treasure_fleet_sender.GetSonDaughterCap] of Heaven, it is still a good outcome, and surely even the fiercest detractors are now more convinced that the current imperial dynasty truly possesses the Mandate of Heaven.;;;;;;;;;;;;;x
EVTOPTA_SOH_9611;The Dragon Throne seems interested...;;;;;;;;;;;;;x
EVTTITLE_SOH_9612;The Treasure Fleet Returns;;;;;;;;;;;;;x
EVTDESC_SOH_9612;The Treasure Fleet has finally returned to the Middle Kingdom, and the many soldiers and officials aboard have started to disembark. Judging by the reports that are spreading, the Treasure Fleet somehow ended up at the legendary Mount Penglai. Unfortunately, there apparently were no immortals to be found there, and no Peaches of Immortality.\nThough not the ideal outcome for the [treasure_fleet_sender.GetSonDaughterCap] of Heaven, it is still a good outcome, and surely even the fiercest detractors are now more convinced that the current imperial dynasty truly possesses the Mandate of Heaven.;;;;;;;;;;;;;x
EVTOPTA_SOH_9612;The Dragon Throne seems interested...;;;;;;;;;;;;;x
EVTTITLE_SOH_9613;The Treasure Fleet Returns;;;;;;;;;;;;;x
EVTDESC_SOH_9613;The Treasure Fleet has finally returned to the Middle Kingdom, and the many soldiers and officials aboard have started to disembark. Judging by the reports that are spreading, the Treasure Fleet somehow ended up at the legendary Mount Penglai. Unfortunately, there apparently were no immortals to be found there, and no Peaches of Immortality.\nThough not the ideal outcome for the [treasure_fleet_sender.GetSonDaughterCap] of Heaven, it is still a good outcome, and surely even the fiercest detractors are now more convinced that the current imperial dynasty truly possesses the Mandate of Heaven.;;;;;;;;;;;;;x
