EVTDESC_TIANXIA_1802;Right as the gates are shut I start to consider whether dispatching a foraging party to gather additional food in [seclusion_food_province.GetName] would be a wise idea. One of my courtiers would go, while I would remain in seclusion with the rest of my court. The risk of us all catching a disease as a result should be minimal.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1802;[gather_food_option_1.GetBestName] is the [gather_food_option_1.GetManWoman] for the job!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_1802;I will send [gather_food_option_2.GetBestName]!;;;;;;;;;;;;;x
EVTOPTC_TIANXIA_1802;I think [gather_food_option_3.GetBestName] would be best!;;;;;;;;;;;;;x
EVTOPTD_TIANXIA_1802;It is not worth it...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1805;As [From.GetBestName] no longer resides in my court [From.GetSheHe] has not returned with the party I sent to gather additional food. Even so, the supplies that have been brought back are fairly substantial.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1805;This will do just fine!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1806;[From.GetBestName] has returned with the party that was sent to acquire more food for us. They succeded, and the peasants in [seclusion_food_province.GetName] seem content enough with what happened.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1806;Good work, [From.GetFirstName]!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_1806;Thank you for the food. You can leave now!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1807;[From.GetBestName] has returned with the party that was sent to acquire more food for us. They managed to acquire quite a bit of food, but the peasants in [seclusion_food_province.GetName] were apparently most upset with them.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1807;I can't say it's completely unexpected...;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_1807;Thank you for the food. You can leave now!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1808;The party [From.GetBestName] left with has returned without [From.GetHerHim], bringing a smaller amount of food than expected. It seems some of the peasants of [seclusion_food_province.GetName] saw fit to attack the party over the supposed theft of their food, and [From.GetBestName] was killed in the fighting.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1808;Those peasants should show proper respect!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1812;[From.GetBestName]'s party has returned without [From.GetHerHim], with a number of those that have returned looking less than healthy. It seems [From.GetBestName] died from some kind of disease, and it might perhaps spread in my court now.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1812;This might have been a mistake, even if we now have some more food...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1813;It seems [From.GetBestName] has died. The others that left with [From.GetHerHim] have returned with the food that they had managed to gather, but it seems to be a smaller amount than they probably would have been able to gather if [From.GetBestName] still had been alive.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1813;I see...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1814;Life in seclusion is unlikely to be the same as life outside seclusion. I should perhaps try to focus on something in particular to make the most of this time.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1814;We shall pray for things to get better!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_1814;We should enjoy ourselves!;;;;;;;;;;;;;x
EVTOPTC_TIANXIA_1814;I think I will try to keep busy!;;;;;;;;;;;;;x
EVTOPTD_TIANXIA_1814;We should aim to make the food last for as long as possible!;;;;;;;;;;;;;x
EVTOPTE_TIANXIA_1814;We should grow our own food!;;;;;;;;;;;;;x
EVTOPTF_TIANXIA_1814;This is an opportunity to discover secrets!;;;;;;;;;;;;;x
EVTOPTG_TIANXIA_1814;Finally I can afford to relax!;;;;;;;;;;;;;x
EVTOPTH_TIANXIA_1814;Let's try to live as we normally would...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1816;Now that I am in charge I need to decide how to spend my time in seclusion. I could perhaps focus on something in particular, if just trying to live as I normally would does not seem like the best idea.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1816;We shall pray for things to get better!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_1816;We should enjoy ourselves!;;;;;;;;;;;;;x
EVTOPTC_TIANXIA_1816;I think I will try to keep busy!;;;;;;;;;;;;;x
EVTOPTD_TIANXIA_1816;We should aim to make the food last for as long as possible!;;;;;;;;;;;;;x
EVTOPTE_TIANXIA_1816;We should grow our own food!;;;;;;;;;;;;;x
EVTOPTF_TIANXIA_1816;This is an opportunity to discover secrets!;;;;;;;;;;;;;x
EVTOPTG_TIANXIA_1816;Finally I can afford to relax!;;;;;;;;;;;;;x
EVTOPTH_TIANXIA_1816;Let's try to live as we normally would...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1817;I have realized that my former approach to this time in seclusion is not right for me, and should consider some other approach instead.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1817;We shall pray for things to get better!;;;;;;;;;;;;;x
