# 00_disease_effects.txt
courtiers_also_have_food_modifiers_updated;Your courtiers also suffer the effects of the current level of food;;;;;;;;;;;;;x

# 09_sunrise_invasion_effects.txt
some_papuans_appear;Some Papuans join your court.;;;;;;;;;;;;;x

# 10_soh_chinese_dynasties_effects.txt
clean_up_grace;All Grace is forfeit and all Chinese Princesses lose their special standing.;;;;;;;;;;;;;x
set_up_grace;All relevant female relatives of the new Emperor of China gains the Chinese Princess status.;;;;;;;;;;;;;x

# 10_soh_imperial_family_effects.txt
deceased_forefathers_rejoin_imperial_family;All male line ancestors not already part of the Imperial Family rejoin it.;;;;;;;;;;;;;x
male_line_descendants_not_explicitly_given_a_surname_join_the_imperial_family;All non-bastard male line descendants not explicitly given a surname rejoin the Imperial Family.;;;;;;;;;;;;;x

# 10_soh_spawn_character_effects.txt
grant_random_court_eunuch_position_to_skilled_eunuch;[skilled_eunuch.GetBestName] becomes a Council Eunuch.;;;;;;;;;;;;;x

# 13_misc_effects.txt
will_become_more_youthful;You will regain some of your lost youth.;;;;;;;;;;;;;x

# 10_soh_chinese_imperial_empires_effect.txt
create_pretender_empire_tooltip;Gains a titular empire title and becomes a Chinese Imperial pretender;;;;;;;;;;;;;x

# 10_soh_japan_chrysanthemum_throne_effects.txt
most_liked_becomes_new_tenno;The current holder of the Chrysanthemum Throne abdicates to the eligible member of the Imperial Family most liked by the victor;;;;;;;;;;;;;x
