EVTDESC_TIANXIA_402;It seems [wl_consort_taker.GetBestName] has charmed [wl_consort.GetBestName] with the tales of [wl_consort_taker.GetHerHis] exploits as a member of [GetAinuWarriorSocietyName], seeing as [wl_consort.GetSheHe] has seen fit to become [wl_consort_taker.GetHerHis] consort.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_402;[wl_consort_taker.GetFirstName] could do better!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_402;[wl_consort.GetFirstName] could do better!;;;;;;;;;;;;;x
EVTOPTC_TIANXIA_402;Truly a great match!;;;;;;;;;;;;;x
EVTOPTD_TIANXIA_402;I hope they make each other miserable!;;;;;;;;;;;;;x
EVTOPTE_TIANXIA_402;They're up to something!;;;;;;;;;;;;;x
EVTOPTF_TIANXIA_402;I see...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_403;Several members of [GetNivkhWarriorSocietyName] came to see me today, indicating that [FromFrom.GetBestName] has noticed my associating with several troublesome elements within [FromFrom.GetHerHis] realm. They suggested that it would be most unwise of me to continue such a course of action, seeing as accidents do happen...;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_403;I dare not oppose [FromFrom.GetHerHim]...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_404;Several members of [GetNivkhWarriorSocietyName] came to see me today, indicating that [FromFrom.GetBestName] has noticed my lack of support for [FromFrom.GetHerHis] righteous opposition to [Root.Liege.GetBestName]'s current rule. They suggested that it would be most unwise of me to not support [FromFrom.GetHerHim], seeing as accidents do happen...;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_404;I dare not oppose [FromFrom.GetHerHim]...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_405;I have been visited by several members of [GetBatakWarriorSocietyName] recently, who all seem keen to get to know someone related to the great [FromFrom.GetBestName]. Based on what they have told me, it seems I might have misjudged [FromFrom.GetHerHim] in the past, as [FromFrom.GetSheHe] seems to be a remarkable [FromFrom.GetManWoman].;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_405;I should get to know [FromFrom.GetHerHim] better!;;;;;;;;;;;;;x
