chinese_arm_protector;Chinese Arm Protector;Brassard chinois;Chinesischer Armschutz;;Protector de brazo chino;;;;;;;;;x
chinese_arm_protector_desc;An elaborately decorated brocade armband - it depicts five stars in the night sky.;Un brassard de brocart très élaboré - il représente cinq étoiles dans le ciel nocturne.;Eine aufwändig dekorierte Armbinde aus Brokat. Sie zeigt 5 Sterne im Nachthimmel.;;Un brazalete brocado muy adornado que muestra cinco estrellas en el cielo nocturno.;;;;;;;;;x
chinese_arm_protector_name;[chinese_artifact_origin.GetAppropriateChinaName] Arm Protector;Brassard de la [chinese_artifact_origin.GetAppropriateChinaName];Armschutz von [chinese_artifact_origin.GetAppropriateChinaName];;Protector de brazo de [chinese_artifact_origin.GetAppropriateChinaName];;;;;;;;;x
chinese_artwork;Chinese Artwork;Peinture de la Chine;Chinesische Kunstwerk;;Obra del arte china;;;;;;;;;x
chinese_artwork_desc;An inspiring piece of art created by a renowned painter from China, it truly captures the majesty of the lands of the Middle Kingdom.;;;;;;;;;;;;;x
chinese_artwork_name;[chinese_artifact_origin.GetAppropriateChinaName] Artwork;Peinture de la [chinese_artifact_origin.GetAppropriateChinaName];Kunstwerk aus [chinese_artifact_origin.GetAppropriateChinaName];;Obra de arte [chinese_artifact_origin.GetAppropriateChinaName];;;;;;;;;x
chinese_book_economy;Chinese Economic Chronicle;Chronique économique chinoise;Chinesische Wirtschaft;;Crónica económica china;;;;;;;;;x
chinese_book_economy_desc;A beautiful book bound with great care. Its outlining of the general principles of economy and trade seems incredibly insightful.;Un beau livre relié avec beaucoup de soin. La définition des principes généraux de l'économie et du commerce semble incroyablement pertinente.;Ein schönes Buch, das mit großer Sorgfalt gebunden ist. Seine Beschreibung der allgemeinen Grundsätze der Wirtschaft und des Handels sind sehr aufschlussreich.;;Un hermoso libro envuelto con gran cuidado. Sus explicaciones de los principios generales de economía y comercio son muy reveladoras.;;;;;;;;;x
chinese_book_economy_name;[offmap_china.Governor.GetFirstName]'s Chronicle of Economic Principle;Chronique de principes économiques de [offmap_china.Governor.GetFirstName];Chronik wirtschaftlicher Grundsätze von [Root.GetFirstName];;Crónica de principios económicos de [Root.GetFirstName];;;;;;;;;x
chinese_book_health;Chinese Compendium of Medicine;Compendium chinois de médecine;Chinesische Medizin;;Compendio de medicina china;;;;;;;;;x
chinese_book_health_desc;This beautifully bound book tells of the many fascinating aspects of Chinese medicine and its various uses.;Ce livre joliment relié décrit les nombreux aspects fascinants de la médecine chinoise et de ses diverses utilisations.;Dieses schön gebundene Buch erzählt von den vielen faszinierenden Aspekten der chinesischen Medizin und ihrer verschiedenen Anwendungen.;;Este hermoso libro nos cuenta muchos de los fascinantes aspectos de la medicina china y sus diversos usos.;;;;;;;;;x
chinese_book_health_name;[chinese_artifact_origin.GetAppropriateChinaName] Compendium of Medicine;Compendium de la médecine de la [chinese_artifact_origin.GetAppropriateChinaName];Kompendium der Medizin von [chinese_artifact_origin.GetAppropriateChinaName];;Compendio de medicina de [chinese_artifact_origin.GetAppropriateChinaName];;;;;;;;;x
chinese_book_law;Chinese Treatise on Law;Traité chinois sur le droit;Chinesische Gesetze;;Tratado de ley china;;;;;;;;;x
chinese_book_law_desc;An ornate book bound with silk. Its beautiful formulations and elegant phrasings describe Confucian law in mesmerizing detail.;Un livre orné de soie. Ses formidables formulations et ses phrasés élégants décrivent la loi confucéenne avec des détails fascinants.;Ein aufwändig verziertes Buch, das mit Seide gebunden ist. Seine geschmeidigen Formulierungen und eleganten Phrasen beschreiben das konfuzianische Gesetz mit faszinierenden Details.;;En adornado libro envuelto en seda. Sus hermosas fórmulas y frases elegantes describen la ley confuciana con un detalle hipnótico.;;;;;;;;;x
chinese_book_law_name;[chinese_artifact_origin.GetAppropriateChinaName] Treatise on Law;Traité sur le droit de la [chinese_artifact_origin.GetAppropriateChinaName];Gesetzesabhandlung von [chinese_artifact_origin.GetAppropriateChinaName];;Tratado de ley de [chinese_artifact_origin.GetAppropriateChinaName];;;;;;;;;x
chinese_bronze_sculpture;Bronze Sculpture;Sculpture en bronze;Bronzeskulptur;;Escultura de bronce;;;;;;;;;x
chinese_bronze_sculpture_desc;A fantastic bronze rendition of a majestic beast mid-stride. The graceful movement of the subject is truly inspiring!;Une formidable reproduction en bronze d'une majestueuse bête qui court. Ce mouvement gracieux est vraiment stimulant !;Eine fantastische Bronzedarstellung eines majestätischen Biestes. Die anmutige Bewegung des Subjekts ist wahrlich inspirierend!;;Una fantástica interpretación en bronce de una bestia magnífica a punto de golpear. ¡El movimiento grácil del sujeto es muy inspirador!;;;;;;;;;x
chinese_bronze_sculpture_name;[chinese_artifact_origin.GetAppropriateChinaName] Bronze Sculpture;Sculpture en bronze de la [chinese_artifact_origin.GetAppropriateChinaName];Bronzeskulptur von [chinese_artifact_origin.GetAppropriateChinaName];;Escultura de bronce de [chinese_artifact_origin.GetAppropriateChinaName];;;;;;;;;x
chinese_calligraphy;Chinese Calligraphy;Calligraphie de la Chine;Chinesischer Kalligraphie;;Caligrafía de china;;;;;;;;;x
chinese_calligraphy_desc;This painting shows the flow and beauty of Chinese writing - clearly the work of a true master.;Cette peinture met en lumière le mouvement et la beauté de la calligraphie chinoise - clairement le travail d'un maître.;Diese Malerei zeigt den Fluss und die Schönheit des chinesischen Schreibens. Wahrlich das Werk eines Meisters.;;Esta pintura muestra la fluidez y belleza de la escritura china. Obviamente, es obra de un gran maestro.;;;;;;;;;x
