### General
# Imperial Regalia of Japan
kusanagi;Kusanagi;;;;;;;;;;;;;x
kusanagi_desc;Part of the Imperial Regalia of Japan, the sword Kusanagi no Tsurugi ("The Grass Cutting Sword"), sometimes known as Ame no Murakumo no Tsurugi ("The Heavenly Sword of Gathering Clouds"), is said to represent the virtue of valor.;;;;;;;;;;;;;x
yata_no_kagami;Yata no Kagami;;;;;;;;;;;;;x
yata_no_kagami_desc;Part of the Imperial Regalia of Japan, the sacred mirror Yata no Kagami ("The Eight Hand Mirror") represents the virtue of wisdom and honesty.;;;;;;;;;;;;;x
yasakani_no_magatama;Yasakani no Magatama;;;;;;;;;;;;;x
yasakani_no_magatama_desc;Part of the Imperial Regalia of Japan, the jewel Yasakani no Magatama has unknown, but indisputably sacred, properties.;;;;;;;;;;;;;x
# Heirloom Seal of the Realm
heirloom_seal_of_the_realm;Heirloom Seal of the Realm;;;;;;;;;;;;;x
heirloom_seal_of_the_realm_desc;Carved out of the famed jade disc He Shi Bi, the Heirloom Seal of the Realm is a symbol of the Mandate of Heaven itself.;;;;;;;;;;;;;x
# Misc Chinese
king_of_na_gold_seal;King of Na Gold Seal;;;;;;;;;;;;;x
king_of_na_gold_seal_desc;Gifted to "the King the Na state of the Wa" by the Han Dynasty, this seal potentially denotes vassalage to China.;;;;;;;;;;;;;x
five_stars_rising_in_the_east_arm_protector;"Five stars rising in the East";;;;;;;;;;;;;x
five_stars_rising_in_the_east_arm_protector_desc;This ancient Chinese arm protector carries the inscription "Five stars rising in the east benefit China", possibly alluding to a phrase in the Records of the Grand Historian.;;;;;;;;;;;;;x
put_down_south_qiang_arm_protector;"Put down South Qiang";;;;;;;;;;;;;x
put_down_south_qiang_arm_protector_desc;This ancient Chinese arm protector carries the inscription "Put down South Qiang".;;;;;;;;;;;;;x
flying_horse_of_gansu;Flying Horse;;;;;;;;;;;;;x
flying_horse_of_gansu_desc;This bronze sculpture of a horse balanced on one hoof atop a flying swallow is truly impressive.;;;;;;;;;;;;;x
qin_bronze_chariot;Qin Bronze Chariot;;;;;;;;;;;;;x
qin_bronze_chariot_desc;This long-buried bronze chariot is truly a magnificent representation of the strength of a Chinese dynasty long gone.;;;;;;;;;;;;;
silk_painting_depicting_a_man_riding_a_dragon;Silk painting of a man riding a dragon;;;;;;;;;;;;;x
silk_painting_depicting_a_man_riding_a_dragon_desc;This painting depicts a man riding a dragon. Judging by his appearance and various aspects of the painting, he is most likely a noble of some kind.;;;;;;;;;;;;;x
embroidery_illustrating_sakyamuni_preaching;Sakyamuni Preaching;;;;;;;;;;;;;x
embroidery_illustrating_sakyamuni_preaching_desc;This embroidery depicts the Buddha preaching the Lotus Sutra atop Gridhraj Parvat.;;;;;;;;;;;;;x
twelve_metal_colossi;Twelve Metal Colossi;;;;;;;;;;;;;x
twelve_metal_colossi_desc;Forged by Qin Shi Huangdi from the weapons of his foes, the nine surviving colossi are an imposing and majestic sight to behold.;;;;;;;;;;;;;x
nine_tripod_cauldrons;Nine Tripod Cauldrons;;;;;;;;;;;;;x
nine_tripod_cauldrons_desc;Supposedly cast by Yu the Great of Xia, these cauldrons symbolize the power and authority of the ruling dynasty.;;;;;;;;;;;;;x
houmuwu_ding;Houmuwu ding;;;;;;;;;;;;;x
houmuwu_ding_desc;This heavy bronze ding is richly decorated and has been inscribed with the temple name of Fu Jing, a queen of Wu Ding.;;;;;;;;;;;;;x
# Misc Japanese
taima_mandala;Taima Mandala;;;;;;;;;;;;;x
taima_mandala_desc;This detailed mandala was supposedly created in the presence of Chujo-hime by two nuns that some suspect were Amida and Kannon in disguise.;;;;;;;;;;;;;x
tenjukoku_shucho_mandala;Tenjukoku Shucho Mandala;;;;;;;;;;;;;x
tenjukoku_shucho_mandala_desc;Created in honor of Prince Shotoku, one of the earliest proponents of Buddhism in Japan, this mandala is both old and beautiful.;;;;;;;;;;;;;x
shaka_rising_from_the_gold_coffin;Shaka rising from the Gold Coffin;;;;;;;;;;;;;x
shaka_rising_from_the_gold_coffin_desc;Depicting the resurrection of the Shakyamuni Buddha, this masterpiece was created by an unknown but extremely skiled artist.;;;;;;;;;;;;;x
murasaki_shikibu_diary_emaki;Murasaki Shikibu Nikki Emaki;;;;;;;;;;;;;x
murasaki_shikibu_diary_emaki_desc;This picture scroll contains illustrations inspired by the diary of Murasaki Shikibu, the author of the Tale of Genji.;;;;;;;;;;;;;x
nishi_honganji_sanju_rokunin_kashu;Nishi-Honganji Sanju-rokunin-kashu;;;;;;;;;;;;;x
nishi_honganji_sanju_rokunin_kashu_desc;This illuminated manuscript contains a collection of waka poetry by the Thirty-Six Immortals of Poetry.;;;;;;;;;;;;;x
jigokuzoji;Jigokuzoji;;;;;;;;;;;;;x
jigokuzoji_desc;The "Hell Scroll" depicts seven of the sixteen lesser hells presented in the Kisekyo (the "Sutra of the World Arising").;;;;;;;;;;;;;x
genji_monogatari_emaki;Genji Monogatari Emaki;;;;;;;;;;;;;x
genji_monogatari_emaki_desc;This picture scrll contains illustrations from The Tale of Genji, written by Murasaki Shikibu.;;;;;;;;;;;;;x
extermination_of_evil;Extermination of Evil;;;;;;;;;;;;;x
extermination_of_evil_desc;This set of five paintings depicts several traditional Asian deities banishing evil.;;;;;;;;;;;;;x
sugari_no_ontachi;Sugari no Ontachi;;;;;;;;;;;;;x
sugari_no_ontachi_desc;The sword Sugari no Ontachi is normally kept at the Ise Grand Shrine.;;;;;;;;;;;;;x
# Misc Korean
gilt_bronze_maitreya_in_meditation_1;Gilt-bronze Maitreya in Meditation;;;;;;;;;;;;;x
gilt_bronze_maitreya_in_meditation_1_desc;This statue of the Maitreya, the future Buddha, is a masterpiece created in either Baekje or Silla.;;;;;;;;;;;;;x
gilt_bronze_maitreya_in_meditation_2;Gilt-bronze Maitreya in Meditation;;;;;;;;;;;;;x
gilt_bronze_maitreya_in_meditation_2_desc;This statue of the Maitreya, the future Buddha, is a masterpiece created in Silla.;;;;;;;;;;;;;x
gilt_bronze_incense_burner_of_baekje;Gilt-bronze Incense Burner of Baekje;;;;;;;;;;;;;x
gilt_bronze_incense_burner_of_baekje_desc;This incense burner incorporates both Buddhist and Taoist themeas, as well as some that might not belong to either.;;;;;;;;;;;;;x
seven_branched_sword;The Seven-Branched Sword;;;;;;;;;;;;;x
seven_branched_sword_desc;The Seven-Branched Sword was a gift from the King of Baekje to the Emperor of Japan, and a description of its origin is inscribed on the blade itself.;;;;;;;;;;;;;x
# Misc Vietnamese
ngoc_lu_drum;Ngoc Lu drum;;;;;;;;;;;;;x
ngoc_lu_drum_desc;This drum is believed to have been created in ancient times by the Lac Viet people and is decorated with depictions of people and animals.;;;;;;;;;;;;;x
# Misc Malay
cura_si_manjakini;Cura Si Manjakini;;;;;;;;;;;;;x
cura_si_manjakini_desc;The sword Cura Si Manjakini is a symbol of rightful sovereignty and power in Malay culture.;;;;;;;;;;;;;x
# Misc Khmer
preah_khan_reach;Preah Khan Reach;;;;;;;;;;;;;x
preah_khan_reach_desc;Gifted to Jayavarman III by his father Jayavarman II, this sword signifies the authority of the Khmer monarch.;;;;;;;;;;;;;x
### Books
# Chinese books
etiquette_and_ceremonial;Book of Etiquette and Ceremonial;;;;;;;;;;;;;x
etiquette_and_ceremonial_desc;Describing social behavior and ceremonial ritual during the Spring and Autumn period, this is one of the oldest works of chinese literature.;;;;;;;;;;;;;x
i_ching;I Ching;;;;;;;;;;;;;x
i_ching_desc;Sometimes called the Book of Changes, the I Ching is an ancient book of divination.;;;;;;;;;;;;;x
discourse_of_the_states;Guoyu;;;;;;;;;;;;;x
