BAEKJAKBUIN;Baekjakbuin;Baekjakbuin;Baekjakbuin;;Baekjakbuin;;;;;;;;;x
BANUWANG;Ba Nuwang;Ba Nuwang;Ba Nuwang;;Ba Nuwang;;;;;;;;;x
BATUOCPHUNHAN;Batuocphunhan;Batuocphunhan;Batuocphunhan;;Batuocphunhan;;;;;;;;;x
BAWANGHOU;Ba Wanghou;Ba Wanghou;Ba Wanghou;;Ba Wanghou;;;;;;;;;x
BUWANGBI;Buwangbi;Buwangbi;Buwangbi;;Buwangbi;;;;;;;;;x
BUYEOWANG;Buyeowang;Buyeowang;Buyeowang;;Buyeowang;;;;;;;;;x
CHIJIFUJIN;Chijifujin;Chijifujin;Chijifujin;;Chijifujin;;;;;;;;;x
CISHIFUREN;Cishifuren;Cishifuren;Cishifuren;;Cishifuren;;;;;;;;;x
CONGTUOCPHUNHAN;Congtuocphunhan;Congtuocphunhan;Congtuocphunhan;;Congtuocphunhan;;;;;;;;;x
COYA;Coya;;;;;;;;;;;;;x
DADUDUFUREN;Dadudufuren;Dadudufuren;Dadudufuren;;Dadudufuren;;;;;;;;;x
DAIJOO;Daijoo;Daijoo;Daijoo;;Daijoo;;;;;;;;;x
DAIMYOFUJIN;Daimyofujin;Daimyofujin;Daimyofujin;;Daimyofujin;;;;;;;;;x
DAINUVUONG;Dai Nuvuong;Dai Nuvuong;Dai Nuvuong;;Dai Nuvuong;;;;;;;;;x
DAIOHI;Daiohi;Daiohi;Daiohi;;Daiohi;;;;;;;;;x
DAIVUONGHAU;Dai Vuonghau;Dai Vuonghau;Dai Vuonghau;;Dai Vuonghau;;;;;;;;;x
GONGJAKBUIN;Gongjakbuin;Gongjakbuin;Gongjakbuin;;Gongjakbuin;;;;;;;;;x
GONGJUEFUREN;Gongjuefuren;Gongjuefuren;Gongjuefuren;;Gongjuefuren;;;;;;;;;x
HOANGHAU;Hoanghau;Hoanghau;Hoanghau;;Hoanghau;;;;;;;;;x
HUANGHOU;Huanghou;Huanghou;Huanghou;;Huanghou;;;;;;;;;x
HWANGHU;Hwanghu;Hwanghu;Hwanghu;;Hwanghu;;;;;;;;;x
JIEDUSHIFUREN;Jiedushifuren;Jiedushifuren;Jiedushifuren;;Jiedushifuren;;;;;;;;;x
JISABUIN;Jisabuin;Jisabuin;Jisabuin;;Jisabuin;;;;;;;;;x
JITOFUJIN;Jitofujin;Jitofujin;Jitofujin;;Jitofujin;;;;;;;;;x
JOCHIJI;Jochiji;Jochiji;Jochiji;;Jochiji;;;;;;;;;x
JODAIMYO;Jodaimyo;Jodaimyo;Jodaimyo;;Jodaimyo;;;;;;;;;x
JOJITO;Jojito;Jojito;Jojito;;Jojito;;;;;;;;;x
JOKANREI;Jokanrei;Jokanrei;Jokanrei;;Jokanrei;;;;;;;;;x
JOKOKUSHI;Jokokushi;Jokokushi;Jokokushi;;Jokokushi;;;;;;;;;x
JOO;Joo;Joo;Joo;;Joo;;;;;;;;;x
JOSHOGUN;Joshogun;Joshogun;Joshogun;;Joshogun;;;;;;;;;x
JOSHUGO;Joshugo;Joshugo;Joshugo;;Joshugo;;;;;;;;;x
JOTEI;Jotei;Jotei;Jotei;;Jotei;;;;;;;;;x
KANREIFUJIN;Kanreifujin;Kanreifujin;Kanreifujin;;Kanreifujin;;;;;;;;;x
KOGO;Kogo;Kogo;Kogo;;Kogo;;;;;;;;;x
KOKUSHIFUJIN;Kokushifujin;Kokushifujin;Kokushifujin;;Kokushifujin;;;;;;;;;x
MIDAIDOKORO;Midaidokoro;Midaidokoro;Midaidokoro;;Midaidokoro;;;;;;;;;x
NAMJAKBUIN;Namjakbuin;Namjakbuin;Namjakbuin;;Namjakbuin;;;;;;;;;x
NAMTUOCPHUNHAN;Namtuocphunhan;Namtuocphunhan;Namtuocphunhan;;Namtuocphunhan;;;;;;;;;x
NUBATUOC;Nubatuoc;Nubatuoc;Nubatuoc;;Nubatuoc;;;;;;;;;x
NUCISHI;Nucishi;Nucishi;Nucishi;;Nucishi;;;;;;;;;x
NUCONGTUOC;Nucongtuoc;Nucongtuoc;Nucongtuoc;;Nucongtuoc;;;;;;;;;x
NUDADUDU;Nudadudu;Nudadudu;Nudadudu;;Nudadudu;;;;;;;;;x
NUGONGJUE;Nugongjue;Nugongjue;Nugongjue;;Nugongjue;;;;;;;;;x
NUHOANGDE;Nuhoangde;Nuhoangde;Nuhoangde;;Nuhoangde;;;;;;;;;x
NUHUANG;Nuhuang;Nuhuang;Nuhuang;;Nuhuang;;;;;;;;;x
NUJIEDUSHI;Nujiedushi;Nujiedushi;Nujiedushi;;Nujiedushi;;;;;;;;;x
NUNAMTUOC;Nunamtuoc;Nunamtuoc;Nunamtuoc;;Nunamtuoc;;;;;;;;;x
NUTHONGDOC;Nuthongdoc;Nuthongdoc;Nuthongdoc;;Nuthongdoc;;;;;;;;;x
NUVUONG;Nuvuong;Nuvuong;Nuvuong;;Nuvuong;;;;;;;;;x
NUWANG;Nuwang;Nuwang;Nuwang;;Nuwang;;;;;;;;;x
NUXIANLING;Nuxianling;Nuxianling;Nuxianling;;Nuxianling;;;;;;;;;x
OHI;Ohi;Ohi;Ohi;;Ohi;;;;;;;;;x
PHONUVUONG;Phonuvuong;Phonuvuong;Phonuvuong;;Phonuvuong;;;;;;;;;x
PHOVUONGHAU;Phovuonghau;Phovuonghau;Phovuonghau;;Phovuonghau;;;;;;;;;x
SAPA_INCA;Sapa Inca;;;;;;;;;;;;;x
SHUGOFUJIN;Shugofujin;Shugofujin;Shugofujin;;Shugofujin;;;;;;;;;x
TAEWANGBI;Taewangbi;Taewangbi;Taewangbi;;Taewangbi;;;;;;;;;x
TAEYEOWANG;Taeyeowang;Taeyeowang;Taeyeowang;;Taeyeowang;;;;;;;;;x
