andamanese_group;Andamanese;andamanais;Andamanese;;Andamanése;;;;;;;;;x
andamanese_group_FEATURES;§Y*§! Eligible for the §YMandala§! government if §YHindu§!, §YBuddhist§!, or §YJain§!.;;;;;;;;;;;;;x
andamanese;Andamanese;andamanais;Andamanese;;Andamanése;;;;;;;;;x
andean;Andean;;;;;;;;;;;;;x
quechua;Quechua;;;;;;;;;;;;;x
bornean_group;Bornean;;;;;;;;;;;;;x
bornean_group_FEATURES;§Y*§! Eligible for the §YMandala§! government if §YHindu§!, §YBuddhist§!, or §YJain§!.;;;;;;;;;;;;;x
dayak;Dayak;dayak;Dayak;;Dayak;;;;;;;;;x
dusun;Dusun;;;;;;;;;;;;;x
banjar;Banjar;;;;;;;;;;;;;x
burmese_group;Burmic;;;;;;;;;;;;;x
yi;Yi;;;;;;;;;;;;;x
yi_FEATURES;§Y*§! Unlocks access to various Chinese governments if §YBuddhist§!.\n§Y*§! Eligible for the §YMandala§! government if §YHindu§! or §YJain§!.;;;;;;;;;;;;;x
bamar;Bamar;birman;Birmanisch;;Birmano;;;;;;;;;x
bamar_FEATURES;§Y*§! Eligible for the §YMandala§! government if §YHindu§!, §YBuddhist§!, or §YJain§!.;;;;;;;;;;;;;x
pyu;Pyu;;;;;;;;;;;;;x
pyu_FEATURES;§Y*§! Eligible for the §YMandala§! government if §YHindu§!, §YBuddhist§!, or §YJain§!.;;;;;;;;;;;;;x
chin;Chin;;;;;;;;;;;;;x
chin_FEATURES;§Y*§! Eligible for the §YMandala§! government if §YHindu§!, §YBuddhist§!, or §YJain§!.;;;;;;;;;;;;;x
kayin;Kayin;;;;;;;;;;;;;x
kayin_FEATURES;§Y*§! Eligible for the §YMandala§! government if §YHindu§!, §YBuddhist§!, or §YJain§!.;;;;;;;;;;;;;x
rakhine;Arakanese;;;;;;;;;;;;;x
rakhine_FEATURES;§Y*§! Eligible for the §YMandala§! government if §YHindu§!, §YBuddhist§!, or §YJain§!.;;;;;;;;;;;;;x
# Byzantine
atlantean;Atlantean;;;;;;;;;;;;;x
chamic;Chamic;;;;;;;;;;;;;x
chamic_FEATURES;§Y*§! Eligible for the §YMandala§! government if §YHindu§!, §YBuddhist§!, or §YJain§!.;;;;;;;;;;;;;x
cham;Cham;cham;Cham;;Cham;;;;;;;;;x
# Chinese
yue;Yue;;;;;;;;;;;;;x
wu;Wu;;;;;;;;;;;;;x
min;Min;;;;;;;;;;;;;x
xiang;Xiang;;;;;;;;;;;;;x
gan;Gan;;;;;;;;;;;;;x
hakka;Hakka;;;;;;;;;;;;;x
bashu;Ba-Shu;;;;;;;;;;;;;x
bai;Bai;;;;;;;;;;;;;x
tujia;Tujia;;;;;;;;;;;;;x
tanka;Tanka;;;;;;;;;;;;;x
hui;Hui;;;;;;;;;;;;;x
hmongmien;Hmong-Mien;;;;;;;;;;;;;x
hmongmien_FEATURES;§Y*§! Unlocks access to various Chinese governments if §YBuddhist§!.;;;;;;;;;;;;;x
miao;Miao;;;;;;;;;;;;;x
yao;Yao;;;;;;;;;;;;;x
she;She;;;;;;;;;;;;;x
# Indo-Aryan
bawarij;Bawarij;;;;;;;;;;;;;x
# Israelite
kaifeng;Kaifeng;;;;;;;;;;;;;x
kaifeng_FEATURES;§Y*§! Unlocks access to various Chinese governments if §YBuddhist§!.;;;;;;;;;;;;;x
japonic;Japonic;;;;;;;;;;;;;x
japonic_FEATURES;§Y*§! Unlocks access to the §YJapanese Bureaucracy§! and §YJapanese Feudal§! governments if §YBuddhist§!.;;;;;;;;;;;;;x
yamato;Yamato;;;;;;;;;;;;;x
japanese;Japanese;;;;;;;;;;;;;x
wako;Wako;;;;;;;;;;;;;x
wako_FEATURES;§Y*§! Can acquire Pirate traits if the §YHoly Fury§! DLC is active;;;;;;;;;;;;;x
ryukyuan;Ryukyuan;;;;;;;;;;;;;x
emishi;Emishi;;;;;;;;;;;;;x
ainu;Ainu;;;;;;;;;;;;;x
javanese_group;Javanese;javanaise;Javanische;Javaneses;;;;;;;;;x
javanese_group_FEATURES;§Y*§! Eligible for the §YMandala§! government if §YHindu§!, §YBuddhist§!, or §YJain§!.;;;;;;;;;;;;;x
javanese;Javanese;javanaise;Javanische;Javaneses;;;;;;;;;x
sundanese;Sundanese;;;;;;;;;;;;;x
balinese;Balinese;;;;;;;;;;;;;x
koreanic;Koreanic;;;;;;;;;;;;;x
koreanic_FEATURES;§Y*§! Unlocks access to various Chinese governments if §YBuddhist§!.;;;;;;;;;;;;;x
korean;Korean;;;;;;;;;;;;;x
jeju;Jeju;;;;;;;;;;;;;x
malay_group;Malay;malais;Malaie;;Malayo;;;;;;;;;x
malay_group_FEATURES;§Y*§! Eligible for the §YMandala§! government if §YHindu§!, §YBuddhist§!, or §YJain§!.;;;;;;;;;;;;;x
malay;Malay;Malais;malaie;;Malayo;;;;;;;;;x
minangkabau;Minangkabau;minangkabau;Minangkabau;;Minangkabau;;;;;;;;;x
acehnese;Acehnese;acehnais;Acehnese;;Acehnése;;;;;;;;;x
batak;Batak;;;;;;;;;;;;;x
samudran;Samudran;;;;;;;;;;;;;x
ma_i_an;Ma-i-an;;;;;;;;;;;;;x
ma_i_an_FEATURES;§Y*§! Eligible for the §YMandala§! government if §YHindu§!, §YBuddhist§!, or §YJain§!.;;;;;;;;;;;;;x
tagalog;Tagalog;tagalog;Tagalog;;Tagalo;;;;;;;;;x
cebuan;Cebuan;;;;;;;;;;;;;x
mekong_group;Mekong;;;;;;;;;;;;;x
mekong_group_FEATURES;§Y*§! Eligible for the §YMandala§! government if §YHindu§!, §YBuddhist§!, or §YJain§!.;;;;;;;;;;;;;x
wa;Wa;;;;;;;;;;;;;x
khmu;Khmu;;;;;;;;;;;;;x
katu;Katu;;;;;;;;;;;;;x
bahnar;Bahnar;;;;;;;;;;;;;x
mon_khmer_group;Mon-Khmer;;;;;;;;;;;;;x
mon_khmer_group_FEATURES;§Y*§! Eligible for the §YMandala§! government if §YHindu§!, §YBuddhist§!, or §YJain§!.;;;;;;;;;;;;;x
khmer;Khmer;Khmer;Khmer;;Jemer;;;;;;;;;x
mon;Mon;Mon;Mon;;Mon;;;;;;;;;x
paleosiberian;Paleo-Siberian;;;;;;;;;;;;;x
nivkh;Nivkh;;;;;;;;;;;;;x
papuan_group;Papuan;;;;;;;;;;;;;x
papuan;Papuan;;;;;;;;;;;;;x
