# TIANXIATODO
# 00_event_modifiers_HF.txt
ritual_hunt_trophy_tiger;Tiger Skin;;;;;;;;;;;;x
ritual_hunt_trophy_tiger_desc;The striped skin of a great tiger hunted down and slain by [GetTitledFirstName] after a long and perilous journey.;;;;;;;;;;;;x

# 02_event_modifiers_aclla.txt
aclla_okay_weaver;Weaver;;;;;;;;;;;;;x
aclla_okay_weaver_desc;In the Acllahuasi, this woman was instructed in the Inca ways of weaving. She has no great talent.;;;;;;;;;;;;;x
aclla_good_weaver;Good Weaver;;;;;;;;;;;;;x
aclla_good_weaver_desc;In the Acllahuasi, this woman was instructed in the Inca ways of weaving. She is a natural.;;;;;;;;;;;;;x
aclla_prodigious_weaver;Prodigious Weaver;;;;;;;;;;;;;x
aclla_prodigious_weaver_desc;In the Acllahuasi, this woman was instructed in the Inca ways of weaving. She is a true prodigy - nobody can make textiles as well as she can.;;;;;;;;;;;;;x
aclla_brewer;Chica Brewer;;;;;;;;;;;;;x
aclla_brewer_desc;In the Acllahuasi, this woman was taught the secret of making the Inca maize beer.;;;;;;;;;;;;;x
aclla_cook;Sancu Baker;;;;;;;;;;;;;x
aclla_cook_desc;In the Acllahuasi, this woman learned how to make delicious maize bread, for religious or nutritious purposes.;;;;;;;;;;;;;x
aclla_singer;Trained Singer;;;;;;;;;;;;;x
aclla_singer_desc;In the Acllahuasi, this woman developed a most charming singing voice.;;;;;;;;;;;;;x
aclla_dancer;Trained Dancer;;;;;;;;;;;;;x
aclla_dancer_desc;In the Acllahuasi, this woman was trained in Incan ritual and celebratory dances.;;;;;;;;;;;;;x
yurac_aclla;Yurac Aclla;;;;;;;;;;;;;x
yurac_aclla_desc;This woman is the highest possible class of Aclla. She is destined to be sacrificed to the gods.;;;;;;;;;;;;;x
huayru_aclla;Huayru Aclla;;;;;;;;;;;;;x
huayru_aclla_desc;This woman belongs to the second-highest class of Aclla, and she can only wed the Sapa Inca.;;;;;;;;;;;;;x
pacu_aclla;Pacu Aclla;;;;;;;;;;;;;x
