faction_regent_short;Create Permanent Regency;;;;;;;;;;;;;x
faction_regent_title;Create Permanent Regency;;;;;;;;;;;;;x
faction_regent_desc;Members seek to install §Y[From.GetTitledName]§! as the Permanent Regency of [This.GetName]§!. When sufficiently powerful, §Y[From.GetTitledName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;;;;;;;;;;;;;x
faction_regency_loyalists_short;Regency Loyalists;;;;;;;;;;;;;x
faction_regency_loyalists_title;Regency Loyalists;;;;;;;;;;;;;x
faction_regency_loyalists_desc;Members seek to maintain the Permanent Regency headed by §Y[From.GetTitledName]§!. Should §Y[From.Liege.GetBestName]§! seek to end the Permanent Regency by force §Y[From.GetTitledName]§! will have the support of the faction members.;;;;;;;;;;;;;x
faction_regent2_short;Create Permanent Regency;;;;;;;;;;;;;x
faction_regent2_title;Create Permanent Regency;;;;;;;;;;;;;x
faction_regent2_desc;Members seek to install §Y[From.GetTitledName]§! as the Permanent Regency of [This.GetName]§!. When sufficiently powerful, §Y[From.GetTitledName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;;;;;;;;;;;;;x
faction_regency_loyalists2_short;Regency Loyalists;;;;;;;;;;;;;x
faction_regency_loyalists2_title;Regency Loyalists;;;;;;;;;;;;;x
faction_regency_loyalists2_desc;Members seek to maintain the Permanent Regency headed by §Y[From.GetTitledName]§!. Should §Y[From.Liege.GetBestName]§! seek to end the Permanent Regency by force §Y[From.GetTitledName]§! will have the support of the faction members.;;;;;;;;;;;;;x
faction_regent3_short;Create Permanent Regency;;;;;;;;;;;;;x
faction_regent3_title;Create Permanent Regency;;;;;;;;;;;;;x
faction_regent3_desc;Members seek to install §Y[From.GetTitledName]§! as the Permanent Regency of [This.GetName]§!. When sufficiently powerful, §Y[From.GetTitledName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;;;;;;;;;;;;;x
faction_regency_loyalists3_short;Regency Loyalists;;;;;;;;;;;;;x
faction_regency_loyalists3_title;Regency Loyalists;;;;;;;;;;;;;x
faction_regency_loyalists3_desc;Members seek to maintain the Permanent Regency headed by §Y[From.GetTitledName]§!. Should §Y[From.Liege.GetBestName]§! seek to end the Permanent Regency by force §Y[From.GetTitledName]§! will have the support of the faction members.;;;;;;;;;;;;;x
faction_shogun_short;Proclaim Shogunate;;;;;;;;;;;;;x
faction_shogun_title;Proclaim Shogunate;;;;;;;;;;;;;x
faction_shogun_desc;Members seek to proclaim a Shogunate headed by §Y[From.GetTitledName]§!. When sufficiently powerful, §Y[From.GetTitledName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;;;;;;;;;;;;;x
faction_oust_shogun_short;End Shogunate;;;;;;;;;;;;;x
faction_oust_shogun_title;End Shogunate;;;;;;;;;;;;;x
faction_oust_shogun_desc;Members seek the end of the Shogunate headed by [From.Liege.GetBestName] and the restoration of direct rule from the Chrysanthemum Throne. When sufficiently powerful, §Y[From.GetTitledName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;;;;;;;;;;;;;x
faction_imperial_claimant_short;Depose [From.Liege.GetTitledName];;;;;;;;;;;;;x
faction_imperial_claimant_title;Depose [From.Liege.GetTitledName];;;;;;;;;;;;;x
faction_imperial_claimant_desc;Members seek to depose §Y[From.Liege.GetBestName]§! in favor of another member of the Imperial Family. When sufficiently powerful, §Y[From.GetTitledName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;;;;;;;;;;;;;x
