faction_liberation_revolt;Liberation Faction;;;;;;;;;;;;;x
faction_liberation_revolt_desc;The members of this faction seek to crown [From.GetBestName] as [From.GetKingQueen] of a [From.Culture.GetName] kingdom.;;;;;;;;;;;;;x
faction_liberation_revolt_short;Liberation Faction;;;;;;;;;;;;;x
faction_liberation_revolt_title;[New.Culture.GetName] Faction;;;;;;;;;;;;;x

faction_nomad_revolt;Nomadic Liberation Faction;;;;;;;;;;;;;x
faction_nomad_revolt_desc;The members of this faction seek to break free and esatablish a [From.Culture.GetName] Confederation led by [From.GetBestName].;;;;;;;;;;;;;x
faction_nomad_revolt_short;Nomadic Liberation Faction;;;;;;;;;;;;;x
faction_nomad_revolt_title;[New.Culture.GetName] Nomadic Faction;;;;;;;;;;;;;x

faction_mandate_revolt;Imperial Dynasty Faction;;;;;;;;;;;;;x
faction_mandate_revolt_desc;[From.Liege.GetBestName]'s imperial dynasty has clearly lost the Mandate of Heaven, and it is time for a new imperial dynasty to be established by [From.GetBestName].;;;;;;;;;;;;;x
faction_mandate_revolt_short;Imperial Dynasty Faction;;;;;;;;;;;;;x
faction_mandate_revolt_title;Imperial Dynasty Faction;;;;;;;;;;;;;x
