RULE_GROUP_TIANXIA_CHINA;Tianxia - China;;;;;;;;;;;;;x
RULE_CHINESE_IMPLOSION;Chinese Collapse;;;;;;;;;;;;;x
RULE_CHINESE_IMPLOSION_ALLOWED;Allowed;;;;;;;;;;;;;x
RULE_CHINESE_IMPLOSION_ALLOWED_DESC;If a Chinese Imperial China is usurped from within by another dynasty eligible for Chinese Imperial vassals might break off, and could potentially even claim the Mandate of Heaven.;;;;;;;;;;;;;x
RULE_CHINESE_IMPLOSION_OFF;Disallowed;;;;;;;;;;;;;x
RULE_CHINESE_IMPLOSION_OFF_DESC;Nothing special happens if a Chinese Imperial China is usurped from within by another dynasty eligible for Chinese Imperial.;;;;;;;;;;;;;x
RULE_IMPERIAL_MARRIAGES;§BJade Dragon:§! Imperial Marriages;;;;;;;;;;;;;x
RULE_IMPERIAL_MARRIAGES_DISABLED;Disabled;;;;;;;;;;;;;x
RULE_IMPERIAL_MARRIAGES_DISABLED_DESC;Female relatives of a Chinese Imperial Emperor of China can be married normally. The "Request Imperial Marriage" interactions are disnabled.;;;;;;;;;;;;;x
RULE_IMPERIAL_MARRIAGES_ENABLED;Enabled;;;;;;;;;;;;;x
RULE_IMPERIAL_MARRIAGES_ENABLED_DESC;Female relatives of a Chinese Imperial Emperor of China cannot be married normally. The "Request Imperial Marriage" interactions are enabled.;;;;;;;;;;;;;x
RULE_MOH_SEVERITY;Mandate of Heaven changes;;;;;;;;;;;;;x
RULE_MOH_SEVERITY_AVERAGE;Average;;;;;;;;;;;;;x
RULE_MOH_SEVERITY_AVERAGE_DESC;Chinese Imperial rulers' Mandate of Heaven ratings shift at an average rate.;;;;;;;;;;;;;x
RULE_MOH_SEVERITY_HARSH;Harsh;;;;;;;;;;;;;x
RULE_MOH_SEVERITY_HARSH_DESC;Chinese Imperial rulers' Mandate of Heaven ratings can shift fairly rapidly severely.;;;;;;;;;;;;;x
RULE_MOH_SEVERITY_MILD;Mild;;;;;;;;;;;;;x
RULE_MOH_SEVERITY_MILD_DESC;Chinese Imperial rulers' Mandate of Heaven ratings shifts less rapidly.;;;;;;;;;;;;;x
RULE_TF_INVASIONS;Treasure Fleet Invasions;;;;;;;;;;;;;x
RULE_TF_INVASIONS_ALLOWED;Allowed;;;;;;;;;;;;;x
RULE_TF_INVASIONS_ALLOWED_DESC;Members of the Treasure Fleet might attempt to found empires through war.;;;;;;;;;;;;;x
RULE_TF_INVASIONS_FORBIDDEN;Forbidden;;;;;;;;;;;;;x
RULE_TF_INVASIONS_FORBIDDEN_DESC;No member of the Treasure Fleet can attempt to found an empire through war.;;;;;;;;;;;;;x
RULE_TF_INVASIONS_NO_AI;No AI;;;;;;;;;;;;;x
RULE_TF_INVASIONS_NO_AI_DESC;Only the player can attempt to found an empire through war as a Treasure Fleet member.;;;;;;;;;;;;;x
RULE_WESTERN_DRAGONS;Lunar New Year dragons;;;;;;;;;;;;;x
RULE_WESTERN_DRAGONS_ALLOWED;All dragons allowed;;;;;;;;;;;;;x
RULE_WESTERN_DRAGONS_ALLOWED_DESC;The dragons that can show up during the Lunar New Year celebration if supernatural events are enabled will not always be from the Far East.;;;;;;;;;;;;;x
RULE_WESTERN_DRAGONS_FORBIDDEN;Only Eastern dragons;;;;;;;;;;;;;x
RULE_WESTERN_DRAGONS_FORBIDDEN_DESC;The dragons that can show up during the Lunar New Year celebration if supernatural events are enabled will exclusively be from the Far East.;;;;;;;;;;;;;x

RULE_GROUP_TIANXIA_DHARMIC;Tianxia - Dharmic;;;;;;;;;;;;;x
RULE_INDIAN_SUBJUGATIONS;Indian Subjugations;;;;;;;;;;;;;x
RULE_INDIAN_SUBJUGATIONS_DEFAULT;Default;;;;;;;;;;;;;x
RULE_INDIAN_SUBJUGATIONS_DEFAULT_DESC;Rulers with access to the Indian Subjugation casus belli can target fellow Dharmics belonging to the same culture group.;;;;;;;;;;;;;x
