ci_job_chancellor;Chief Minister;Ministre en chef;Hauptminister;;Ministro jefe;;;;;;;;;x
ci_job_chancellor_japonic;Daijo-daijin;Daijo-daijin;Daijo-daijin;;Daijo-daijin;;;;;;;;;x
ci_job_chancellor_koreanic;Yeongwijeong;Yeongwijeong;Yeongwijeong;;Yeongwijeong;;;;;;;;;x
ci_job_marshal;Xingjun Sima;Xingjun sima;Xingjun Sima;;Xingjun Sima;;;;;;;;;x
ci_job_marshal_japonic;Hyobu-kyo;Hyobu-kyo;Hyobu-kyo;;Hyobu-kyo;;;;;;;;;x
ci_job_marshal_koreanic;Byeongjo;Byeongjo;Byeongjo;;Byeongjo;;;;;;;;;x
ci_job_spiritual;Libationer;Libationneur;Libationer;;Libador;;;;;;;;;x
ci_job_spiritual_korean_pagan;Yejo;Yejo;Yejo;;Yejo;;;;;;;;;x
ci_job_spiritual_korean_pagan_reformed;Yejo;Yejo;Yejo;;Yejo;;;;;;;;;x
ci_job_spiritual_koreanic;Yejo;Yejo;Yejo;;Yejo;;;;;;;;;x
ci_job_spiritual_yi_pagan;Chief Bimo;Bimo;Bimo;;Bimo;;;;;;;;;x
ci_job_spiritual_yi_pagan_reformed;Chief Bimo;Bimo;Bimo;;Bimo;;;;;;;;;x
ci_job_spiritual_zhuang_pagan;Chief Mogong;Mogong;Mogong;;Mogong;;;;;;;;;x
ci_job_spiritual_zhuang_pagan_reformed;Chief Mogong;Mogong;Mogong;;Mogong;;;;;;;;;x
ci_job_spymaster;Spymaster;Maître-espion;Hofspitzel;;Jefe de espías;;;;;;;;;x
ci_job_spymaster_japonic;Kebiishi;Kebiishi;Kebiishi;;Kebiishi;;;;;;;;;x
ci_job_spymaster_koreanic;Amhaengeosa;Amhaengeosa;Amhaengeosa;;Amhaengeosa;;;;;;;;;x
ci_job_treasurer;Treasurer;Trésorier;Schatzmeister;;Tesorero;;;;;;;;;x
ci_job_treasurer_japonic;Kura-bugyo;Kura-bugyo;Kura-bugyo;;Kura-bugyo;;;;;;;;;x
ci_job_treasurer_koreanic;Hojo;Hojo;Hojo;;Hojo;;;;;;;;;x
conbu_job_chancellor;Chief Minister;Ministre en chef;Hauptminister;;Ministro jefe;;;;;;;;;x
conbu_job_chancellor_japonic;Daijo-daijin;Daijo-daijin;Daijo-daijin;;Daijo-daijin;;;;;;;;;x
conbu_job_chancellor_koreanic;Yeongwijeong;Yeongwijeong;Yeongwijeong;;Yeongwijeong;;;;;;;;;x
conbu_job_marshal;Xingjun Sima;Xingjun sima;Xingjun Sima;;Xingjun Sima;;;;;;;;;x
conbu_job_marshal_japonic;Hyobu-kyo;Hyobu-kyo;Hyobu-kyo;;Hyobu-kyo;;;;;;;;;x
conbu_job_marshal_koreanic;Byeongjo;Byeongjo;Byeongjo;;Byeongjo;;;;;;;;;x
conbu_job_spiritual;Libationer;Libationneur;Libationer;;Libador;;;;;;;;;x
conbu_job_spiritual_korean_pagan;Yejo;Yejo;Yejo;;Yejo;;;;;;;;;x
conbu_job_spiritual_korean_pagan_reformed;Yejo;Yejo;Yejo;;Yejo;;;;;;;;;x
conbu_job_spiritual_koreanic;Yejo;Yejo;Yejo;;Yejo;;;;;;;;;x
conbu_job_spiritual_yi_pagan;Chief Bimo;Bimo;Bimo;;Bimo;;;;;;;;;x
conbu_job_spiritual_yi_pagan_reformed;Chief Bimo;Bimo;Bimo;;Bimo;;;;;;;;;x
conbu_job_spiritual_zhuang_pagan;Chief Mogong;Mogong;Mogong;;Mogong;;;;;;;;;x
conbu_job_spiritual_zhuang_pagan_reformed;Chief Mogong;Mogong;Mogong;;Mogong;;;;;;;;;x
conbu_job_spymaster;Spymaster;Maître-espion;Hofspitzel;;Jefe de espías;;;;;;;;;x
