DACHANGHE;Da Changhe;;;;;;;;;;;;;x
DAIVIET;Dai Viet;;;;;;;;;;;;;x
DATIANXING;Da Tianxing;;;;;;;;;;;;;x
DAYINING;Da Yining;;;;;;;;;;;;;x
DAZHONG;Da Zhong;;;;;;;;;;;;;x
GOGURYEO;Goguryeo;;;;;;;;;;;;;x
HANTHAWADDY;Hanthawaddy;;;;;;;;;;;;;x
HUBAEKJE;Hubaekje;;;;;;;;;;;;;x
NANZHAO;Nanzhao;;;;;;;;;;;;;x
WUYUE;Wuyue;;;;;;;;;;;;;x
YUNNAN;Yunnan;;;;;;;;;;;;;x

GREAT_BA;Great Ba;;;;;;;;;;;;;x
BA;Ba;;;;;;;;;;;;;x
GREAT_BEI;Great Bei;;;;;;;;;;;;;x
BEI;Bei;;;;;;;;;;;;;x
GREAT_BI;Great Bi;;;;;;;;;;;;;x
BI;Bi;;;;;;;;;;;;;x
GREAT_BING;Great Bing;;;;;;;;;;;;;x
BING;Bing;;;;;;;;;;;;;x
GREAT_CAI;Great Cai;;;;;;;;;;;;;x
CAI;Cai;;;;;;;;;;;;;x
GREAT_CAO;Great Cao;;;;;;;;;;;;;x
CAO;Cao;;;;;;;;;;;;;x
GREAT_CHAO;Great Chao;;;;;;;;;;;;;x
CHAO;Chao;;;;;;;;;;;;;x
GREAT_CHEN;Great Chen;;;;;;;;;;;;;x
CHEN;Chen;;;;;;;;;;;;;x
GREAT_CHENG;Great Cheng;;;;;;;;;;;;;x
CHENG;Cheng;;;;;;;;;;;;;x
GREAT_CHU;Great Chu;;;;;;;;;;;;;x
CHU;Chu;;;;;;;;;;;;;x
GREAT_DAI;Great Dai;;;;;;;;;;;;;x
DAI;Dai;;;;;;;;;;;;;x
GREAT_DAO;Great Dao;;;;;;;;;;;;;x
DAO;Dao;;;;;;;;;;;;;x
GREAT_DENG;Great Deng;;;;;;;;;;;;;x
DENG;Deng;;;;;;;;;;;;;x
GREAT_DI;Great Di;;;;;;;;;;;;;x
DI;Di;;;;;;;;;;;;;x
