# TIANXIATODO: Review _desc for interest group laws amd regency power laws
### Bureaucratic laws
bureaucratic_appointment_law;Bureaucratic aptitude;;;;;;;;;;;;;x
bureaucratic_appointment_law_desc;Different bureaucratic realms favour different factors when it comes to handing out titles.;;;;;;;;;;;;;x
bureaucratic_appointment_law_0;Family Ties;;;;;;;;;;;;;x
bureaucratic_appointment_law_0_option;§Y§!;;;;;;;;;;;;;x
bureaucratic_appointment_law_0_desc;The great families of the realm should of course have the lion's share of bureaucratic appointments.;;;;;;;;;;;;;x
bureaucratic_appointment_law_1;Diplomacy;;;;;;;;;;;;;x
bureaucratic_appointment_law_1_desc;A skilled diplomat is preferred for bureaucratic appointments, as they will keep the unwashed masses from growing discontent.;;;;;;;;;;;;;x
bureaucratic_appointment_law_1_option;§Y§!;;;;;;;;;;;;;x
bureaucratic_appointment_law_2;Martial;;;;;;;;;;;;;x
bureaucratic_appointment_law_2_desc;Fear will keep the unwashed masses in line. Fear of our bureaucrats' understanding of warfare.;;;;;;;;;;;;;x
bureaucratic_appointment_law_2_option;§Y§!;;;;;;;;;;;;;x
bureaucratic_appointment_law_3;Stewardship;;;;;;;;;;;;;x
bureaucratic_appointment_law_3_desc;To ensure that the local census records are kept up to date, a good steward is preferred when it comes to bureaucratic appointments.;;;;;;;;;;;;;x
bureaucratic_appointment_law_3_option;§Y§!;;;;;;;;;;;;;x
bureaucratic_appointment_law_4;Intrigue;;;;;;;;;;;;;x
bureaucratic_appointment_law_4_desc;Who would be better at rooting out corruption and worse than a bureaucrat skilled in the art of intrigue? Nobody, that is who!;;;;;;;;;;;;;x
bureaucratic_appointment_law_4_option;§Y§!;;;;;;;;;;;;;x
bureaucratic_appointment_law_5;Learning;;;;;;;;;;;;;x
bureaucratic_appointment_law_5_desc;Someone with a thorough understanding of the classics is an ideal candidate for a bureaucratic appointment.;;;;;;;;;;;;;x
bureaucratic_appointment_law_5_option;§Y§!;;;;;;;;;;;;;x
bureaucratic_appointment_law_6;Prestige;;;;;;;;;;;;;x
bureaucratic_appointment_law_6_desc;Those who have already distinguished themselves should ideally be appointed to bureaucratic positions.;;;;;;;;;;;;;x
bureaucratic_appointment_law_6_option;§Y§!;;;;;;;;;;;;;x
bureaucratic_appointment_law_7;Devoutness;;;;;;;;;;;;;x
bureaucratic_appointment_law_7_desc;Only those who truly are devout followers of the [This.Holder.Religion.GetName] faith have a place in the bureaucracy.;;;;;;;;;;;;;x
bureaucratic_appointment_law_7_option;§Y§!;;;;;;;;;;;;;x
bureaucratic_impact_law;Importance of aptitude;;;;;;;;;;;;;x
bureaucratic_impact_law_desc;While each bureaucratic realm favours different factors when it comes to handing out titles, the impact of this preference can vary quite a bit.;;;;;;;;;;;;;x
bureaucratic_impact_law_0;Minor Importance;;;;;;;;;;;;;x
bureaucratic_impact_law_0_desc;While there is a preference as far as appointment to bureacratic positions goes, it is largely a formality.;;;;;;;;;;;;;x
bureaucratic_impact_law_0_option;§Y§!;;;;;;;;;;;;;x
bureaucratic_impact_law_1;Average Importance;;;;;;;;;;;;;x
bureaucratic_impact_law_1_desc;The preference when it comes to bureaucratic appointments is averaged with other factors.;;;;;;;;;;;;;x
bureaucratic_impact_law_1_option;§Y§!;;;;;;;;;;;;;x
bureaucratic_impact_law_2;Significant Importance;;;;;;;;;;;;;x
bureaucratic_impact_law_2_desc;While exceptions sometimes are made, most appointments follow the stated preference for bureacratic positions.;;;;;;;;;;;;;x
bureaucratic_impact_law_2_option;§Y§!;;;;;;;;;;;;;x
bureaucratic_impact_law_3;Absolute Importance;;;;;;;;;;;;;x
bureaucratic_impact_law_3_desc;Only in the most exceptional cases will the government consider appointing someone not deemed the most suitable candidate for a bureacratic position.;;;;;;;;;;;;;x
