title_grand_chancellor;Grand Chancellor;;;;;;;;;;;;;x
title_grand_chancellor_desc;Entrusted with considerable power and wielding considerable influence, the Grand Chancellor is not to be trifled with.;;;;;;;;;;;;;x
title_councilmember_eunuch;Council Eunuch;Eunuque de la conseil;Rat-Eunuch;;Eunuco de la consejo;;;;;;;;;x
title_councilmember_eunuch_desc;This eunuch sits on the Council and wields a considerable amount of influence as a result.;;;;;;;;;;;;;x
title_councilmember_eunuch_2;Council Eunuch;Eunuque de la conseil;Rat-Eunuch;;Eunuco de la consejo;;;;;;;;;x
title_councilmember_eunuch_2_desc;This eunuch sits on the Council and wields a considerable amount of influence as a result.;;;;;;;;;;;;;x
title_councilmember_eunuch_3;Council Eunuch;Eunuque de la conseil;Rat-Eunuch;;Eunuco de la consejo;;;;;;;;;x
title_councilmember_eunuch_3_desc;This eunuch sits on the Council and wields a considerable amount of influence as a result.;;;;;;;;;;;;;x
title_councilmember_eunuch_4;Council Eunuch;Eunuque de la conseil;Rat-Eunuch;;Eunuco de la consejo;;;;;;;;;x
title_councilmember_eunuch_4_desc;This eunuch sits on the Council and wields a considerable amount of influence as a result.;;;;;;;;;;;;;x
title_councilmember_eunuch_5;Council Eunuch;Eunuque de la conseil;Rat-Eunuch;;Eunuco de la consejo;;;;;;;;;x
title_councilmember_eunuch_5_desc;This eunuch sits on the Council and wields a considerable amount of influence as a result.;;;;;;;;;;;;;x
title_councilmember_eunuch_6;Council Eunuch;Eunuque de la conseil;Rat-Eunuch;;Eunuco de la consejo;;;;;;;;;x
title_councilmember_eunuch_6_desc;This eunuch sits on the Council and wields a considerable amount of influence as a result.;;;;;;;;;;;;;x
title_councilmember_eunuch_7;Council Eunuch;Eunuque de la conseil;Rat-Eunuch;;Eunuco de la consejo;;;;;;;;;x
title_councilmember_eunuch_7_desc;This eunuch sits on the Council and wields a considerable amount of influence as a result.;;;;;;;;;;;;;x
title_councilmember_eunuch_8;Council Eunuch;Eunuque de la conseil;Rat-Eunuch;;Eunuco de la consejo;;;;;;;;;x
title_councilmember_eunuch_8_desc;This eunuch sits on the Council and wields a considerable amount of influence as a result.;;;;;;;;;;;;;x
title_councilmember_eunuch_9;Council Eunuch;Eunuque de la conseil;Rat-Eunuch;;Eunuco de la consejo;;;;;;;;;x
title_councilmember_eunuch_9_desc;This eunuch sits on the Council and wields a considerable amount of influence as a result.;;;;;;;;;;;;;x
title_councilmember_eunuch_10;Council Eunuch;Eunuque de la conseil;Rat-Eunuch;;Eunuco de la consejo;;;;;;;;;x
title_councilmember_eunuch_10_desc;This eunuch sits on the Council and wields a considerable amount of influence as a result.;;;;;;;;;;;;;x
title_councilmember_eunuch_11;Council Eunuch;Eunuque de la conseil;Rat-Eunuch;;Eunuco de la consejo;;;;;;;;;x
title_councilmember_eunuch_11_desc;This eunuch sits on the Council and wields a considerable amount of influence as a result.;;;;;;;;;;;;;x
