# opinion_modifiers_misc_base.txt
opinion_made_affair_public;dummy;;;;;;;;;;;;;x

# 02_opinion_modifiers_aclla.txt
opinion_supplied_acllahuasi;Gave daughter to the Acllahuasi;;;;;;;;;;;;;x
opinion_refused_acllahuasi;Refused to give daughter to the Acllahuasi;;;;;;;;;;;;;x
opinion_aclla_rescuer;dummy;;;;;;;;;;;;;x
opinion_meddled_with_sacrifice;Meddled with sacrifice;;;;;;;;;;;;x

# 02_opinion_modifiers_ainu_nivkh.txt
opinion_enjoyed_iyomante;Enjoyed Iyomante;;;;;;;;;;;;;x
opinion_did_not_enjoy_iyomante;Did not enjoy Iyomante;;;;;;;;;;;;;x
opinion_generous_iyomante_gift;Generous host;;;;;;;;;;;;;x
opinion_displeased;Displeased;;;;;;;;;;;;;x
opinion_enjoyed_bear_festival;Enjoyed Bear Festival;;;;;;;;;;;;;x
opinion_did_not_enjoy_bear_festival;Did not enjoy Bear Festival;;;;;;;;;;;;;x

# 02_opinion_modifiers_alchemists.txt
opinion_refused_experimentation;Refused to contribute to scientific progress;;;;;;;;;;;;;x
opinion_recent_interview;Recently interviewed me;;;;;;;;;;;;;x
altered_potion_deal;Altered our deal;;;;;;;;;;;;;x
harmful_potion;Gave me a harmful potion;;;;;;;;;;;;;x
helpful_potion;Gave me a helpful potion;;;;;;;;;;;;;x
lacking_knowledge;Lacking in knowledge;;;;;;;;;;;;;x
lying_alchemist;Lied to me;;;;;;;;;;;;;x
refused_interview;Refused to agree to an interview;;;;;;;;;;;;;x
revealed_my_lies;Revealed my lies to the world;;;;;;;;;;;;;x
secret_knowledge;Hoarding secret knowledge;;;;;;;;;;;;;x
suspect_alchemist;Sold suspicious potions;;;;;;;;;;;;;x
wasted_potion;Did not drink my potion;;;;;;;;;;;;;x
opinion_got_ingredients;Gave me ingredients;;;;;;;;;;;;;x
opinion_got_plentiful_ingredients;Gave me plentiful ingredients;;;;;;;;;;;;;x
opinion_did_not_get_ingredients;Did not give me ingredients;;;;;;;;;;;;;x
opinion_not_brewing_potion;Refused to brew a potion for me;;;;;;;;;;;;;x
opinion_not_helping_with_potion_plot;Refused to brew a harmful potion for me;;;;;;;;;;;;;x
opinion_told_of_potion_plot;Informed me of potion plot;;;;;;;;;;;;;x
opinion_untrustworthy_alchemist;Untrustworthy alchemist;;;;;;;;;;;;;x
opinion_attempted_potion_plot;Attempted potion plot;;;;;;;;;;;;;x
opinion_did_not_provide_immortality_potion_ingredient;Did not provide ingredient for Immortality Potion;;;;;;;;;;;;;x
opinion_did_not_provide_immortality_potion_book;Did not provide alchemical book for Immortality Potion;;;;;;;;;;;;;x
opinion_stopped_brewing_immortality_potion_minor;Stopped brewing Immortality Potion;;;;;;;;;;;;;x
