# 01_text_modifiers_bloodlines_tianxia.txt
bloodline_effect_faster_buddhist;§GConvert Counties§! to §GBuddhist§! faster;;;;;;;;;;;;;x
bloodline_effect_more_tributaries;The §GEstablish Tributary State§! CB is §Gfree§!;;;;;;;;;;;;;x
bloodline_effect_cheaper_regencies;§GBecoming the Permanent Regent§! is §Gcheaper§! and §Geasier§!;;;;;;;;;;;;;x
bloodline_effect_korean_reconquest;The §GKorean Reconquest§! CB might be available;;;;;;;;;;;;;x
bloodline_effect_easier_shogunate;Has an easier time becoming and remaining Shogun;;;;;;;;;;;;;x
bloodline_effect_cheaper_japanese_feudal;Becoming §GJapanese Feudal§! is easier;;;;;;;;;;;;;x
bloodline_effect_warrior_bands;Can raise a §GWarrior Band§! while at war if independent;;;;;;;;;;;;;x
bloodline_effect_easier_refound_hwarang;Has an easier time refounding the Hwarang and also gains extra §GDevotion§! if in the Hwarang;;;;;;;;;;;;;x
bloodline_effect_demand_council;§GCan demand a councillor's spot on the council§!;;;;;;;;;;;;;x
bloodline_effect_demand_voting_pattern;§GCan pressure another councillor to adopt their voting pattern§!;;;;;;;;;;;;;x
bloodline_effect_always_councillor;§GCan be a council member regardless of attribute scores§!;;;;;;;;;;;;;x
bloodline_effect_cant_fire;§GCannot be fired from the council normally§!;;;;;;;;;;;;;x
bloodline_effect_disloyal_councillor;§GIs unlikely to be a Loyalist§!;;;;;;;;;;;;;x
bloodline_effect_chinese_characters;Periodically attracts the servitude of §Gspecial Chinese characters§!;;;;;;;;;;;;;x
bloodline_effect_chinese_commanders;Periodically attracts the servitude of §GChinese strategists and siege engineers!;;;;;;;;;;;;;x
bloodline_effect_chinese_bureaucrats;Periodically attracts the servitude of §GChinese scholar-bureaucrats and master engineers§!;;;;;;;;;;;;;x
bloodline_effect_ma_chu_succession;Has access to the special §GFraternal Seniority§! succession law if government is §YChinese Imperial, Eastern Imperial, or Confucian Bureaucracy§!, if not blocked by interest group laws;;;;;;;;;;;;;x
bloodline_effect_manifest_destiny;Has access to the §GManifest Destiny§! CB;;;;;;;;;;;;;x

# 01_text_modifiers_tianxia.txt
dragonslayer;This weapon is particularly good against dragons.;;;;;;;;;;;;;x
trollslayer;This weapon is particularly good against trolls.;;;;;;;;;;;;;x
healing_potion;This can be used to heal you or to improve your health.;;;;;;;;;;;;;x
immortality_potion;This can be used to gain eternal life.;;;;;;;;;;;;;x
province_burning;This can be used to set a province ablaze.;;;;;;;;;;;;;x
claim_dragon_throne;This can be used to claim the Dragon Throne.;;;;;;;;;;;;;x
restore_lost_legion_effect;This can be used to restore the Lost Roman Legion.;;;;;;;;;;;;;x
kong_family_burial;Allows for the burial of members of the Kong family, should they control the Great Work.;;;;;;;;;;;;;x
art_of_war_page_effect;Can be used to temprarily increase Martial skill.;;;;;;;;;;;;;x
