TRIBUTARY_CHINESE_PERIPHERAL_NAME;Peripheral Tributary;;;;;;;;;;;;;x
TRIBUTARY_CHINESE_PERIPHERAL_PLURAL;Peripheral Tributaries;;;;;;;;;;;;;x
SUZERAIN_CHINESE_PERIPHERAL_NAME;Imperial Suzerain;Suzerain impérial;Kaiserlicher Suzerän;;Soberano imperial;;;;;;;;;x
TRIBUTARY_CHINESE_NAME;Imperial Tributary;Tributaire impérial;Kaiserlicher Tributstaat;;Tributario imperial;;;;;;;;;x
TRIBUTARY_CHINESE_PLURAL;Imperial Tributaries;Tributaires impériaux;Kaiserliche Tributstaaten;;Tributarios imperiales;;;;;;;;;x
SUZERAIN_CHINESE_NAME;Imperial Suzerain;Suzerain impérial;Kaiserlicher Suzerän;;Soberano imperial;;;;;;;;;x
TRIBUTARY_CHINESE_PROTECTORATE_NAME;Imperial Protectorate;;;;;;;;;;;;;x
TRIBUTARY_CHINESE_PROTECTORATE_PLURAL;Imperial Protectorates;;;;;;;;;;;;;x
SUZERAIN_CHINESE_PROTECTORATE_NAME;Imperial Protector;;;;;;;;;;;;;x
TRIBUTARY_CHINESE_CLIENT_STATE_NAME;Imperial Client State;;;;;;;;;;;;;x
TRIBUTARY_CHINESE_CLIENT_STATE_PLURAL;Imperial Client States;;;;;;;;;;;;;x
SUZERAIN_CHINESE_CLIENT_STATE_NAME;Imperial Overlord;;;;;;;;;;;;;x
TRIBUTARY_CHINESE_PUPPET_NAME;Imperial Puppet;;;;;;;;;;;;;x
TRIBUTARY_CHINESE_PUPPET_PLURAL;Imperial Puppets;;;;;;;;;;;;;x
SUZERAIN_CHINESE_PUPPET_NAME;Imperial Overlord;;;;;;;;;;;;;x
