unlocks_duke_of_yansheng;Can grant the §GYansheng Gong§! title to Confucius' descendants.;;;;;;;;;;;;;x
upgrade_altars_to_disciples;Altars to Disciples;;;;;;;;;;;;;x
upgrade_altars_to_disciples_desc;A number of altars dedicated to Confucius' disciples can be found here.;;;;;;;;;;;;;x
upgrade_apricot_platform;Apricot Platform;;;;;;;;;;;;;x
upgrade_apricot_platform_desc;The Apricot Platform commemorates Confucius teaching his students under an apricot tree.;;;;;;;;;;;;;x
upgrade_binyangsandong;Binyangsandong;;;;;;;;;;;;;x
upgrade_binyangsandong_desc;The three caves known collectively as Binyangsandong contain a number of Buddhas as well as images of the revered ancestors of Emperor Xuanwu of Northern Wei.;;;;;;;;;;;;;x
upgrade_buddhist_shrine;Buddhist Shrine;;;;;;;;;;;;;x
upgrade_buddhist_shrine_desc;Though primarily a Shinto shrine, a small area has been set aside for the Buddha.;;;;;;;;;;;;;x
upgrade_chinese_hospital;Chinese Hospital;;;;;;;;;;;;;x
upgrade_chinese_hospital_desc;A hospital employing many doctors skilled in Chinese medicine has been constructed at the Grand Temple.;;;;;;;;;;;;;x
upgrade_confucian_academy;Confucian Academy;;;;;;;;;;;;;x
upgrade_confucian_academy_desc;An academy dedicated to Confucian thought has been constructed here.;;;;;;;;;;;;;x
upgrade_confucian_library;Confucian Library;;;;;;;;;;;;;x
upgrade_confucian_library_desc;A massive library has been constructed here.;;;;;;;;;;;;;x
upgrade_confucius_cementery;Cemetery of Confucius;;;;;;;;;;;;;x
upgrade_confucius_cementery_desc;The final resting place of Confucius and many of his descendants.;;;;;;;;;;;;;x
upgrade_confucius_temple_walls;Temple Walls;;;;;;;;;;;;;x
upgrade_confucius_temple_walls_desc;The Temple of Confucius has been surrounded by majestic walls.;;;;;;;;;;;;;x
upgrade_detailed_bagua;Detailed Bagua;;;;;;;;;;;;;x
upgrade_detailed_bagua_desc;The Bagua, or Eight Trigrams, have correspondences in everything from astronomy to medicine, and are also useful for divination.;;;;;;;;;;;;;x
upgrade_dragon_tiger_statue;Dragon and Tiger;;;;;;;;;;;;;x
upgrade_dragon_tiger_statue_desc;A dragon statue and a tiger statue can be found in front of the entrance of the temple.;;;;;;;;;;;;;x
upgrade_examination_hall;Examination Hall;;;;;;;;;;;;;x
upgrade_examination_hall_desc;A grand hall suitable for holding examinations for officials has been constructed at the Temple of Confucius.;;;;;;;;;;;;;x
upgrade_fenghuang;Fenghuang Statue;;;;;;;;;;;;;x
upgrade_fenghuang_desc;A statue of a fenghuang can be found here. Among other things, it is a symbol of a blissful married relationship.;;;;;;;;;;;;;x
upgrade_fengxianxi;Fengxianxi;;;;;;;;;;;;;x
upgrade_fengxianxi_desc;The Ancestor Worshipping Cave was created for Wu Zetian and contains the largest Buddha in all of the Longmen Grottoes.;;;;;;;;;;;;;x
upgrade_festival_grounds;Festival Grounds;;;;;;;;;;;;;x
upgrade_festival_grounds_desc;Various religious festivals are held here.;;;;;;;;;;;;;x
upgrade_four_symbols;The Four Symbols;;;;;;;;;;;;;x
upgrade_four_symbols_desc;Elaborate carvings of the Azure Dragon (Qinglong), the Vermillion Bird (Zhuque), the White Tiger (Baihu), and the Black Turtle (Xuanwu) can be found at the Grand Temple.;;;;;;;;;;;;;x
upgrade_fu_shou_ji_carvings;Elaborate Carvings;;;;;;;;;;;;;x
upgrade_fu_shou_ji_carvings_desc;Elaborate carvings of the characters Fu (blessing), Shou (longevity), and Ji (auspicious) decorate many surfaces.;;;;;;;;;;;;;x
upgrade_grand_torii;Grand Torii;;;;;;;;;;;;;x
upgrade_grand_torii_desc;A particularly grand torii can be found at this Grand Shrine.;;;;;;;;;;;;;x
