#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
bamar;Bamar;Birman;Birmanisch;;Birmano;;;;;;;;;x
#zurvanite;Zurvanite;Zurvanite;Zurvanit;;Zurvanita;;;;;;;;;x
#zurvanite_DESC;Zurvanism was a branch of Zoroastrianism which had the divinity of Zurvan as its first principle instead of Ahura Mazda. They taught that Zurvan was the parent of Ahura Mazda and Angra Mainyu, the two polar opposites, where as Zurvan was a neutral being. Under this system, Zurvanites believed that under the primacy of Zurvan, Ahura Mazda was a middle god while Angra Mainyu was his fallen twin brother. This heresy has no formal head and no special game mechanics.;;;;;;;;;;;;;x
#HEAD_YAMAG;Yamag;Yamag;Yamag;;Yamag;;;;;;;;;x
#mandean;Mandean;Mandéen;Mandäer;;Mandeo;;;;;;;;;x
#mandean_DESC;Mandaeanim, or Sabianism, is a Gnostic religion in Mesopotamia with a strong dualistic worldview, predating both the Arab culture and Islam. Mandaeans believe themselves to be the descendents of the biblical Noah. Though they specially revere John the Baptist, they reject Jesus as a false messiah.;;;;;;;;;;;;;x
THE_GINZA;the Ginza;la Ginza;der Ginza;;la Ginza;;;;;;;;;x
GOD_HAIYE;Haiye;Haiye;Haiye;;Haiye;;;;;;;;;x
GOD_MANDA;Manda;Manda;Manda;;Manda;;;;;;;;;x
PROPHET_NOAH;Noah;Noé;Noah;;Noé;;;;;;;;;x
PROPHET_JOHN;Saint John;Saint Jean;Sankt Johannes;;San Juan;;;;;;;;;x
RUHA;Ruha;Ruha;Ruha;;Ruha;;;;;;;;;x
GOD_PTAHIL;Ptahil;Ptahil;Ptahil;;Ptahil;;;;;;;;;x
GOD_YUSHAMIN;Yushamin;Yushamin;Yushamin;;Yushamin;;;;;;;;;x
GOD_ABATHUR;Abathur;Abathur;Abathur;;Abathur;;;;;;;;;x
sanamahi_pagan_reformed;Sanamahist;Sanamahiste;Sanamahist;;Sanamahista;;;;;;;;;x
sanamahi_pagan_reformed_DESC;The reformed Sanamahist faith, now has a Holy Book known as the Puya, a standardized liturgy and a formal church hierarchy led by the High Priest, who can be vassalized by secular rulers.;;;;;;;;;;;;;x
d_sanamahi_pagan_reformed;The Sanamahi Church;L'Église Sanamahiste;Sanamahistische Kirche;;La Iglesia Sanamahista;;;;;;;;;x
d_sanamahi_pagan_reformed_adj;Sanamahist;Sanamahiste;Sanamahist;;Sanamahista;;;;;;;;;x
THE_PUYA;the Puya;la Puya;der Puya;;la Puya;;;;;;;;;x
sanamahi_pagan;Sanamahist;;;;;;;;;;;;;x
sanamahi_pagan_DESC;Sanamahism is an ancient religion orginating from Eastern India. Being an Indian folk religions, it draws a lot of element from Hinduism such as the three manifestations of God.;;;;;;;;;;;;;x
GOD_SANAMAHI;Sanamahi;Sanamahi;Sanamahi;;Sanamahi;;;;;;;;;x
GOD_PAKHANGBA;Pakhangba;Pakhangba;Pakhangba;;Pakhangba;;;;;;;;;x
GOD_NONGPOK_NINTHOU;Nongpok Ninthou;Nongpok Ninthou;Nongpok Ninthou;;Nongpok Ninthou;;;;;;;;;x
GOD_ATIYA_SIDABA;Atiya Sidaba;Atiya Sidaba;Atiya Sidaba;;Atiya Sidaba;;;;;;;;;x
GOD_APANBA;Apanba;Apanba;Apanba;;Apanba;;;;;;;;;x
GOD_ASHEEBA;Asheeba;Asheeba;Asheeba;;Asheeba;;;;;;;;;x
