#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### Empire of Tartaria
#e_tartaria is a vanilla title
### Kingdom of Mongolia
#k_mongolia is a vanilla title
## Duchy of Lannei
d_lannei;Lannei;;;;;;;;;;;;;x
# County of Dongsheng
c_dongsheng;Dongsheng;;;;;;;;;;;;;x
b_dongsheng;Dongsheng;;;;;;;;;;;;;x
b_dongsheng_jinhepo;Jinhepo;;;;;;;;;;;;;x
b_dongsheng_hebin;Hebin;;;;;;;;;;;;;x
b_dongsheng_jinsu;Jinsu;;;;;;;;;;;;;x
b_dongsheng_heqing;Heqing;;;;;;;;;;;;;x
b_dongsheng_ningbian;Ningbian;;;;;;;;;;;;;x
b_hongjiannao;Hongjiannao;;;;;;;;;;;;;x
# County of Tiande
c_tiande;Tiande;;;;;;;;;;;;;x
b_tiande;Tiande;;;;;;;;;;;;;x
b_tiande_suzhijing;Suzhijing;;;;;;;;;;;;;x
b_tiande_gonghudouke;Gonghudouke;;;;;;;;;;;;;x
b_tiande_dengkou;Dengkou;;;;;;;;;;;;;x
b_tiande_sandaohe;Sandaohe;;;;;;;;;;;;;x
b_tiande_hongjing;Hongjing;;;;;;;;;;;;;x
b_tiande_wuranmutou;Wuranmutou;;;;;;;;;;;;;x
# County of Yunnei
c_yunnei;Yunnei;;;;;;;;;;;;;x
b_yunnei;Yunnei;;;;;;;;;;;;;x
b_yunnei_niudunjing;Niudunjing;;;;;;;;;;;;;x
b_yunnei_benbajie;Benbajie;;;;;;;;;;;;;x
b_yunnei_boerjing;Boerjing;;;;;;;;;;;;;x
b_yunnei_qiqierhan;Qiqierhan;;;;;;;;;;;;;x
b_yunnei_shimenzi;Shimenzi;;;;;;;;;;;;;x
b_yunnei_taiyinbuci;Taiyinbuci;;;;;;;;;;;;;x
## Duchy of Shajing
d_shajing;Shajing;;;;;;;;;;;;;x
# County of Lizhou
c_lizhou;Lizhou;;;;;;;;;;;;;x
b_lizhou_fumin;Fumin;;;;;;;;;;;;;x
b_lizhou_shenshan;Shenshan;;;;;;;;;;;;;x
b_lizhou_shanjinsi;Shanjinsi;;;;;;;;;;;;;x
b_lizhou2;Lizhou;;;;;;;;;;;;;x
b_lizhou_yuyang;Yuyang;;;;;;;;;;;;;x
b_lizhou_zhenwu;Zhenwu;;;;;;;;;;;;;x
b_lizhou_qingjia;Qingjia;;;;;;;;;;;;;x
# County of Xuande
c_xuande;Xuande;;;;;;;;;;;;;x
b_xuande;Xuande;;;;;;;;;;;;;x
b_xuande_baishui;Baishui;;;;;;;;;;;;;x
b_xuande_taoshan;Taoshan;;;;;;;;;;;;;x
b_xuande_yanzi;Yanzi;;;;;;;;;;;;;x
b_xuande_yangcheng;Yangcheng;;;;;;;;;;;;;x
b_xuande_hutubai;Hutubai;;;;;;;;;;;;;x
b_xuande_rouyuan;Rouyuan;;;;;;;;;;;;;x
# County of Onggud
c_onggud;Onggud;;;;;;;;;;;;;x
b_onggud;Onggud;;;;;;;;;;;;;x
b_onggud_chabuqueer;Chabuqueer;;;;;;;;;;;;;x
b_onggud_boluosuhai;Boluosuhai;;;;;;;;;;;;;x
b_onggud_sulang;Sulang;;;;;;;;;;;;;x
b_onggud_caihanxiamaer;Caihanxiamaer;;;;;;;;;;;;;x
b_onggud_shabaketu;Shabaketu;;;;;;;;;;;;;x
b_onggud_maodeng;Maodeng;;;;;;;;;;;;;x
# County of Sainshand
c_sainshand;Sainshand;;;;;;;;;;;;;x
b_sainshand;Sainshand;;;;;;;;;;;;;x
b_saninshand_ude;Ude;;;;;;;;;;;;;x
b_saninshand_bayan;Bayan;;;;;;;;;;;;;x
b_saninshand_tugulike;Tugulike;;;;;;;;;;;;;x
b_saninshand_tuolibulake;Tuolibulake;;;;;;;;;;;;;x
b_saninshand_caijundelisu;Caijundelisu;;;;;;;;;;;;;x
b_saninshand_jilayimuhuer;Jilayimuhuer;;;;;;;;;;;;;x
## Duchy of Kereid
d_kereid;Kereid;;;;;;;;;;;;;x
# County of Aermingli
c_aermingli;Aermingli;;;;;;;;;;;;;x
b_aermingli;Aermingli;;;;;;;;;;;;;x
b_aermingli_pingegute;Pingegute;;;;;;;;;;;;;x
b_aermingli_wubuerwude;Wubuerwude;;;;;;;;;;;;;x
b_aermingli_jiergaitu;Jiergaitu;;;;;;;;;;;;;x
b_aermingli_buluoxitu;Buluoxitu;;;;;;;;;;;;;x
b_aermingli_lakenuo;Lakenuo;;;;;;;;;;;;;x
b_aermingli_lueerlue;Lueerlue;;;;;;;;;;;;;x
# County of Baruun-Urt
c_baruunurt;Baruun-Urt;;;;;;;;;;;;;x
b_baruunurt;Baruun-Urt;;;;;;;;;;;;;x
b_baruunurt_wulantuoluohai;Wulantuoluohai;;;;;;;;;;;;;x
b_baruunurt_wulankutuke;Wulankutuke;;;;;;;;;;;;;x
b_baruunurt_eerji;Eerji;;;;;;;;;;;;;x
b_baruunurt_aluwude;Aluwude;;;;;;;;;;;;;x
b_baruunurt_zhegeerde;Zhegeerde;;;;;;;;;;;;;x
b_baruunurt_senzhi;Senzhi;;;;;;;;;;;;;x
## Duchy of Kara Khorum
#d_kara_khorum is a vanilla title
# County of Darkhan
c_darkhan;Darkhan;;;;;;;;;;;;;x
b_darkhan2;Darkhan;;;;;;;;;;;;;x
b_darkhan_suluhai;Suluhai;;;;;;;;;;;;;x
b_darkhan_laosa;Laosa;;;;;;;;;;;;;x
b_darkhan_jili;Jili;;;;;;;;;;;;;x
b_darkhan_shenbaotai;Shenbaotai;;;;;;;;;;;;;x
b_darkhan_moduan;Moduan;;;;;;;;;;;;;x
b_darkhan_taolimu;Taolimu;;;;;;;;;;;;;x
## Duchy of Menggu
d_menggu;Menggu;;;;;;;;;;;;;x
# County of Dilie
c_dilie;Dilie;;;;;;;;;;;;;x 
b_dilie_kedon;Kedon;;;;;;;;;;;;;x
b_dilie_baersi;Baersi;;;;;;;;;;;;;x
b_dilie_husutushitu;Husutushitu;;;;;;;;;;;;;x
b_dilie_nacitushitu;Nacitushitu;;;;;;;;;;;;;x
b_dilie_kukucheer;Kukucheer;;;;;;;;;;;;;x
b_dilie_kulumo;Kulumo;;;;;;;;;;;;;x
b_dilie_zhuerhuzhu;Zhuerhuzhu;;;;;;;;;;;;;x
# County of Wonan
c_wonan;Wonan;;;;;;;;;;;;;x
b_wonan_nibuchu;Nibuchu;;;;;;;;;;;;;x
b_wonan_wuerhete;Wuerhete;;;;;;;;;;;;;x
b_wonan_heertai;Heertai;;;;;;;;;;;;;x
b_wonan_boerke;Boerke;;;;;;;;;;;;;x
b_wonan_tuosuoke;Tuosuoke;;;;;;;;;;;;;x
b_wonan_zhegeletu;Zhegeletu;;;;;;;;;;;;;x
b_wonan_menggejige;Menggejige;;;;;;;;;;;;;x
# County of Keluren
c_keluren;Keluren;;;;;;;;;;;;;x
b_keluren_keleimu;Keleimu;;;;;;;;;;;;;x
b_keluren_kushuo;Kushuo;;;;;;;;;;;;;x
b_keluren_zuligetu;Zuligetu;;;;;;;;;;;;;x
b_keluren_bayanhala;Bayanhala;;;;;;;;;;;;;x
b_keluren_jierxiaguantu;Jierxiaguantu;;;;;;;;;;;;;x
b_keluren_mugetu;Mugetu;;;;;;;;;;;;;x
b_keluren_hashatu;Hashatu;;;;;;;;;;;;;x
# County of Menggu
c_menggu;Menggu;;;;;;;;;;;;;x
b_menggu_jierzi;Jierzi;;;;;;;;;;;;;x
b_menggu_ajiachu;Ajiachu;;;;;;;;;;;;;x
b_menggu_jierboer;Jierboer;;;;;;;;;;;;;x
b_menggu_axinga;Axinga;;;;;;;;;;;;;x
b_menggu_kuye;Kuye;;;;;;;;;;;;;x
b_menggu_kumoli;Kumoli;;;;;;;;;;;;;x
b_menggu_minger;Minger;;;;;;;;;;;;;x
