#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV1348;Borneo;;;;;;;;;;;;;x
#PROV1460;Coast of Thandwe;;;;;;;;;;;;;x
#PROV1461;Ayeyarwady Delta;;;;;;;;;;;;;x
#PROV1462;Andaman Islands;;;;;;;;;;;;;x
#PROV1463;Bay of Bengal;;;;;;;;;;;;;x
#PROV1464;Northern Andaman Sea;;;;;;;;;;;;;x
#PROV1465;Central Andaman Sea;;;;;;;;;;;;;x
#PROV1466;Eastern Andaman Sea;;;;;;;;;;;;;x
#PROV1467;Coast of Sumatra;;;;;;;;;;;;;x
#PROV1468;Malaysian Sea;;;;;;;;;;;;;x
#PROV1469;Strait of Malacca;;;;;;;;;;;;;x
#PROV1470;Selat Karimata;;;;;;;;;;;;;x
#PROV1471;Java Sea;;;;;;;;;;;;;x
#PROV1472;Coast of Borneo;;;;;;;;;;;;;x
#PROV1473;Pacific Ocean;;;;;;;;;;;;;x
#PROV1474;Northern sea of Malaysia;;;;;;;;;;;;;x
#PROV1475;Eastern sea of Natuna;;;;;;;;;;;;;x
#PROV1476;Outer Gulf of Siam;;;;;;;;;;;;;x
#PROV1477;Inner Gulf of Siam;;;;;;;;;;;;;x
#PROV1478;Natuna Sea;;;;;;;;;;;;;x
#PROV1480;Spratly Islands;;;;;;;;;;;;;x
#PROV1481;Mekong Delta;;;;;;;;;;;;;x
#PROV1482;Coast of Champa;;;;;;;;;;;;;x
#PROV1483;Coast of Annam;;;;;;;;;;;;;x
#PROV1484;Gulf of Tonkin;;;;;;;;;;;;;x
#PROV1485;Paracel Islands;;;;;;;;;;;;;x
#PROV1486;South China Sea;;;;;;;;;;;;;x
#PROV1487;Coast of Hainan;;;;;;;;;;;;;x
#PROV1488;Guangdong Bay;;;;;;;;;;;;;x
#PROV1489;East China Sea;;;;;;;;;;;;;x
#PROV1490;Coast of Canton;;;;;;;;;;;;;x
#PROV1491;Strait of Taiwan;;;;;;;;;;;;;x
#PROV1492;Coast of Taiwan;;;;;;;;;;;;;x
#PROV1493;Coast of Fujian;;;;;;;;;;;;;x
#PROV1510;Coast of Brunei;;;;;;;;;;;;;x
#PROV1511;Palawan Islands;;;;;;;;;;;;;x
#PROV1512;Coast of Sadah;;;;;;;;;;;;;x
#PROV1513;Coast of Visayas;;;;;;;;;;;;;x
#PROV1514;Coast of Luzon;;;;;;;;;;;;;x
#PROV1515;Tongle Sap;;;;;;;;;;;;;x
#PROV1516;Taihu;;;;;;;;;;;;;x
#PROV1517;Poyang;;;;;;;;;;;;;x
#PROV1518;Dongting;;;;;;;;;;;;;x
#PROV1519;Hongzhe;;;;;;;;;;;;;x
#PROV1520;Khanka;;;;;;;;;;;;;x
#PROV1521;Chao Praya;;;;;;;;;;;;;x
#PROV1522;Mekong;;;;;;;;;;;;;x
#PROV1523;Mekong;;;;;;;;;;;;;x
#PROV1524;Mekong;;;;;;;;;;;;;x
#PROV1525;Mekong;;;;;;;;;;;;;x
#PROV1526;Zhu Jiang;;;;;;;;;;;;;x
#PROV1527;Zhu Jiang;;;;;;;;;;;;;x
#PROV1536;Thaton;;;;;;;;;;;;;x
#PROV1537;Pathein;;;;;;;;;;;;;x
#PROV1538;Mergui;;;;;;;;;;;;;x
#PROV1539;Tavoy;;;;;;;;;;;;;x
#PROV1540;Andaman;;;;;;;;;;;;;x
#PROV1541;Bagan;;;;;;;;;;;;;x
#PROV1542;Minbu;;;;;;;;;;;;;x
#PROV1543;Kyaukse;;;;;;;;;;;;;x
#PROV1544;Pyinsa;;;;;;;;;;;;;x
#PROV1545;Thandwe;;;;;;;;;;;;;x
#PROV1546;Tagaung;;;;;;;;;;;;;x
#PROV1547;Bhamo;;;;;;;;;;;;;x
#PROV1548;Halin;;;;;;;;;;;;;x
#PROV1549;Thobal;;;;;;;;;;;;;x
#PROV1550;Kale;;;;;;;;;;;;;x
#PROV1551;Mong Yang;;;;;;;;;;;;;x
#PROV1552;Kyaingtong;;;;;;;;;;;;;x
#PROV1553;Mone;;;;;;;;;;;;;x
#PROV1554;Thibaw;;;;;;;;;;;;;x
#PROV1555;Mogaung;;;;;;;;;;;;;x
#PROV1556;Theinni;;;;;;;;;;;;;x
#PROV1557;Ngasaunggyan;;;;;;;;;;;;;x
#PROV1558;Angkor;;;;;;;;;;;;;x
#PROV1559;Banteay Srei;;;;;;;;;;;;;x
#PROV1560;Roluos;;;;;;;;;;;;;x
#PROV1561;Preah Vihear;;;;;;;;;;;;;x 
#PROV1562;Phimai;;;;;;;;;;;;;x
#PROV1563;Sri Thep;;;;;;;;;;;;;x
#PROV1564;Sambor Prei Kuk;;;;;;;;;;;;;x
#PROV1565;Vat Nokor;;;;;;;;;;;;;x
#PROV1566;Prey Nokor;;;;;;;;;;;;;x
#PROV1567;Oc Eo;;;;;;;;;;;;;x
#PROV1568;Angkor Borei;;;;;;;;;;;;;x
#PROV1569;Vyadhapura;;;;;;;;;;;;;x
#PROV1570;Champassak;;;;;;;;;;;;;x
#PROV1571;Strung Treng;;;;;;;;;;;;;x
#PROV1572;Lavapura;;;;;;;;;;;;;x
#PROV1573;U Thong;;;;;;;;;;;;;x
#PROV1574;Nakhon Phatom;;;;;;;;;;;;;x
#PROV1575;Ratchaburi;;;;;;;;;;;;;x
#PROV1576;Petchaburi;;;;;;;;;;;;;x
#PROV1577;Chaiya;;;;;;;;;;;;;x
#PROV1578;Nakhon Si Thammarat;;;;;;;;;;;;;x
#PROV1579;Haripunchai;;;;;;;;;;;;;x
#PROV1580;Phayad;;;;;;;;;;;;;x
PROV1581;Chiang Mai;;;;;;;;;;;;;x
PROV1582;Chiang Rai;;;;;;;;;;;;;x
PROV1583;Sukhotai;;;;;;;;;;;;;x
PROV1584;Phitsanulok;;;;;;;;;;;;;x
PROV1585;Nakhon Sawan;;;;;;;;;;;;;x
PROV1586;Nan;;;;;;;;;;;;;x
PROV1587;Luang Prabang;;;;;;;;;;;;;x
PROV1588;Xiangkhouang;;;;;;;;;;;;;x
PROV1589;Wiang-Jun;;;;;;;;;;;;;x
PROV1590;Phongsali;;;;;;;;;;;;;x
PROV1591;Savannakhet;;;;;;;;;;;;;x
PROV1592;Salavan;;;;;;;;;;;;;x
PROV1593;Khammouan;;;;;;;;;;;;;x
PROV1594;Bolikhamsai;;;;;;;;;;;;;x
PROV1595;Udon Thani;;;;;;;;;;;;;x
PROV1596;Indrapura;;;;;;;;;;;;;x
PROV1597;Amaravati;;;;;;;;;;;;;x
PROV1598;Hue;;;;;;;;;;;;;x
PROV1599;Vijaya;;;;;;;;;;;;;x
PROV1600;Kauthara;;;;;;;;;;;;;x
PROV1601;Panduranga;;;;;;;;;;;;;x
PROV1602;Ogan;;;;;;;;;;;;;x
PROV1603;Bengkulu;;;;;;;;;;;;;x
PROV1604;Bangka;;;;;;;;;;;;;x
PROV1605;Belitung;;;;;;;;;;;;;x
PROV1606;Jambi;;;;;;;;;;;;;x
PROV1607;Karang Brahi;;;;;;;;;;;;;x
PROV1608;Pelalawan;;;;;;;;;;;;;x
PROV1609;Panai;;;;;;;;;;;;;x
PROV1610;Bahal;;;;;;;;;;;;;x
PROV1611;Siak;;;;;;;;;;;;;x
PROV1612;Barus;;;;;;;;;;;;;x
PROV1613;Dharmasraya;;;;;;;;;;;;;x
PROV1614;Nias;;;;;;;;;;;;;x
PROV1615;Inderapura;;;;;;;;;;;;;x
PROV1616;Aceh;;;;;;;;;;;;;x
PROV1617;Gayo;;;;;;;;;;;;;x
PROV1618;Aru;;;;;;;;;;;;;x
PROV1619;Kedah;;;;;;;;;;;;;x
PROV1620;Ligor;;;;;;;;;;;;;x
PROV1621;Bujang;;;;;;;;;;;;;x
PROV1622;Pattani;;;;;;;;;;;;;x
PROV1623;Kelantan;;;;;;;;;;;;;x
PROV1624;Pahang;;;;;;;;;;;;;x
PROV1625;Gelanggi;;;;;;;;;;;;;x
PROV1626;Melaka;;;;;;;;;;;;;x
PROV1627;Temasek;;;;;;;;;;;;;x
PROV1628;Poli;;;;;;;;;;;;;x
PROV1629;Berune;;;;;;;;;;;;;x
PROV1630;Sukadana;;;;;;;;;;;;;x
PROV1631;Sambas;;;;;;;;;;;;;x
PROV1632;Natuna;;;;;;;;;;;;;x
PROV1633;Banjar;;;;;;;;;;;;;x
PROV1634;Katingan;;;;;;;;;;;;;x
PROV1635;Kutei;;;;;;;;;;;;;x
PROV1636;Trowulan;;;;;;;;;;;;;x
PROV1637;Madura;;;;;;;;;;;;;x
PROV1638;Tondo;;;;;;;;;;;;;x
PROV1639;Mai;;;;;;;;;;;;;x
PROV1640;Namayan;;;;;;;;;;;;;x
PROV1641;Panay;;;;;;;;;;;;;x
PROV1642;Palawan;;;;;;;;;;;;;x
PROV1643;Mindoro;;;;;;;;;;;;;x
PROV1644;Changua;;;;;;;;;;;;;x
PROV1676;Dadelhura;;;;;;;;;;;;;x
PROV1696;Dai La;;;;;;;;;;;;;x
PROV1697;Hoa Lu;;;;;;;;;;;;;x
PROV1698;Hai Phong;;;;;;;;;;;;;x
PROV1699;Nam Dinh;;;;;;;;;;;;;x
PROV1700;Cao Bang;;;;;;;;;;;;;x
PROV1701;Lang Son;;;;;;;;;;;;;x
PROV1702;Quang Ninh;;;;;;;;;;;;;x
PROV1703;Son La;;;;;;;;;;;;;x
PROV1704;Lao Cai;;;;;;;;;;;;;x
PROV1705;Ha Giang;;;;;;;;;;;;;x
PROV1706;Than Hoa;;;;;;;;;;;;;x
PROV1707;Lam Son;;;;;;;;;;;;;x
PROV1708;Nghe An;;;;;;;;;;;;;x
PROV1709;Ha Thin;;;;;;;;;;;;;x
PROV1710;Dali;;;;;;;;;;;;;x
PROV1952;Northern Phillippine Sea;;;;;;;;;;;;;x
PROV1953;Gulf of Leyte;;;;;;;;;;;;;x
PROV1954;Coast of Banjar;;;;;;;;;;;;;x
PROV1955;Kerama Islands;;;;;;;;;;;;;x
PROV1956;Miyakojima;;;;;;;;;;;;;x
PROV1957;Ishigaki;;;;;;;;;;;;;x
PROV1958;Penghu;;;;;;;;;;;;;x
PROV1959;Iriomote;;;;;;;;;;;;;x
PROV1960;Taipei;;;;;;;;;;;;;x
PROV1961;Tainan;;;;;;;;;;;;;x
PROV1962;Kaoshiung;;;;;;;;;;;;;x
