#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### Khmer Empire
e_khmer;Khmer Empire;;;;;;;;;;;;;x
e_khmer_adj;Khmer;;;;;;;;;;;;;x
### Kingdom of Lavo
k_lavo;Lavo;;;;;;;;;;;;x
## Duchy of Chaiya
d_chaiya;Chaiya;;;;;;;;;;;;x
# County of Nakhon Si Thammarat
c_nakhon_si_thammarat;Nakhon Si Thammarat;;;;;;;;;;;;x
b_nakhon_si_thammarat;Nakhon Si Thammarat;;;;;;;;;;;;x
b_pak_phanang;Pak Phanang;;;;;;;;;;;;;x
b_tha_sala;Tha Sala;;;;;;;;;;;;;x
b_ron_phibun;Ron Phibun;;;;;;;;;;;;;x
b_cha_uat;Cha Uat;;;;;;;;;;;;x
b_krabi;Krabi;;;;;;;;;;;;;x
b_khao_phanom;Khao Phanom;;;;;;;;;;;;;x
# County of Chaiya
c_chaiya;Chaiya;;;;;;;;;;;;x
b_chaiya;Chaiya;;;;;;;;;;;;x
b_surat_thani;Surat Thani;;;;;;;;;;;;x
b_kanchanadit;Kanchanadit;;;;;;;;;;;;x
b_tha_chana;Tha Chana;;;;;;;;;;;;x
b_khiri_rat_nikhom;Khiri Rat Nikhom;;;;;;;;;;;;x
b_khura_buri;Khura Buri;;;;;;;;;;;;x
b_phuket;Phuket;;;;;;;;;;;;;x
## Duchy of Phetchaburi
d_phetchaburi;Phetchaburi;;;;;;;;;;;;;x
# County of Ranong
c_ranong;Ranong;;;;;;;;;;;;x
b_ranong;Ranong;;;;;;;;;;;;x
b_chumphon;Chumphon;;;;;;;;;;;;;x
b_lang_suan;Lang Suan;;;;;;;;;;;;;x
b_kapoe;Kapoev;;;;;;;;;;;;;x
b_suk_samran;Suk Samran;;;;;;;;;;;;;x
b_thung_tako;Thung Tako;;;;;;;;;;;;;x
b_tha_sae;Tha Sae;;;;;;;;;;;;;x
# County of Prachuap Khiri Khan
c_prachuap_khiri_khan;Prachuap Khiri Khan;;;;;;;;;;;;;x
b_prachuap_khiri_khan;Prachuap Khiri Khan;;;;;;;;;;;;;x
b_kui_buri;Kui Buri;;;;;;;;;;;;;x
b_bang_saphan;Bang Saphan;;;;;;;;;;;;;x
b_thap_sakae;Thap Sakae;;;;;;;;;;;;;x
b_pran_buri;Pran Buri;;;;;;;;;;;;;x
b_hua_hin;Hua Hin;;;;;;;;;;;;;x
b_sam_roi_yot;Sam Roi Yot;;;;;;;;;;;;;x
# County of Phetchaburi
c_phetchaburi;Phetchaburi;;;;;;;;;;;;;x
b_ratchaburi;Ratchaburi;;;;;;;;;;;;x
b_phetchaburi;Phetchaburi;;;;;;;;;;;;;x
b_pak_tho;Pak Tho;;;;;;;;;;;;;x
b_suan_phueng;Suan Phueng;;;;;;;;;;;;;x
b_wat_phleng;Wat Phleng;;;;;;;;;;;;;x
b_ban_laem;Ban Laem;;;;;;;;;;;;;x
