#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### Empire of the Pacific Rim
e_pacific_rim;Empire of the Pacific Rim;;;;;;;;;;;;;x # Name will probably change
### Mindanao
k_mindanao;Mindanao;;;;;;;;;;;;;x
## Duchy of Palawan
d_palawan;Palawan;;;;;;;;;;;;;x
# County of Palawan
b_palawan;Palawan;;;;;;;;;;;;;x
b_narra;Narra;;;;;;;;;;;;;x
b_aborlan;Aborlan;;;;;;;;;;;;;x
b_taytay;Taytay;;;;;;;;;;;;;x
b_dumaran;Dumaran;;;;;;;;;;;;;x
b_linapacan;Linapacan;;;;;;;;;;;;;x
b_culion;Culion;;;;;;;;;;;;;x
# County of Sulu
c_sulu;Sulu;;;;;;;;;;;;;x
b_sulu;Sulu;;;;;;;;;;;;;x
b_indanan;Indanan;;;;;;;;;;;;;x
b_banguingui;Banguingui;;;;;;;;;;;;;x
b_luuk;Luuk;;;;;;;;;;;;x
b_pandami;Pandami;;;;;;;;;;;;;x
b_pata;Pata;;;;;;;;;;;;;x
b_tapul;Tapul;;;;;;;;;;;;;x
## Duchy of Zamboanga
d_zamboanga;Zambaoanga;;;;;;;;;;;;;x
# County of Basilan
c_basilan;c_basilan;;;;;;;;;;;;;x
b_basilan;Basilan;;;;;;;;;;;;;x
b_lantawan;Lantawan;;;;;;;;;;;;;x
b_maluso;Maluso;;;;;;;;;;;;;x
b_tabuan_lasa;Tabuan Lasa;;;;;;;;;;;;;x
b_tipo_tipo;Tipo Tipo;;;;;;;;;;;;;x
b_lamitan;Lamitan;;;;;;;;;;;;;x
b_ungkaya_pukan;Ungkaya Pukan;;;;;;;;;;;;;x
# County of Sung Lupa
c_sunglupa;Sunglupa;;;;;;;;;;;;;x
b_sunglupa;c_sunglupa;;;;;;;;;;;;;x
b_karpok;Karpok;;;;;;;;;;;;;x
b_luanan;Luanan;;;;;;;;;;;;;x
b_mahalingeb;Mahalingeb;;;;;;;;;;;;;x
b_pingalay;Pingalay;;;;;;;;;;;;;x
b_talabob;Talabob;;;;;;;;;;;;;x
b_tugaya;Tugaya;;;;;;;;;;;;;x
# County of Kasambuwangaan
c_kasambuwangaan;Kasambuwangaan;;;;;;;;;;;;;x
b_kasambuwangaan;Kasambuwangaan;;;;;;;;;;;;;x
b_bongalao;Bongalao;;;;;;;;;;;;;x
b_cawit_cawit;Cawit Cawit;;;;;;;;;;;;;x
b_jatian;Jatian;;;;;;;;;;;;;x
b_litawan;Litawan;;;;;;;;;;;;;x
b_nala;Nala;;;;;;;;;;;;;x
b_tangarak;Tangarak;;;;;;;;;;;;;x
## Duchy of Mindanao
d_mindanao;Mindanao;;;;;;;;;;;;;x
# County of Bayug
c_bayug;Bayug;;;;;;;;;;;;;x
b_bayug;Bayug;;;;;;;;;;;;;x
b_dimataling;Dimataling;;;;;;;;;;;;;x
b_guipos;Guipos;;;;;;;;;;;;;x
b_kumalarang;Kumalarang;;;;;;;;;;;;;x
b_labangan;Labangan;;;;;;;;;;;;;x
b_margosatubig;Margosatubig;;;;;;;;;;;;;x
b_tigbao;Tigbao;;;;;;;;;;;;;x
# County of Kuta Wato
c_kuta_wato;Kuta Wato;;;;;;;;;;;;;x
b_kuta;Kuta;;;;;;;;;;;;;x
b_kabuntalan;Kabuntalan;;;;;;;;;;;;;x
b_matanog;Matanog;;;;;;;;;;;;;x
b_parang;Parang;;;;;;;;;;;;;x
b_upi;Upi;;;;;;;;;;;;;x
b_kibleg;Kibleg;;;;;;;;;;;;;x
b_pinantao;Pinantao;;;;;;;;;;;;;x
# County of Himologan
c_himologan;Himologan;;;;;;;;;;;;;x
b_himologan;Himologan;;;;;;;;;;;;;x
b_balingasag;Balingasag;;;;;;;;;;;;;x
b_gingoog;Gingoog;;;;;;;;;;;;;x
b_jasaan;Jasaan;;;;;;;;;;;;;x
b_lagonglong;Lagonglong;;;;;;;;;;;;;x
b_naawan;Naawan;;;;;;;;;;;;;x
b_talisayan;Talisayan;;;;;;;;;;;;;x
# County of Bukidnon
c_bukidnon;Bukidnon;;;;;;;;;;;;;x
b_bukidnon;Bukidnon;;;;;;;;;;;;;x
b_baugon;b_baugon;;;;;;;;;;;;;x
b_cabanglasan;Cabanglasan;;;;;;;;;;;;;x
b_dangcagan;Dangcagan;;;;;;;;;;;;;x
b_kadingilan;Kadingilan;;;;;;;;;;;;;x
b_lantapan;Lantapan;;;;;;;;;;;;;x
b_talakag;Talakag;;;;;;;;;;;;;x
## Duchy of Suba
d_suba;Suba;;;;;;;;;;;;;x
# County of Malaybalay
c_malaybalay;Malaybalay;;;;;;;;;;;;;x
b_malaybalay;Malaybalay;;;;;;;;;;;;;x
b_patat;Patat;;;;;;;;;;;;;x
b_can_ayan;Can Ayan;;;;;;;;;;;;;x
b_dalwangan;Dalwangan;;;;;;;;;;;;;x
b_maligaya;Maligaya;;;;;;;;;;;;;x
b_casisang;Casisang;;;;;;;;;;;;;x
b_simaya;Simaya;;;;;;;;;;;;;x
# County of Butuan
c_butuan;Butuan;;;;;;;;;;;;;x
b_butuan;Butuan;;;;;;;;;;;;;x
b_sikatuna;Sikatuna;;;;;;;;;;;;;x
b_lapu_lapu;Lapu Lapu;;;;;;;;;;;;;x
b_limaha;Limaha;;;;;;;;;;;;;x
b_pagatpatan;Pagatpatan;;;;;;;;;;;;;x
b_maon;Maon;;;;;;;;;;;;;x
b_taligaman;Taligaman;;;;;;;;;;;;;x
# County of Bayugan
c_bayugan;c_bayugan;;;;;;;;;;;;;x
b_bayugan;Bayugan;;;;;;;;;;;;;x
b_cagbas;Cagbas;;;;;;;;;;;;;x
b_fili;Fili;;;;;;;;;;;;;x
b_gamao;Gamao;;;;;;;;;;;;;x
b_katipunan;Katipunan;;;;;;;;;;;;;x
b_mabuhay;Mabuhay;;;;;;;;;;;;;x
b_wa_wa;Wawa;;;;;;;;;;;;;x
# County of Suba
c_suba;Suba;;;;;;;;;;;;;x
b_suba;Suba;;;;;;;;;;;;;x
b_alangilanan;Alangilanan;;;;;;;;;;;;;x
b_balaas;Balaas;;;;;;;;;;;;;x
b_candabong;Candabong;;;;;;;;;;;;;x
b_dungo_an;Dungo An;;;;;;;;;;;;;x
b_maaslum;Maaslum;;;;;;;;;;;;;x
b_tubod;Tubod;;;;;;;;;;;;;x
## Duchy of Madjaas
d_madjaas;Madjaas;;;;;;;;;;;;;x
# County of Madja
c_madja;Madja;;;;;;;;;;;;;x
b_iloilo;Iloilo;;;;;;;;;;;;;x
b_pototan;Pototan;;;;;;;;;;;;;x
b_batad;Batad;;;;;;;;;;;;;x
b_ajuy;Ajuy;;;;;;;;;;;;;x
b_calinog;Calinog;;;;;;;;;;;;;x
b_miagao;Miagao;;;;;;;;;;;;;x
