#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### Empire of Vietnam
e_vietnam;Vietnam;Viêt-Nam;Vietnam;;Vietnam;;;;;;;;;x
e_vietnam_adj;Vietnamese;Vietnamien;Vietnamesisch;;vietnamita;;;;;;;;;x
### Kingdom of Champa
k_champa;Champa;;;;;;;;;;;;;x
k_champa_adj;Cham;;;;;;;;;;;;;x
## Duchy of Vijaya
d_vijaya;Vijaya;;;;;;;;;;;;;x
# County of Panduranga
c_panduranga;Panduranga;;;;;;;;;;;;;x
b_phuoc_my;Phuoc My;;;;;;;;;;;;;x
b_panduranga;Panduranga;;;;;;;;;;;;;x
b_tan_hai;Tan Hai;;;;;;;;;;;;;x
b_song_luy;Song Luy;;;;;;;;;;;;;x
b_phuoc_son;Phuoc Son;;;;;;;;;;;;;x
b_phuoc_hau;Phuoc Hau;;;;;;;;;;;;;x
b_an_hai;An Hai;;;;;;;;;;;;;x
# County of Kauthara
c_kauthara;Kauthara;;;;;;;;;;;;;x
b_kauthara;Kauthara;;;;;;;;;;;;;x
b_cam_ranh;Cam Ranh;;;;;;;;;;;;;x
b_po_nagar;Po Nagar;;;;;;;;;;;;;x
b_dien_thanh;Dien Thanh;;;;;;;;;;;;;x
b_phuoc_dong;Phuoc Dong;;;;;;;;;;;;;x
b_ninh_thuy;Ninh Thuy;;;;;;;;;;;;;x
b_van_hung;Van Hung;;;;;;;;;;;;;x
# County of Vijaya
c_vijaya;Vijaya;;;;;;;;;;;;;x
b_vijaya;Vijaya;;;;;;;;;;;;;x
b_tuy_hoa;Tuy Hoa;;;;;;;;;;;;;x
b_thanh_ho;Thanh Ho;;;;;;;;;;;;;x
b_duong_long;Duong Long;;;;;;;;;;;;;x
b_hung_thanh;Hung Thanh;;;;;;;;;;;;;x
b_canh_tien;Canh Tien;;;;;;;;;;;;;x
b_thoc_loc;Thoc Loc;;;;;;;;;;;;;x
# County of Binh Dinh
c_binh_dinh;Binh Dinh;;;;;;;;;;;;;x
b_binh_dinh;Binh Dinh;;;;;;;;;;;;;x
b_vinh_thanh;Vinh Thanh;;;;;;;;;;;;;x
b_phu_my;Phu My;;;;;;;;;;;;;x
b_hoai_nhon;Hoai Nhon;;;;;;;;;;;;;x
b_hoai_an;Hoai An;;;;;;;;;;;;;x
b_an_lao;An Lao;;;;;;;;;;;;;x
b_an_khe;An Khe;;;;;;;;;;;;;x
## Duchy of Indrapura
d_indrapura;Indrapura;;;;;;;;;;;;;x
# County of Amaravati
c_viet_amaravati;Amaravati;;;;;;;;;;;;;x
b_amaravati2;Amaravati;;;;;;;;;;;;;x
b_ly_son;Ly Son;;;;;;;;;;;;;x
b_nghia_dong;Nghia Dong;;;;;;;;;;;;;x
b_nghia_dung;Nghia Dung;;;;;;;;;;;;;x
b_tinh_an;Tinh An;;;;;;;;;;;;;x
b_nghia_hoa;Nghia Hoa;;;;;;;;;;;;;x
b_duc_loi;Duc Loi;;;;;;;;;;;;;x
# County of Indrapura
c_indrapura;Indrapura;;;;;;;;;;;;;x
b_indrapura;Indrapura;;;;;;;;;;;;;x
b_my_son;My Son;;;;;;;;;;;;;x
b_singhapura;Singhapura;;;;;;;;;;;;;x
b_cua_han;Cua Han;;;;;;;;;;;;;x
b_hai_chau;Hai Chau;;;;;;;;;;;;;x
b_thoc_quang;Thoc Quang;;;;;;;;;;;;;x
b_hoi_an;Hoi An;;;;;;;;;;;;;x
# County of Phu Xuang
c_phu_xuang;Phu Xuang;;;;;;;;;;;;;x
b_phu_xuang;Phu Xuang;;;;;;;;;;;;;x
b_thuan_hoa;Thuan Hoa;;;;;;;;;;;;;x
b_vinh_an;Vinh An;;;;;;;;;;;;;x
b_thuan_thai;Thuan Thai;;;;;;;;;;;;;x
b_nui_bang;Nui Bang;;;;;;;;;;;;;x
b_song_huong;Song Huong;;;;;;;;;;;;;x
b_kandapurpura;Kandapurpura;;;;;;;;;;;;;x
# County of Tien Binh
c_tien_binh;Thien Binh;;;;;;;;;;;;;x
b_tien_binh;Thien Binh;;;;;;;;;;;;;x
b_thach_xa_ha;Thach Xa Ha;;;;;;;;;;;;;x
b_le_thuy;Le Thuy;;;;;;;;;;;;;x
b_dong_hoi;Dong Hoi;;;;;;;;;;;;;x
b_da_nhay;Da Nhay;;;;;;;;;;;;;x
b_phong_nha;Phong Nha;;;;;;;;;;;;;x
b_ba_don;Ba Don;;;;;;;;;;;;;x
### Kingdom of Annam
k_annam;Annam;;;;;;;;;;;;;x
k_annam_adj;Vietnamese;;;;;;;;;;;;;x
## Duchy of Thanh Hoa
d_thanh_hoa;Thanh Hoa;;;;;;;;;;;;;x
# County of Ha Tinh
c_ha_tinh;Ha Tinh;;;;;;;;;;;;;x
b_ha_tinh;Ha Tinh;;;;;;;;;;;;;x
b_thach_quy;Thach Quy;Thach Quy;Thach Quy;;Thach Quy;;;;;;;;;x
b_thach_hai;Thach Hai;Thach Hai;Thach Hai;;Thach Hai;;;;;;;;;x
b_thach_tri;Thach Tri;Thach Tri;Thach Tri;;Thach Tri;;;;;;;;;x
b_ky_anh;Ky Anh;Ky Anh;Ky Anh;;Ky Anh;;;;;;;;;x
b_ky_hai;Ky Hai;Ky Hai;Ky Hai;;Ky Hai;;;;;;;;;x
b_hong_linh;Hong Linh;;;;;;;;;;;;;x
# County of Nghe An
c_nghe_an;Nghe An;;;;;;;;;;;;;x
b_nghe_an;Nghe An;;;;;;;;;;;;;x
b_vinh;Vinh;;;;;;;;;;;;;x
b_cua_lo;Cua Lo;;;;;;;;;;;;;x
b_kim_lien;Kim Lien;;;;;;;;;;;;;x
b_phuc_son;Phuc Son;;;;;;;;;;;;;x
b_nghi_van;Nghi Van;;;;;;;;;;;;;x
b_thanh_hung;Thanh Hung;;;;;;;;;;;;;x
# County of Hoa Binh
b_hoa_binh;Hoa Binh;;;;;;;;;;;;;x
b_na_toc;Na Toc;;;;;;;;;;;;;x
b_den_din;Den Din;;;;;;;;;;;;;x
b_con_cuong;Con Cuong;;;;;;;;;;;;;x
b_que_phong;Que Phong;;;;;;;;;;;;;x
b_lang_chanh;Lang Chanh;;;;;;;;;;;;;x
b_my_hoa;My Hoa;;;;;;;;;;;;;x
# County of Thanh Hoa
c_thanh_hoa;Thanh Hoa;;;;;;;;;;;;;x
b_thanh_hoa;Thanh Hoa;;;;;;;;;;;;;x
b_hoang_dai;Hoang Dai;;;;;;;;;;;;;x
b_tao_xuyen;Tao Xuyen;;;;;;;;;;;;;x
b_nhoi;Nhoi;;;;;;;;;;;;;x
b_sam_son;Sam Son;;;;;;;;;;;;;x
b_trieu_son;Trieu Son;;;;;;;;;;;;;x
b_hoang_mai;Hoang Mai;;;;;;;;;;;;;x
## Duchy of Son La
d_son_la;Son La;;;;;;;;;;;;;x
# County of Son La
c_son_la;Son La;;;;;;;;;;;;;x
b_son_la;Son La;;;;;;;;;;;;;x
b_ban_chom;Ban Chom;;;;;;;;;;;;;x
b_chieng_kheo;Chieng Kheo;;;;;;;;;;;;;x
b_chieng_noi;Chieng Noi;;;;;;;;;;;;;x
b_nam_ty;Nam Ty;;;;;;;;;;;;;x
b_ban_cat;Ban Cat;;;;;;;;;;;;;x
b_co_ma;Co Ma;;;;;;;;;;;;;x
# County of Dien Bien
c_dien_bien;Dien Bien;;;;;;;;;;;;;x
b_dien_bien;Dien Bien;;;;;;;;;;;;;x
b_muong_thanh;Muong Thanh;;;;;;;;;;;;;x
b_muong_lay;Muong Lay;;;;;;;;;;;;;x
b_sin_ho;Sin Ho;;;;;;;;;;;;;x
b_tuan_giao;Tuan Giao;;;;;;;;;;;;;x
b_ban_cang;Ban Cang;;;;;;;;;;;;;x
b_tua_chua;Tua Chua;;;;;;;;;;;;;x
# County of Lao Cai
c_lao_cai;Lao Cai;;;;;;;;;;;;;x
b_lai_chau;Lai Chau;;;;;;;;;;;;;x
b_lao_cai;Lao Cai;;;;;;;;;;;;;x
b_cam_duong;Cam Duong;;;;;;;;;;;;;x
b_ban_phiet;Ban Phiet;;;;;;;;;;;;;x
b_ban_cam;Ban Cam;;;;;;;;;;;;;x
b_bao_ha;Bao Ha;;;;;;;;;;;;;x
b_sa_pa;Sa Pa;;;;;;;;;;;;;x
## Duchy of Tuyen Quang
d_tuyen_quang;Tuyen Quang;;;;;;;;;;;;;x
# County of Tuyen Quang
c_tuyuen_quang;Tuyen Quang;;;;;;;;;;;;;x
b_tuyuen_quang;Tuyen Quang;;;;;;;;;;;;;x
b_muong_khuong;Muong Khuong;;;;;;;;;;;;;x
b_thanh_binh;Thanh Binh;;;;;;;;;;;;;x
b_song_cong;Song Cong;;;;;;;;;;;;;x
b_bac_quang;Bac Quang;;;;;;;;;;;;;x
b_viet_quang;Viet Quang;;;;;;;;;;;;;x
b_chiem_hoa;Chiem Hoa;;;;;;;;;;;;;x
## Duchy of Hamoi
d_hanoi;Hanoi;;;;;;;;;;;;;x
# County of Dai La
c_dai_la;Dai La;;;;;;;;;;;;;x
b_dai_la;Dai La;;;;;;;;;;;;;x
b_tan_hoa;Tan Hoa;;;;;;;;;;;;;x
b_tu_son;Tu Son;;;;;;;;;;;;;x
b_son_tay;Son Tay;;;;;;;;;;;;;x
b_vinh_yen;Vinh Yen;;;;;;;;;;;;;x
b_phuc_yen;Phuc Yen;;;;;;;;;;;;;x
b_trung_hoa;Trung Hoa;;;;;;;;;;;;;x
# County of Nam Dinh
c_nam_dinh;Nam Dinh;;;;;;;;;;;;;x
b_nam_dinh;Nam Dinh;;;;;;;;;;;;;x
b_ninh_binh;Ninh Binh;;;;;;;;;;;;;x
b_thai_binh;Thai Binh;;;;;;;;;;;;;x
b_duy_nhat;Duy Nhat;;;;;;;;;;;;;x
