#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
emperor_mon_khmer_group;Chakravartin;Chakravartin;Chakravartin;;Chakravartin;;;;;;;;;x
emperor_female_mon_khmer_group;Chakravartin;Chakravartin;Chakravartin;;Chakravartin;;;;;;;;;x
king_mon_khmer_group;Maharaja;Maharaja;Maharaja;Maharaja;;Maharaja;;;;;;;;;x
king_female_mon_khmer_group;Maharani;Maharani;Maharani;;Maharani;;;;;;;;;x
duke_mon_khmer_group;Raja;Raja;Raja;;Raja;;;;;;;;;x
duke_female_mon_khmer_group;Rani;Rani;Rani;;Rani;;;;;;;;;x
count_mon_khmer_group;Thakur;Thakur;Thakur;;Thakur;;;;;;;;;x
count_female_mon_khmer_group;Thakurani;Thakurani;Thakurani;;Thakurani;;;;;;;;;x
baron_mon_khmer_group;Nayaka;Nayaka;Nayaka;;Nayaka;;;;;;;;;x
baron_female_mon_khmer_group;Nayakini;Nayakini;Nayakini;;Nayakini;;;;;;;;;x
#empire_mon_khmer_group;Rajya;Rajya;Rajya;;Rajya;;;;;;;;;x
#kingdom_mon_khmer_group;Rashtra;Rashtra;Rashtra;;Rashtra;;;;;;;;;x
duchy_mon_khmer_group;Kshetra;Kshetra;Kshetra;;Kshetra;;;;;;;;;x
county_mon_khmer_group;Thikana;Thikana;Thikana;;Thikana;;;;;;;;;x
barony_mon_khmer_group;Pattaka;Pattaka;Pattaka;;Pattaka;;;;;;;;;x
#empire_of_mon_khmer_group;Rajya of;Rajya de;Rajya von;;Rajya de;;;;;;;;;x
#kingdom_of_mon_khmer_group;Rashtra of;Rashtra de;Rashtra von;;Rashtra de;;;;;;;;;x
duchy_of_mon_khmer_group;Kshetra of;Kshetra de;Kshetra von;;Kshetra de;;;;;;;;;x
county_of_mon_khmer_group;Thikana of;Thikana de;Thikana von;;Thikana de;;;;;;;;;x
barony_of_mon_khmer_group;Pattaka of;Pattaka de;Pattaka von;;Pattaka de;;;;;;;;;x
title_prince_mon_khmer_group;Rajkumara;Rajkumara;Rajkumara;;Rajkumara;;;;;;;;;x
title_prince_female_mon_khmer_group;Rajkumari;Rajkumari;Rajkumari;;Rajkumari;;;;;;;;;x
#title_regent_mon_khmer_group;Rajasthaniya;Rajasthaniya;Rajasthaniya;;Rajasthaniya;;;;;;;;;x
job_chancellor_mon_khmer_group;Videshadhikari;Videshadhikari;Videshadhikari;;Videshadhikari;;;;;;;;;x
job_marshal_mon_khmer_group;Senadhipati;Senadhipati;Senadhipati;;Senadhipati;;;;;;;;;x
job_treasurer_mon_khmer_group;Karanadhikari;Karanadhikari;Karanadhikari;;Karanadhikari;;;;;;;;;x
job_spymaster_mon_khmer_group;Antaradhikari;Antaradhikari;Antaradhikari;;Antaradhikari;;;;;;;;;x
job_spiritual_mon_khmer_group;Purohita;Purohita;Purohita;;Purohita;;;;;;;;;x
emperor_viet;Hoangde;Hoangde;Hoangde;;Hoangde;;;;;;;;;x
emperor_female_viet;Hoanghau;Hoanghau;Hoanghau;;Hoanghau;;;;;;;;;x
king_viet;Vuong;Vuong;Vuong;;Vuong;;;;;;;;;x
king_female_viet;Nuhoang;Nuhoang;Nuhoang;;Nuhoang;;;;;;;;;x
duke_viet;Congtuoc;Congtuoc;Congtuoc;;Congtuoc;;;;;;;;;x
duke_female_viet;Congtuocphunhan;Congtuocphunhan;Congtuocphunhan;;Congtuocphunhan;;;;;;;;;x
count_viet;Batuoc;Batuoc;Batuoc;;Batuoc;;;;;;;;;x
count_female_viet;Batuocphunhan;Batuocphunhan;Batuocphunhan;;Batuocphunhan;;;;;;;;;x
baron_viet;Namtuoc;Namtuoc;Namtuoc;;Namtuoc;;;;;;;;;x
baron_female_viet;Namtuocphunhan;Namtuocphunhan;Namtuocphunhan;;Namtuocphunhan;;;;;;;;;x
title_prince_viet;Hoangtu;Hoangtu;Hoangtu;;Hoangtu;;;;;;;;;x
title_prince_female_viet;Congchua;Congchua;Congchua;;Congchua;;;;;;;;;x
#emperor_title_queen_mother_female_viet;Thaihauhoanghau;Thaihauhoanghau;Thaihauhoanghau;;Thaihauhoanghau;;;;;;;;;x
#king_title_queen_mother_female_viet;Nuhoangthaihau;Nuhoangthaihau;Nuhoangthaihau;;Nuhoangthaihau;;;;;;;;;x
vice_royalty_emperor_viet;Hoangde;Phohoangde;Phohoangde;;Phohoangde;;;;;;;;;x
vice_royalty_emperor_female_viet;Phohoanghau;Nuphohoangde;Nuphohoangde;;Nuphohoangde;;;;;;;;;x
vice_royalty_king_viet;Phovuong;Phovuong;Phovuong;;Phovuong;;;;;;;;;x
vice_royalty_king_female_viet;Phonuhoang;Phonuhoang;Phonuhoang;;Phonuhoang;;;;;;;;;x
vice_royalty_duke_viet;Thongdoc;Thongdoc;Thongdoc;;Thongdoc;;;;;;;;;x
vice_royalty_duke_female_viet;Thongdocphunhan;Thongdocphunhan;Thongdocphunhan;;Thongdocphunhan;;;;;;;;;x
#empire_viet;Dequoc;Dequoc;Dequoc;;Dequoc;;;;;;;;;x
