#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hwarang;The Hwarang;;;;;;;;;;;;;x
hwarang_desc;Combining teachings drawn from Buddhist, Taoist, and Confucian philosophy with devotion to both family and sovereign, the Hwarang are expected to be skilled warriors, paragons of virtue and culture, and loyal subjects, companions, and children.;;;;;;;;;;;;;x
hwarang_leader_desc;This character leads the Hwarang and is thus presumed to be wise and benevolent.;;;;;;;;;;;;;x
hwarang_rank_1_female;Nangdo;;;;;;;;;;;;;x
hwarang_rank_1_male;Nangdo;;;;;;;;;;;;;x
hwarang_rank_2_female;Wonhwa;;;;;;;;;;;;;x
hwarang_rank_2_male;Hwarang;;;;;;;;;;;;;x
hwarang_rank_3_female;Pung-wolju;;;;;;;;;;;;;x
hwarang_rank_3_male;Pung-wolju;;;;;;;;;;;;;x
hwarang_rank_4_female;Gukseon;;;;;;;;;;;;;x
hwarang_rank_4_male;Gukseon;;;;;;;;;;;;;x
currency_name_hwarang;Devotion;;;;;;;;;;;;;x
request_to_rank_up_hwarang;Request to Rank Up;;;;;;;;;;;;;x
request_to_rank_up_hwarang_desc;;;;;;;;;;;;;;x
hwarang_personal_grooming;Personal Grooming;;;;;;;;;;;;;;x
hwarang_personal_grooming_power_desc;Can spend Devotion to gain the Groomed trait.;;;;;;;;;;;;;;x
hwarang_personal_grooming_desc;The Hwarang have a reputation for beauty, and it would be amiss not to live up to that reputation.;;;;;;;;;;;;;;x
hwarang_seek_spiritual_guidance;Seek Spiritual Guidance;;;;;;;;;;;;;;x
hwarang_seek_spiritual_guidance_power_desc;Can spend Devotion to ask a temple holder, ascetic, or otherwise suitably learned person for spiritual guidance.;;;;;;;;;;;;;;x
hwarang_seek_spiritual_guidance_desc;Ask [Root.GetBestName] to give you spiritual guidance, potentially allowing you to better yourself as a member of the Hwarang.;;;;;;;;;;;;;;x
hwarang_cash_out;Cash Out;;;;;;;;;;;;;;x
hwarang_cash_out_power_desc;Can choose to leave the society, exchanging all Devotion for Piety and Prestige.;;;;;;;;;;;;;;x
hwarang_cash_out_desc;The Hwarang are primarily youths, and sooner or later it would be unseemly to remain part of the organization...;;;;;;;;;;;;;;x
hwarang_inspire_loyalty;Inspire Loyalty;;;;;;;;;;;;;;x
hwarang_inspire_loyalty_power_desc;Can spend Devotion to inspire loyalty in a vassal or courtier, increasing their opinion of you and possibly having other beneficial effects.;;;;;;;;;;;;;;x
hwarang_inspire_loyalty_desc;Use your influence among the Hwarang to convince [Root.GetBestName] to think a bit more highly of you.;;;;;;;;;;;;;;x
hwarang_organize_patrols;Organize Patrols;;;;;;;;;;;;;;x
hwarang_organize_patrols_power_desc;Can spend Devotion to reduce the revolt risk in a province by right-clicking on the target county's coat of arms.;;;;;;;;;;;;;;x
hwarang_organize_patrols_desc;Order various Hwarang to patrol [Root.GetName], deterring bandits and would-be rebellious peasants.;;;;;;;;;;;;;;x
hwarang_reflect_on_traits;Reflect on Traits;;;;;;;;;;;;;;x
hwarang_reflect_on_traits_power_desc;Can spend Devotion to reflect on various ways to improve as a Hwarang.;;;;;;;;;;;;;;x
hwarang_reflect_on_traits_desc;Reflect on how you could improve as a Hwarang.;;;;;;;;;;;;;;x
hwarang_nap;Suggest Non-Aggression Pact;;;;;;;;;;;;;;x
hwarang_nap_power_desc;Can spend Devotion to offer a Non-Aggression Pact to a vassal or a fellow Hwarang. Part of the cost will be refunded if the target refuses.;;;;;;;;;;;;;;x
hwarang_nap_desc;Offer a Non-Aggression Pact to [Root.GetBestName]. Part of the cost will be refunded if [Root.GetSheHe] refuses.;;;;;;;;;;;;;;x
hwarang_lifestyle;Select Hwarang lifestyle;;;;;;;;;;;;;;x
hwarang_lifestyle_power_desc;Can spend Devotion to obtain one of nine different lifestyle traits.;;;;;;;;;;;;;;x
hwarang_lifestyle_desc;Formalize your dedication to a Hwarang-approved lifestyle.;;;;;;;;;;;;;;x
hwarang_demand_leadership;Demand Leadership;;;;;;;;;;;;;;x
hwarang_demand_leadership_power_desc;Can spend Devotion to demand the position of Gukseon, provided the current Gukseon is sufficiently old.;;;;;;;;;;;;;;x
hwarang_demand_leadership_desc;The Hwarang are not a society for old men or women, and perhaps it is time for a younger leader to take over...;;;;;;;;;;;;;;x
hwarang_raise_righteous_army;Raise Righteous Army;;;;;;;;;;;;;;x
hwarang_raise_righteous_army_power_desc;Spend Devotion to summon a large force of irregular troops. These troops will remain under your control for as long as you are alive.;;;;;;;;;;;;;;x
hwarang_raise_righteous_army_desc;In times of great need, Righteous Armies are sure to answer the call of the worthy...;;;;;;;;;;;;;;x
hwarang_discourage_factions;Discourage Factions;;;;;;;;;;;;;;x
hwarang_discourage_factions_power_desc;Can spend Devotion to make all vassals considerably less likely to join factions for the next two years.;;;;;;;;;;;;;;x
hwarang_discourage_factions_desc;The Hwarang are supposed to be loyal to their liege, and as the leader of the Hwarang it is possible to remind all vassals of this fact.;;;;;;;;;;;;;;x
refound_hwarang;Recreate the Hwarang;;;;;;;;;;;;;;x
refound_hwarang_desc;The surrender of Silla to Goryeo was the end of the Hwarang. However, a sufficiently respected Korean monarch could perhaps revive the organization...;;;;;;;;;;;;;;x
