#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
KEITAI;Keitai;;;;;;;;;;;;;x
ANKAN;Ankan;;;;;;;;;;;;;x
SENKA;Senka;;;;;;;;;;;;;x
KINMEI;Kinmei;;;;;;;;;;;;;x
BIDATSU;Bidatsu;;;;;;;;;;;;;x
YOMEI;Yomei;;;;;;;;;;;;;x
SUSHUN;Sushun;;;;;;;;;;;;;x
SUIKO;Suiko;;;;;;;;;;;;;x
JOMEI;Jomei;;;;;;;;;;;;;x
KOGYOKU;Kogyoku;;;;;;;;;;;;;x
KOTOKU;Kotoku;;;;;;;;;;;;;x
SAIMEI;Saimei;;;;;;;;;;;;;x
TENCHI;Tenchi;;;;;;;;;;;;;x
KOBUN;Kobun;;;;;;;;;;;;;x
TENMU;Tenmu;;;;;;;;;;;;;x
JITO;Jito;;;;;;;;;;;;;x
MONMU;Monmu;;;;;;;;;;;;;x
GENMEI;Genmei;;;;;;;;;;;;;x
GENSHO;Gensho;;;;;;;;;;;;;x
SHOMU;Shomu;;;;;;;;;;;;;x
KOKEN;Koken;;;;;;;;;;;;;x
JUNNIN;Junnin;;;;;;;;;;;;;x
SHOTOKU;Shotoku;;;;;;;;;;;;;x
KONIN;Konin;;;;;;;;;;;;;x
KANMU;Kanmu;;;;;;;;;;;;;x
HEIZEI;Heizei;;;;;;;;;;;;;x
SAGA;Saga;;;;;;;;;;;;;x
JUNNA;Junna;;;;;;;;;;;;;x
NINMYO;Ninmyo;;;;;;;;;;;;;x
MONTOKU;Montoku;;;;;;;;;;;;;x
SEIWA;Seiwa;;;;;;;;;;;;;x
YOZEI;Yozei;;;;;;;;;;;;;x
KOKO;Koko;;;;;;;;;;;;;x
UDA;Uda;;;;;;;;;;;;;x
DAIGO;Daigo;;;;;;;;;;;;;x
SUZAKU;Suzaku;;;;;;;;;;;;;x
MURAKAMI;Murakami;;;;;;;;;;;;;x
REZEI;Rezei;;;;;;;;;;;;;x
ENYU;Enyu;;;;;;;;;;;;;x
KAZAN;Kazan;;;;;;;;;;;;;x
ICHIJO;Ichijo;;;;;;;;;;;;;x
SANJO;Sanjo;;;;;;;;;;;;;x
SHIRAKAWA;Shirakawa;;;;;;;;;;;;;x
HORIKAWA;Horikawa;;;;;;;;;;;;;x
TOBA;Toba;;;;;;;;;;;;;x
SUTOKU;Sutoku;;;;;;;;;;;;;x
KONOE;Konoe;;;;;;;;;;;;;x
NIJO;Nijo;;;;;;;;;;;;;x
ROKUJO;Rokujo;;;;;;;;;;;;;x
TAKAKURA;Takakura;;;;;;;;;;;;;x
ANTOKU;Antoku;;;;;;;;;;;;;x
TSUCHIMIKADO;Tsuchimikado;;;;;;;;;;;;;x
JUNTOKU;Juntoku;;;;;;;;;;;;;x
SHUKYO;Shukyo;;;;;;;;;;;;;x
SHIJO;Shijo;;;;;;;;;;;;;x
FUKAKUSA;Fukakusa;;;;;;;;;;;;;x
KAMEYAMA;Kameyama;;;;;;;;;;;;;x
FUSHIMI;Fushimi;;;;;;;;;;;;;x
HANAZONO;Hanazono;;;;;;;;;;;;;x
KOGON;Kogon;;;;;;;;;;;;;x
EVTDESC_JAPAN_1;Please select your regnal name.;;;;;;;;;;;;;x
EVTOPTA_JAPAN_1;More options;;;;;;;;;;;;;x
hanami_in_progress;Holding a Hanami;;;;;;;;;;;;;x
celebrate_hanami;Hold a Hanami;;;;;;;;;;;;;x
celebrate_hanami_desc;The cherry trees are blooming, and it would be a perfect time to invite your vassals to celebrate this.;;;;;;;;;;;;;x
hanami_decorations;Hanami decorations;;;;;;;;;;;;;x
hanami_decorations_desc;This province was extensively decorated for a Hanami;;;;;;;;;;;;;x
good_hanami;Good time at Hanami;;;;;;;;;;;;;x
bad_hanami;Bad time at Hanami;;;;;;;;;;;;;x
hanami_duel_good_sport;Good sportsmanship;;;;;;;;;;;;;x
hanami_duel_bad_sport;Bad sportsmanship;;;;;;;;;;;;;x
opinion_enjoyed_hanami;Held a Hanami;;;;;;;;;;;;;x
shinto_tolerate_buddhists;Tolerate Buddhists;;;;;;;;;;;;;x
shinto_tolerate_buddhists_desc;Following the Buddhist faith instead of following the Shinto faith should not be a cause for strife amongst our people.;;;;;;;;;;;;;x
EVTDESC_JAPAN_2;The formerly Shinto population of the county of [Root.GetName] has converted to the Buddhist faith.;;;;;;;;;;;;;x
EVTOPTA_JAPAN_2;I see...;;;;;;;;;;;;;x
EVTOPTB_JAPAN_2;Good news, everyone!;;;;;;;;;;;;;x
EVTOPTC_JAPAN_2;Not ideal...;;;;;;;;;;;;;x
EVTDESC_JAPAN_3;The formerly Shinto population of the county of [From.GetName] has converted to the Buddhist faith.;;;;;;;;;;;;;x
EVTOPTA_JAPAN_3;I see...;;;;;;;;;;;;;x
EVTOPTB_JAPAN_3;Good news, everyone!;;;;;;;;;;;;;x
EVTOPTC_JAPAN_3;Not ideal...;;;;;;;;;;;;;x
EVTDESC_JAPAN_4;The formerly Shinto population of the county of [Root.GetName] has converted to the [Root.Religion.GetName] faith.;;;;;;;;;;;;;x
EVTOPTA_JAPAN_4;I see...;;;;;;;;;;;;;x
EVTOPTB_JAPAN_4;Good news, everyone!;;;;;;;;;;;;;x
EVTOPTC_JAPAN_4;Not ideal...;;;;;;;;;;;;;x
EVTDESC_JAPAN_5;The formerly Shinto population of the county of [From.GetName] has converted to the [From.Religion.GetName] faith.;;;;;;;;;;;;;x
EVTOPTA_JAPAN_5;I see...;;;;;;;;;;;;;x
EVTOPTB_JAPAN_5;Good news, everyone!;;;;;;;;;;;;;x
EVTOPTC_JAPAN_5;Not ideal...;;;;;;;;;;;;;x
EVTDESC_JAPAN_101;Before the invites for the hanami can be sent out you will need to make some preparations, seeing as it will require various things that your servants would not normally need to know to prepare.;;;;;;;;;;;;;x
EVTOPTA_JAPAN_101;Let's get started!;;;;;;;;;;;;;x
EVTDESC_JAPAN_102;While your guests will be staying in your court for some time during the hanami, you still need to decide whether the main event will take place during the day or the night. Which will it be?;;;;;;;;;;;;;x
EVTOPTA_JAPAN_102;The day!;;;;;;;;;;;;;x
EVTOPTB_JAPAN_102;The night!;;;;;;;;;;;;;x
EVTDESC_JAPAN_103;During your preparations for the hanami, you have considered various forms of entertainment for your guests. One option would be to hire some shirabyoshi to entertain your guests. Do you wish to hire a few?;;;;;;;;;;;;;x
EVTOPTA_JAPAN_103;Yes!;;;;;;;;;;;;;x
EVTOPTB_JAPAN_103;No!;;;;;;;;;;;;;x
EVTDESC_JAPAN_104;Your capital could use some embellishments during the hanami. The commoners would appreciate it, for one thing, and chances are the guests would like it too. Do you want to decorate the capital?;;;;;;;;;;;;;x
EVTOPTA_JAPAN_104;Decorate it modestly;;;;;;;;;;;;;x
EVTOPTB_JAPAN_104;Decorate it extensively;;;;;;;;;;;;;x
EVTOPTC_JAPAN_104;Don't decorate it;;;;;;;;;;;;;x
EVTDESC_JAPAN_105;Some of the nearby Shinto shrines would doubtlessly appreciate it if you sent some offerings for the kami as part of the hanami celebrations. Do you want to do that?;;;;;;;;;;;;;x
EVTOPTA_JAPAN_105;Send a small offering;;;;;;;;;;;;;x
EVTOPTB_JAPAN_105;Send a great offering;;;;;;;;;;;;;x
EVTOPTC_JAPAN_105;Send a tainted offering;;;;;;;;;;;;;x
EVTOPTD_JAPAN_105;Send nothing;;;;;;;;;;;;;x
EVTDESC_JAPAN_106;Word has reached you that [From.GetBestName] is sending some offerings to a Shinto shrine in preparation for an upcoming hanami. You believe you have the opportunity to taint those offerings, should you wish to use it.;;;;;;;;;;;;;x
EVTOPTA_JAPAN_106;Taint the offerings!;;;;;;;;;;;;;x
EVTOPTB_JAPAN_106;Too risky...;;;;;;;;;;;;;x
