#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
title_court_mu;Court Mu;;;;;;;;;;;;;x
search_for_court_mu;Search for Court Mu;;;;;;;;;;;;;x
search_for_court_mu_desc;Order the search for a new Court Mu;;;;;;;;;;;;;x
hold_gut;Hold Gut;;;;;;;;;;;;;x
hold_gut_desc;Tell your Court Mu to hold a Gut ritual.;;;;;;;;;;;;;x
searched_for_court_mu;Recently searched for Court Mu;;;;;;;;;;;;;x
# Court Mu
EVTDESC_SOH_301;I have ordered my servants to look both near and far for a good candidate to be my new Court Mu, as I will need someone to manage various rituals at my court.;;;;;;;;;;;;;x
EVTOPTA_SOH_301;I hope they find someone quickly!;;;;;;;;;;;;;x
EVTDESC_SOH_303;One of the servants I dispatched to look for a possible Court Mu has sent word that he has discovered a promising [possible_mu.GetManWoman] in a town some distance away. [possible_mu.GetSheHeCap] is apparently a local healer of some renown.;;;;;;;;;;;;;x
EVTOPTA_SOH_303;A perfect candidate!;;;;;;;;;;;;;x
EVTOPTB_SOH_303;I think I'll keep looking...;;;;;;;;;;;;;x
EVTDESC_SOH_304;Word has arrived from one of the servants I dispatched to search for a possible Court Mu that there is a travelling mystic in my realm that could be a good candidate, and based on what I have heard [possible_mu.GetSheHe] could indeed be the [possible_mu.GetManWoman] for the job.;;;;;;;;;;;;;x
EVTOPTA_SOH_304;A perfect candidate!;;;;;;;;;;;;;x
EVTOPTB_SOH_304;I think I'll keep looking...;;;;;;;;;;;;;x
EVTDESC_SOH_305;I have received a message from one of my servants informing me that they have found a foreign-born [possible_mu.GetManWoman] who could be a good Court Mu. [possible_mu.GetSheHeCap] is perhaps not quite what people would expect, but it would still be possible to hire [possible_mu.GetHerHim].;;;;;;;;;;;;;x
EVTOPTA_SOH_305;A perfect candidate!;;;;;;;;;;;;;x
EVTOPTB_SOH_305;I think I'll keep looking...;;;;;;;;;;;;;x
EVTDESC_SOH_306;A [possible_mu.GetManWoman] has arrived at my court and has informed my servants that [possible_mu.GetSheHe] has heard that I am looking for a Court Mu. [possible_mu.GetSheHeCap] claims to be a [possible_mu.GetManWoman] that would be well suited for that job, and I could probably do worse.;;;;;;;;;;;;;x
EVTOPTA_SOH_306;A perfect candidate!;;;;;;;;;;;;;x
EVTOPTB_SOH_306;I think I'll keep looking...;;;;;;;;;;;;;x
EVTDESC_SOH_307;A message has arrived from a nearby temple that they know of a theologian of some renown who could be convinced to serve as my Court Mu. [possible_mu.GetBestName] could indeed be the [possible_mu.GetManWoman] I am looking for.;;;;;;;;;;;;;x
EVTOPTA_SOH_307;A perfect candidate!;;;;;;;;;;;;;x
EVTOPTB_SOH_307;I think I'll keep looking...;;;;;;;;;;;;;x
