#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
use_dark_power_if_necessary;Call upon the power of darkness, should it prove necessary, even if it might arouse suspicion;;;;;;;;;;;;;x
EVTDESC_LNY_2;It would not be a proper Lunar New Year celebration without a dragon dance happening during it. However, the specifics as to the size of the dragon or even whether there should be only one dragon is for you to determine.;;;;;;;;;;;;;x
EVTOPTA_LNY_2;I want the smallest dragon possible!;;;;;;;;;;;;;x
EVTOPTB_LNY_2;Get me a regular-sized dragon!;;;;;;;;;;;;;x
EVTOPTC_LNY_2;Two dragons are better than one!;;;;;;;;;;;;;x
EVTOPTD_LNY_2;I want the full nine dragons!;;;;;;;;;;;;;x
EVTDESC_LNY_3;While part of the Lunar New Year celebration will be private and only feature you and your highborn guests, doing something extra to entertain the townspeople might not be a bad idea. Do you wish to hire some musicians for this purpose?;;;;;;;;;;;;;x
EVTOPTA_LNY_3;That seems like a good idea;;;;;;;;;;;;;x
EVTOPTB_LNY_3;I would rather save the money;;;;;;;;;;;;;x
EVTDESC_LNY_4;Hiring some acrobats to entertain you and your guests might help spice up the Lunar New Year celebration. Of course, they are not considered as essential as some other parts of the festivities, so you might also elect not to hire them.;;;;;;;;;;;;;x
EVTOPTA_LNY_4;Acrobats? Sign me up!;;;;;;;;;;;;;x
EVTOPTB_LNY_4;I think not!;;;;;;;;;;;;;x
EVTDESC_LNY_5;Much like the dragon dance, fireworks are considered essential during the Lunar New Year celebration. The amount of fireworks that would be proper is hard to determine, and it mainly comes down to how much money you wish to spend.;;;;;;;;;;;;;x
EVTOPTA_LNY_5;Get as few as possible;;;;;;;;;;;;;x
EVTOPTB_LNY_5;Get a decent amount;;;;;;;;;;;;;x
EVTOPTC_LNY_5;Spend a little extra;;;;;;;;;;;;;x
EVTOPTD_LNY_5;Spend a lot more than expected;;;;;;;;;;;;;x
EVTDESC_LNY_6;In addition to the dragon dance it is possible to also hire some entertainers to perform a lion dance. This is generally consdiered less important, but it could still make the celebration of the Lunar New Year more memorable.;;;;;;;;;;;;;x
EVTOPTA_LNY_6;I want there to be lion dances!;;;;;;;;;;;;;x
EVTOPTB_LNY_6;I'd rather save the money...;;;;;;;;;;;;;x
EVTDESC_LNY_7;In order for the Lunar New Year celebration to be as good as possible it might be a good idea to invest in decorations. However, considering all the other expenses, you might also wish to save the money.;;;;;;;;;;;;;x
EVTOPTA_LNY_7;Saving the money is best;;;;;;;;;;;;;x
EVTOPTB_LNY_7;Some decorations would be nice;;;;;;;;;;;;;x
EVTOPTC_LNY_7;I want a lot of decorations;;;;;;;;;;;;;x
EVTDESC_LNY_8;While it is not a tradition that is practiced everywhere there are those that hand out red envelopes filled with money during the Lunar New Year without either the giver or the recipient knowing who gets which package. Do you wish to do this?;;;;;;;;;;;;;x
EVTOPTA_LNY_8;Yes! Let's do that!;;;;;;;;;;;;;x
EVTOPTB_LNY_8;Give away money? Not happening!;;;;;;;;;;;;;x
EVTDESC_LNY_9;With most of the preparations out of the way, you need to decide on how much food you wish to serve your guests during the Lunar New Year celebration.;;;;;;;;;;;;;x
EVTDESC_LNY_10;As nearly everything has been prepared it is high time to send out invitations for the guests you wish to have attend the Lunar New Year celebration, which of course includes all of your vassals.;;;;;;;;;;;;;x
EVTDESC_LNY_11;[Root.GetChineseLetterBlessing], I hereby invite you to my Lunar New Year celebration.\n\nBy my hand and seal,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTA_LNY_11;I'll be there!;;;;;;;;;;;;;x
EVTOPTB_LNY_11;As if I would attend!;;;;;;;;;;;;;x
EVTDESC_LNY_12;My liege, I have no intention to take part in your Lunar New Year celebration as I would rather not spend any more time with you than necessary.\n\nBy my hand and seal,[From.GetBestName];;;;;;;;;;;;;x
EVTDESC_LNY_13;It is customary to clean one's home before the Lunar New Year to ensure good luck, and you should probably consider doing so. However, with all the rest of the preparations you have made, perhaps you could be excused for not cleaning properly.;;;;;;;;;;;;;x
EVTOPTA_LNY_13;Everything must be properly cleaned;;;;;;;;;;;;;x
EVTOPTB_LNY_13;Sweep away the most obvious dirt;;;;;;;;;;;;;x
EVTOPTC_LNY_13;A little dirt never hurt anyone...;;;;;;;;;;;;;x
EVTTITLE_LNY_14;In the Light of Red Lanters;;;;;;;;;;;;;x
EVTDESC_LNY_14;[Root.Capital.GetName] is in a festive mood as the Year of the [Root.GetOldZodiac] is coming to an end and the Year of the [Root.GetNewZodiac] is about to begin. The townspeople are out in the streets, dancing, drinking, and laughing, with performers on nearly every street corner. Despite the celebration of the Lunar New Year only just beginning the sky is still lit by the occasional firework as more eager -- or perhaps more drunk -- people see no need to wait.\n\nThe guests have started to arrive, coming from far and wide, and you are certain that your servants soon will have their hands full with their demands. As far as you can tell, everything is in readiness, and you should relax and feel free to join the festivities, as long as you remember to greet your guests.;;;;;;;;;;;;;x
EVTOPTA_LNY_14;Wishing you prosperity!;;;;;;;;;;;;;x
EVTTITLE_LNY_15;In the Light of Red Lanters;;;;;;;;;;;;;x
EVTDESC_LNY_15;[From.Capital.GetName] is in a festive mood. The townspeople are out in the streets, dancing, drinking, and laughing, with performers on nearly every street corner. Despite the celebration of the Lunar New Year only just beginning the sky is still lit by the occasional firework as more eager -- or perhaps more drunk -- people see no need to wait.\n\nThough it is unlikely that all of the guests have had the time to arrive yet, you are still greeted by [From.GetBestName] upon your arriva.\n\n"Wishing you prosperity!" [From.GetSheHe] exclaims, though it is hard to be sure if it is only due to tradition.;;;;;;;;;;;;;x
EVTOPTA_LNY_15;Wishing you prosperity!;;;;;;;;;;;;;x
EVTOPTB_LNY_15;May you live in interesting times!;;;;;;;;;;;;;x
EVTDESC_LNY_16;It is considered a good start to the new year if your home is clean, and [From.GetTitledName] has certainly made sure that [From.GetHerHis] home is clean, as you can't seem to find even a hint of dust or grime.;;;;;;;;;;;;;x
EVTOPTA_LNY_16;How auspicious!;;;;;;;;;;;;;x
