#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_treasure_fleet;Treasure Fleet;;;;;;;;;;;;;x
e_treasure_fleet;Empire of a Thousand Ships;;;;;;;;;;;;;x
ADMIRAL;Admiral;;;;;;;;;;;;;x
ADMIRAL_FOA;Your Excellency;;;;;;;;;;;;;x
tresure_fleet_is_in_port;The Treasure Fleet must be in port;;;;;;;;;;;;;x
prepare_treasure_fleet;Prepare Treasure Fleet;;;;;;;;;;;;;x
prepare_treasure_fleet_desc;Order the preparation of a Treasure Fleet. While preparing a Treasure Fleet, you cannot declare war.;;;;;;;;;;;;;x
ask_to_join_treasure_fleet;Request to join Treasure Fleet;;;;;;;;;;;;;x
ask_to_join_treasure_fleet_desc;Request permission to join the Treasure Fleet. You will be unable to be part of any faction and unable to declare war if this request is accepted.;;;;;;;;;;;;;x
end_treasure_fleet_preparation_participation;Decline Treasure Fleet participation;;;;;;;;;;;;;x
end_treasure_fleet_preparation_participation_desc;Change your mind about being part of the Treasure Fleet.;;;;;;;;;;;;;x
end_treasure_fleet_voyage_participation;Leave the Treasure Fleet;;;;;;;;;;;;;x
end_treasure_fleet_voyage_participation_desc;Declare your intent to head back to China when the Treasure Fleet leaves port.;;;;;;;;;;;;;x
EVTTITLE_TREASURE_FLEET_1;A Treasure Fleet;;;;;;;;;;;;;x
EVTDESC_TREASURE_FLEET_1;You have decided to begin the preparations to launch a Treasure Fleet, which will show various barbarians the might and splendor of the Middle Kingdom and prove once and for all that you alone possess the Mandate of Heaven and deserve the Dragon Throne.\n\nThe preparations will take some time, of course, as it is impossible to ready the necessary ships or their contents overnight, but the shipwrights of the Middle Kingdom are expected to be up to the task, and the people of your realm will hopefully be of assistance as well.;;;;;;;;;;;;;x
EVTOPTA_TREASURE_FLEET_1;It will be auspicious!;;;;;;;;;;;;;x
EVTTITLE_TREASURE_FLEET_2;A Treasure Fleet;;;;;;;;;;;;;x
