#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
convince_to_straighten_up_chinese;Convince to Straighten up;Se reprendre en main;Überrede zur Besserung;;Convencer para enderezar;;;;;;;;;x;;;;;;;;;;;;
convince_to_straighten_up_chinese_desc;Attempt to reason with §Y[This.GetBestName]§!, asking him to clean up his act. There is no guarantee that this will succeed, but having a high Learning or Diplomacy skill will help.;Tenter de raisonner §Y[This.GetBestName]§! en lui demandant de se reprendre en main. La réussite n'est nullement garantie mais une érudition ou une diplomatie élevée vous aidera.;Versucht, §Y[This.GetBestName]§! zu überzeugen, sein Leben in Ordnung zu bringen. Es gibt keine Garantie auf Erfolg, aber hohe Bildung und Diplomatie hilft.;;Intentar razonar con §Y[This.GetBestName]§!, pidiéndole que reforme su conducta. No hay garantías de éxito, pero una habilidad alta de Aprendizaje o Diplomacia ayudará.;;;;;;;;;x;;;;;;;;;;;;
chinese_castrate_decision;Castrate [Root.GetTitledFirstName];Castrer [Root.GetTitledFirstName];[Root.GetTitledFirstName] kastrieren;;Castrado [Root.GetTitledFirstName];;;;;;;;;x
chinese_castrate_decision_desc;As he is your prisoner, you may give the order to castrate [Root.GetTitledFirstName] and turn him into a eunuch. He will then be a free man, but unable to sire more spawn or hold landed titles. A severe punishment.;Comme il est votre prisonnier, vous pouvez donner l'ordre de castrer [Root.GetTitledFirstName] et le changer en eunuque. Il sera un homme libre, mais incapable d'engendrer une descendance ou de posséder des terres. Un châtiment sévère.;Als Euer Gefangener habt Ihr das Recht, [Root.GetTitledFirstName] kastrieren zu lassen und ihn zum Eunuchen zu machen. Er ist dann ein freier Mann, doch unfähig Nachkommen zu zeugen oder Grundbesitz sein Eigen zu nennen. Eine schwere Strafe.;;Cuando él es preso tuyo, puedes ordenar su castración a [Root.GetTitledFirstName] y conventirle en eunuco.  De ese modo será un hombre libre, incapaz de engendrar y sin posibilidad de ostentar títulos de hacendado. Un castigo duro. ;;;;;;;;;x
#convert_to_confucianism;Convert to Confucianism;Conversion au confucianisme;Konvertiert zum Konfuzianismus;;Convertir al Confucianismo;;;;;;;;;;x;;;;;;;;;;;
#convert_to_confucianism_desc;The Chinese religions have so many traditions in common, and the people's beliefs are so mixed, that it is not impossible for a person to simply choose to convert from one of the religions to another. Such a choice may only be made once in a lifetime, however.;Les religions indiennes possèdent tant de traditions communes, et les croyances sont si mélangées, qu'il n'est pas impossible pour quelqu'un de simplement choisir de se convertir à une autre des religions concernées. Cependant, on ne peut faire ce choix qu'une fois au cours d'une vie.;Die indischen Religionen haben so viel gemein und die Glaubensvorstellungen vermischen sich so stark, dass es nicht unmöglich ist, einfach zwischen ihnen zu wechseln. Solch eine Wahl kann allerdings nur einmal im Leben getroffen werden.;;Las religiones indias tienen tantas tradiciones en común y las creencias están tan mezcladas, que no es imposible para alguien simplemente convertirse de una religión a otra. Aunque es una decisión que solo se puede tomar una vez en la vida.;;;;;;;;;x;;;;;;;;;;;;
#convert_to_amidism;Convert to Amidism;Conversion au amidisme;Konvertiert zum Amidismus;;Convertir al Amidismo;;;;;;;;;;x;;;;;;;;;;;
#convert_to_amidism_desc;The Cataian and Indian religions have so many traditions in common, and the people's beliefs are so mixed, that it is not impossible for a person to simply choose to convert from one of the religions to another. Such a choice may only be made once in a lifetime, however.;Les religions indiennes possèdent tant de traditions communes, et les croyances sont si mélangées, qu'il n'est pas impossible pour quelqu'un de simplement choisir de se convertir à une autre des religions concernées. Cependant, on ne peut faire ce choix qu'une fois au cours d'une vie.;Die indischen Religionen haben so viel gemein und die Glaubensvorstellungen vermischen sich so stark, dass es nicht unmöglich ist, einfach zwischen ihnen zu wechseln. Solch eine Wahl kann allerdings nur einmal im Leben getroffen werden.;;Las religiones indias tienen tantas tradiciones en común y las creencias están tan mezcladas, que no es imposible para alguien simplemente convertirse de una religión a otra. Aunque es una decisión que solo se puede tomar una vez en la vida.;;;;;;;;;x;;;;;;;;;;;;
#convert_to_taoism;Convert to Taoism;Conversion au taoïsme;Konvertiert zum Taoismus;;Convertir al Taoísmo;;;;;;;;;;x;;;;;;;;;;;
#convert_to_taoism_desc;The Chinese religions have so many traditions in common, and the people's beliefs are so mixed, that it is not impossible for a person to simply choose to convert from one of the religions to another. Such a choice may only be made once in a lifetime, however.;Les religions indiennes possèdent tant de traditions communes, et les croyances sont si mélangées, qu'il n'est pas impossible pour quelqu'un de simplement choisir de se convertir à une autre des religions concernées. Cependant, on ne peut faire ce choix qu'une fois au cours d'une vie.;Die indischen Religionen haben so viel gemein und die Glaubensvorstellungen vermischen sich so stark, dass es nicht unmöglich ist, einfach zwischen ihnen zu wechseln. Solch eine Wahl kann allerdings nur einmal im Leben getroffen werden.;;Las religiones indias tienen tantas tradiciones en común y las creencias están tan mezcladas, que no es imposible para alguien simplemente convertirse de una religión a otra. Aunque es una decisión que solo se puede tomar una vez en la vida.;;;;;;;;;x;;;;;;;;;;;;
#convert_chinese_branch;Change Religious Branch;Conversion à une autre branche de votre religion;Konvertiert zu einem anderen Zweig Eurer Religion;;Convertir a otra rama de tu religión;;;;;;;;;x;;;;;;;;;;;;
#convert_chinese_branch_desc;A person following any of the Cataian religions may convert from one branch of their religion to another. Such a choice may only be made once in a lifetime, however.;Un adepte de n'importe laquelle des religions indiennes peut se convertir à l'une des autres branches de sa religion. Cependant, on ne peut faire ce choix qu'une fois au cours d'une vie.;Ein Anhänger indischer Religion kann von einem Zweig des Glaubens zu einem anderen wechseln. Solch eine Wahl kann allerdings nur einmal im Leben getroffen werden.;;Un seguidor de cualquier religión india puede convertirse de una rama de su religión a otra. Aunque es una decisión que solo se puede tomar una vez en la vida.;;;;;;;;;x;;;;;;;;;;;;
chinese_has_not_converted;Has not already converted;Ne s'est pas déjà converti;Ist noch nicht konvertiert;;Aún no se ha convertido;;;;;;;;;x
