#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# WotRS
nick_sword_of_the_shifting_sands;the Sword of the Shifting Sands;;;;;;;;;;;;;x
nick_sword_of_christ;the Sword of Christ;;;;;;;;;;;;;x
nick_sword_of_winter;the Sword of Winter;;;;;;;;;;;;;x
nick_sword_of_the_steppes;the Sword of the Steppes;;;;;;;;;;;;;x
nick_sword_of_the_dragon;the Sword of the Dragon;;;;;;;;;;;;;x
nick_sword_of_serpents;the Sword of Serpents;;;;;;;;;;;;;x
nick_kensei;Kensei;;;;;;;;;;;;;x
# Easter Eggs
nick_the_successor;the Successor;;;;;;;;;;;;;x
nick_the_lever_puller;the Lever-Puller;;;;;;;;;;;;;x
# Ainu child (nick)names
nick_ayay;Ayay;;;;;;;;;;;;;x
nick_shipo;Shipo;;;;;;;;;;;;;x
nick_poyshi;Poyshi;;;;;;;;;;;;;x
nick_shion;Shion;;;;;;;;;;;;;x
# Japanese flavor
nick_of_the_nine_tails;the Nine-Tailed Fox;;;;;;;;;;;;;x
# Japan
nick_dokuganryu;Dokuganryu;;;;;;;;;;;;;x
nick_the_tiger_of_capital;the Tiger of [Root.Capital.GetName];;;;;;;;;;;;;x
nick_the_dragon_of_capital;the Dragon of [Root.Capital.GetName];;;;;;;;;;;;;x
nick_nihongi_no_tsubone;Nihongi no tsubone;;;;;;;;;;;;;x
nick_ichi_no_hito;Ichi no Hito;;;;;;;;;;;;;x
nick_hachimantaro;Hachimantaro;;;;;;;;;;;;;x
nick_nanoka_no_kampaku;Nanoka no Kampaku;;;;;;;;;;;;;x
# China
nick_iron_arm;Iron Arm;;;;;;;;;;;;;x
nick_the_dragon_in_the_clouds;the Dragon in the Clouds;;;;;;;;;;;;;x
nick_the_striking_hawk;the Striking Hawk;;;;;;;;;;;;;x
nick_the_featherless_arrow;the Featherless Arrow;;;;;;;;;;;;;x
nick_the_blue_faced_beast;the Blue-Faced Beast;;;;;;;;;;;;;x
nick_the_impatient_vanguard;the Impatient Vanguard;;;;;;;;;;;;;x
nick_the_double_headed_serpent;the Double-headed Serpent;;;;;;;;;;;;;x
nick_the_twin_tailed_scorpion;the Twin-tailed Scorpion;;;;;;;;;;;;;x
# Korea
nick_the_fool;the Fool;;;;;;;;;;;;;x
nick_the_dragon_king;the Dragon King;;;;;;;;;;;;;x
# Dragonslayers
nick_the_dragonslayer;the Dragonslayer;;;;;;;;;;;;;x
nick_the_crusader_special;the Crusader;;;;;;;;;;;;;x
nick_the_squire;the Squire;;;;;;;;;;;;;x
nick_the_huntress;the Huntress;;;;;;;;;;;;;x
nick_the_goliath;the Goliath;;;;;;;;;;;;;x
nick_of_lydda;of Lydda;;;;;;;;;;;;;x
nick_of_the_glorious_goods;of the Glorious Goods;;;;;;;;;;;;;x
nick_oakenshield;Oakenshield;;;;;;;;;;;;;x
nick_the_charming;the Charming;;;;;;;;;;;;;x
nick_the_wyld;the Wyld;;;;;;;;;;;;;x
nick_the_of_the_black_arrow;of the Black Arrow;;;;;;;;;;;;;x
nick_the_blade;the Blade;;;;;;;;;;;;;x
nick_of_the_white_lotus;of the White Lotus;;;;;;;;;;;;;x
