#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
religion_feature_sanamahi;Spirits and Ancestors;;;;;;;;;;;;;x
religion_feature_sanamahi_desc;Our path forward must be guided by the wisdom of the spirits of the world and the examples set by our righteous ancestors.;;;;;;;;;;;;;x
religion_feature_chinese;Sons of Heaven;;;;;;;;;;;;;x
religion_feature_chinese_desc;The Heavens hold many secrets, and our leaders must be chosen from those wise enough to discover those secrets.;;;;;;;;;;;;;x
chinese_imperial_package_deal;Confucian Principles;;;;;;;;;;;;;x
chinese_imperial_package_deal_desc;While the Confucian faith is not the true faith, adhering to some of its principles will ensure stability and wise leadership.;;;;;;;;;;;;;x
religion_feature_korean;Spiritual Wisdom;;;;;;;;;;;;;x
religion_feature_korean_desc;We must understand the wisdom of the spirits of the world to move forward, and we should choose the wisest among us to lead us down the right path.;;;;;;;;;;;;;x
religion_feature_ryukyuan_three_mountains;The Three Mountains;;;;;;;;;;;;;x
religion_feature_ryukyuan_three_mountains_desc;It is the destiny of Ryukyu to rule all of the world, and both men and women must be permitted to help us with our relentless pursuit of this destiny.;;;;;;;;;;;;;x
religion_feature_ryukyuan_historical;Children of the Seas;;;;;;;;;;;;;x
religion_feature_ryukyuan_historical_desc;Our future can be found on the seas of the world, and all men and women should be prepared to sail to seek out this destiny.;;;;;;;;;;;;;x
religion_feature_melanesian;People of the Pacific;;;;;;;;;;;;;x
religion_feature_melanesian_desc;We must set forth across the seas of the world to find the wisdom of the spirits, no matter where it may be found.;;;;;;;;;;;;;x
religion_feature_viet;Meritorious Ancestors;;;;;;;;;;;;;x
religion_feature_viet_desc;Our leaders shall be chosen based on individual merits rather than the order of birth, and they shall lead us according to the wisdom of our ancestors.;;;;;;;;;;;;;x
religion_feature_dayak;Sacrifices for the Ancestors;;;;;;;;;;;;;x
religion_feature_dayak_desc;We must all make the proper sacrifices to ensure that our honored ancestors share their wisdom with us.;;;;;;;;;;;;;x
religion_feature_ainu;Honor for the Spirits;;;;;;;;;;;;;x
religion_feature_ainu_desc;We must all make sacrifices honoring the spirits of the world in order to be blessed with prosperity and safety;;;;;;;;;;;;;x
RULE_RYUKYUAN_REFORMATION;Ryukyuan Reformation Doctrines;;;;;;;;;;;;;x
RULE_RYUKYUAN_REFORMATION_THREE_MOUNTAINS_DISABLED;No Three Mountains;;;;;;;;;;;;;x
RULE_RYUKYUAN_REFORMATION_THREE_MOUNTAINS_DISABLED_DESC;The "The Three Mountains" doctrine, focusing on world conquest, cannot be selected when reforming the Ryukyuan religion.;;;;;;;;;;;;;x
RULE_RYUKYUAN_REFORMATION_THREE_MOUNTAINS_NO_AI;No AI Three Mountains;;;;;;;;;;;;;x
RULE_RYUKYUAN_REFORMATION_THREE_MOUNTAINS_NO_AI_DESC;The AI is not allowed to select the "The Three Mountains" when reforming the Ryukyuan religion.;;;;;;;;;;;;;x
RULE_RYUKYUAN_REFORMATION_THREE_MOUNTAINS_ALLOWED;Three Mountains allowed;;;;;;;;;;;;;x
RULE_RYUKYUAN_REFORMATION_THREE_MOUNTAINS_ALLOWED_DESC;The "The Three Mountains" doctrine is allowed when reforming the Ryukyuan religion, and the AI is very likely to choose it.;;;;;;;;;;;;;x
RULE_RYUKYUAN_REFORMATION_THREE_MOUNTAINS_ONLY;Only Three Mountains;;;;;;;;;;;;;x
RULE_RYUKYUAN_REFORMATION_THREE_MOUNTAINS_ONLY_DESC;The more historical Ryukyuan doctrine is not allowed to be chosen, the "The Three Mountains" doctrine is allowed, and the AI is very likely to choose it.;;;;;;;;;;;;;x
RULE_CHINESE_IMPERIAL_PACKAGE_DEAL;Chinese Imperial reformations;;;;;;;;;;;;;x
RULE_CHINESE_IMPERIAL_PACKAGE_DEAL_DISABLED;Disabled;;;;;;;;;;;;;x
RULE_CHINESE_IMPERIAL_PACKAGE_DEAL_DISABLED_DESC;The "Confucian Principles" doctrine cannot be chosen on reformation.;;;;;;;;;;;;;x
RULE_CHINESE_IMPERIAL_PACKAGE_DEAL_NO_AI;No AI Chinese Imperial reformations;;;;;;;;;;;;;x
RULE_CHINESE_IMPERIAL_PACKAGE_DEAL_NO_AI_DESC;The AI is not allowed to pick the "Confucian Principles" doctrine.;;;;;;;;;;;;;x
RULE_CHINESE_IMPERIAL_PACKAGE_DEAL_CHINESE_ONLY;Shenist only;;;;;;;;;;;;;x
RULE_CHINESE_IMPERIAL_PACKAGE_DEAL_CHINESE_ONLY_DESC;Only Shenist reformers have access to the "Confucian Principles" doctrine.;;;;;;;;;;;;;x
RULE_CHINESE_IMPERIAL_PACKAGE_DEAL_CHINESE_ONLY_NO_AI;Shenist only, no AI;;;;;;;;;;;;;x
RULE_CHINESE_IMPERIAL_PACKAGE_DEAL_CHINESE_ONLY_NO_AI_DESC;Only non-AI Shenist reformers have access to the "Confucian Principles" doctrine.;;;;;;;;;;;;;x
RULE_CHINESE_IMPERIAL_PACKAGE_DEAL_ALLOWED;Enabled;;;;;;;;;;;;;x
RULE_CHINESE_IMPERIAL_PACKAGE_DEAL_ALLOWED_DESC;Shenist, Muist, and Thanist reformers are allowed to pick the "Confucian Principles" doctrine, and the AI is very likely to do so.;;;;;;;;;;;;;x
tb_great_pillar_chinese;Great [chinese_pagan.GetName] Altar;;;;;;;;;;;;x
tb_great_pillar_korean;Great [korean_pagan.GetName] Altar;;;;;;;;;;;;x
tb_great_pillar_ainu;Great Bear Totem;;;;;;;;;;;;x
tb_great_pillar_ryukyuan;Great Stone Tablet;;;;;;;;;;;;x
tb_great_pillar_dayak;Great Sandung;;;;;;;;;;;;x
tb_great_pillar_melanesian;Great Pillar;;;;;;;;;;;;x
tb_great_pillar_sanamahi;Great Idol;;;;;;;;;;;;x
tb_great_pillar_viet;Great [viet_pagan.GetName] Altar;;;;;;;;;;;;x
tb_great_pillar_chinese_desc;A sacred carved altar bearing deep religious significance for the local pagan tribes.;;;;;;;;;;;;x
tb_great_pillar_korean_desc;;A sacred carved altar bearing deep religious significance for the local pagan tribes.;;;;;;;;;;;;x
tb_great_pillar_ainu_desc;A tall sacred totem bearing deep religious significance for the local pagan tribes.;;;;;;;;;;;;x
tb_great_pillar_ryukyuan_desc;An immense stone tablet bearing deep religious significance for the local pagan tribes.;;;;;;;;;;;;x
tb_great_pillar_dayak_desc;A sacred mausoleum bearing deep religious significance for the local pagan tribes.;;;;;;;;;;;;x
tb_great_pillar_melanesian_desc;A sacred carved pillar bearing deep religious significance for the local pagan tribes.;;;;;;;;;;;;x
tb_great_pillar_sanamahi_desc;A sacred golden pillar bearing deep religious significance for the local pagan tribes.;;;;;;;;;;;;x
tb_great_pillar_viet_desc;;A sacred carved altar bearing deep religious significance for the local pagan tribes.;;;;;;;;;;;;x
EVTDESCHF23470_CHINESE;By constructing this Great Altar, the fires of the [Root.Religion.GetName] faith have been stoked, bringing a bit of life to the spirits of our old and fierce gods. The first offerings are already being presented at the feet of the new sacred monument of [From.GetName].;;;;;;;;;;;;x
EVTDESCHF23470_KOREAN;By constructing this Great Altar, the fires of the [Root.Religion.GetName] faith have been stoked, bringing a bit of life to the spirits of our old and fierce gods. The first offerings are already being presented at the feet of the new sacred monument of [From.GetName].;;;;;;;;;;;;x
EVTDESCHF23470_AINU;By carving this Great Bear Totem, the fires of the [Root.Religion.GetName] faith have been stoked, bringing a bit of life to the spirits of our old and fierce gods. The first offerings are already being presented at the feet of the new sacred monument of [From.GetName].;;;;;;;;;;;;x
EVTDESCHF23470_RYUKYUAN;By erecting this Great Stone Tablet, the fires of the [Root.Religion.GetName] faith have been stoked, bringing a bit of life to the spirits of our old and fierce gods. The first offerings are already being presented at the feet of the new sacred monument of [From.GetName].;;;;;;;;;;;;x
