#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_lamuri;Lamuri;;;;;;;;;;;;;x
d_andaman;Andaman;;;;;;;;;;;;;x
d_aru;Aru;;;;;;;;;;;;;x
b_peureulak;Peureulak;;;;;;;;;;;;;x
d_nias;Nias;;;;;;;;;;;;;x
b_tanahbala;Tanahbala;;;;;;;;;;;;;x
k_riau;Riau;;;;;;;;;;;;;x
b_bagansiapiapi;Bagansiapiapi;;;;;;;;;;;;;x
b_dumai;Dumai;;;;;;;;;;;;;x
d_kampar;Kampar;;;;;;;;;;;;;x
b_kuantan_singingi;Kuantan Singingi;;;;;;;;;;;;;x
d_mentawai;Mentawai;;;;;;;;;;;;;x
b_bobokan;Bobokan;;;;;;;;;;;;;x
b_pagai;Pagai;;;;;;;;;;;;;x
d_padang;Padang;;;;;;;;;;;;;x
b_pandan;Pandan;;;;;;;;;;;;;x
b_lubuk_basung;Lubuk Basung;;;;;;;;;;;;;x
b_padang;Padang;;;;;;;;;;;;;x
d_pelalawan;Pelalawan;;;;;;;;;;;;;x
b_bengkalis;Bengkalis;;;;;;;;;;;;;x
b_tembilahan;Tembilahan;;;;;;;;;;;;;x
d_riau_islands;Riau Islands;;;;;;;;;;;;;x
d_kerinci;Kerinci;;;;;;;;;;;;;x
b_siulak;Siulak;;;;;;;;;;;;;x
b_kayuagung;Kayu Agung;;;;;;;;;;;;;x
b_sekayu;Sekayu;;;;;;;;;;;;;x
d_muara_enim;Muara Enim;;;;;;;;;;;;;x
b_muara_beliti;Muara Beliti;;;;;;;;;;;;;x
b_gunungmegang;Gunungmegang;;;;;;;;;;;;;x
d_bengkulu;Bengkulu;;;;;;;;;;;;;x
b_bintuhan;Bintuhan;;;;;;;;;;;;;x
b_kota_agung_pusat;Kota Agung Pusat;;;;;;;;;;;;;x
d_lampung;Lampung;;;;;;;;;;;;;x
b_bandar_lampung;Bandar Lampung;;;;;;;;;;;;;x
b_malang;Malang;;;;;;;;;;;;;x
b_popayato;Popayato;;;;;;;;;;;;;x
b_buol;Buol;;;;;;;;;;;;;x
d_donggala;Donggala;;;;;;;;;;;;;x
b_donggala;Donggala;;;;;;;;;;;;;x
b_mamuju;Mamuju;;;;;;;;;;;;;x
b_poso;Poso;;;;;;;;;;;;;x
d_ampana;Ampana;;;;;;;;;;;;;x
b_ampana;Ampana;;;;;;;;;;;;;x
b_luwuk;Luwuk;;;;;;;;;;;;;x
k_kalimantan;Kailmantan;;;;;;;;;;;;;x
d_seruyan;Seruyan;;;;;;;;;;;;;x
b_nanga_bulik;Nanga Bulik;;;;;;;;;;;;;x
b_seruyan;Seruyan;;;;;;;;;;;;;x
b_paringin;Paringin;;;;;;;;;;;;;x
b_kotabaru;Kota Baru;;;;;;;;;;;;;x
b_tana_paser;Tana Paser;;;;;;;;;;;;;x
d_kutai;Kutai;;;;;;;;;;;;;x
b_kutai;Kutai;;;;;;;;;;;;;x
b_tanjung_redeb;Tajung Redeb;;;;;;;;;;;;;x
b_tanjung_selor;Tajung Selor;;;;;;;;;;;;;x
d_tarakan;Tarakan;;;;;;;;;;;;;x
b_tarakan;Tarakan;;;;;;;;;;;;;x
c_malinau;Selamban;;;;;;;;;;;;;x
b_malinau;Selamban;;;;;;;;;;;;;x
k_sarawak;Sarawak;;;;;;;;;;;;;x
d_kuching;Kuching;;;;;;;;;;;;;x
b_kuching;Kuching;;;;;;;;;;;;;x
b_sarikei;Sarikei;;;;;;;;;;;;;x
b_mukah;Mukah;;;;;;;;;;;;;x
b_kapit;Kapit;;;;;;;;;;;;;x
b_bintulu;Bintulu;;;;;;;;;;;;;x
d_miri;Miri;;;;;;;;;;;;;x
d_sabah;Sabah;;;;;;;;;;;;;x
b_kota_kinabalu;Kota Kinabalu;;;;;;;;;;;;;x
b_kota_marudu;Kota Marudu;;;;;;;;;;;;;x
b_sandakan;Sandakan;;;;;;;;;;;;;x
b_tawao;Tawao;;;;;;;;;;;;;x
b_sumbawa;Sumbawa;;;;;;;;;;;;;x
b_kelang;Kelang;;;;;;;;;;;;;x
b_phatthalung;Phatthalung;;;;;;;;;;;;;x
d_kuantan;Kuantan;;;;;;;;;;;;;x
b_bentung;Bentung;;;;;;;;;;;;;x
b_terengganu;Terengganu;;;;;;;;;;;;;x
b_bolo2;Bolo;;;;;;;;;;;;;x
c_pulau;Simeulue;;;;;;;;;;;;;x
b_bunguran;Bunguran;;;;;;;;;;;;;x
b_tiga;Tiga;;;;;;;;;;;;;x
b_midai;Midai;;;;;;;;;;;;;x
b_subi;Subi;;;;;;;;;;;;;x
b_serasan;Serasan;;;;;;;;;;;;;x
b_ranai;Ranai;;;;;;;;;;;;;x
b_singkep;Singkep;;;;;;;;;;;;;x
b_senayang;Senayang;;;;;;;;;;;;;x
b_alut;Alut;;;;;;;;;;;;;x
b_selayar;Selayar;;;;;;;;;;;;;x
b_sebangka;Sebangka;;;;;;;;;;;;;x
b_mesawak;Mesawak;;;;;;;;;;;;;x
b_bulang;Bulang;;;;;;;;;;;;;x
b_galang;Galang;;;;;;;;;;;;;x
b_sagulung;Sagulung;;;;;;;;;;;;;x
b_sekupang;Sekupang;;;;;;;;;;;;;x
b_bengkong;Bengkong;;;;;;;;;;;;;x
b_simeulue;Simeulue;;;;;;;;;;;;;x
b_teluk_dalam;Teluk Dalam;;;;;;;;;;;;;x
b_telupah;Telupah;;;;;;;;;;;;;x
b_alafan;Alafan;;;;;;;;;;;;;x
b_salang;Salang;;;;;;;;;;;;;x
b_busung;Busung;;;;;;;;;;;;;x
b_sinabang;Sinabang;;;;;;;;;;;;;x
c_tanahbala;Batu;;;;;;;;;;;;;x
