#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Merge into MekongRajas_Realms
b_thien_binh;Thien Binh;;;;;;;;;;;;;x
b_bac_kan;Bac Kan;;;;;;;;;;;;;x
b_dien_bien;Dien Bien;;;;;;;;;;;;;x
b_lai_chau;Lai Chau;;;;;;;;;;;;;x
d_lao_cai;Tuyen Quang;;;;;;;;;;;;;x
b_tuy_hoa;Tuy Hoa;;;;;;;;;;;;;x
b_thanh_ho;Thanh Ho;;;;;;;;;;;;;x
b_duong_long;Duong Long;;;;;;;;;;;;;x
b_hung_thanh;Hung Thanh;;;;;;;;;;;;;x
b_canh_tien;Canh Tien;;;;;;;;;;;;;x
b_thoc_loc;Thoc Loc;;;;;;;;;;;;;x
b_thuy_thien;Thuy Thien;;;;;;;;;;;;;x
b_po_nagar;Po Nagar;;;;;;;;;;;;;x
b_cam_ranh;Cam Ranh;;;;;;;;;;;;;x
b_song_luy;Song Luy;;;;;;;;;;;;;x
b_an_hai;An Hai;;;;;;;;;;;;;x
c_phu_yen;Vijaya;;;;;;;;;;;;;x
c_vijaya;Binh Dinh;;;;;;;;;;;;;x
b_binh_dinh;Binh Dinh;;;;;;;;;;;;;x
b_vinh_thanh;Vinh Thanh;;;;;;;;;;;;;x
b_phu_my;Phu My;;;;;;;;;;;;;x
b_hoai_nhon;Hoai Nhon;;;;;;;;;;;;;x
b_hoai_an;Hoai An;;;;;;;;;;;;;x
b_an_lao;An Lao;;;;;;;;;;;;;x
b_an_khe;An Khe;;;;;;;;;;;;;x
b_ly_son;Ly Son;;;;;;;;;;;;;x
b_indrapura;Indrapura;;;;;;;;;;;;;x
b_my_son;My Son;;;;;;;;;;;;;x
b_singhapura;Singhapura;;;;;;;;;;;;;x
b_cua_han;Cua Han;;;;;;;;;;;;;x
b_hai_chau;Hai Chau;;;;;;;;;;;;;x
b_thoc_quang;Thoc Quang;;;;;;;;;;;;;x
b_hoi_an;Hoi An;;;;;;;;;;;;;x
b_phu_xuang;Phu Xuang;;;;;;;;;;;;;x
b_thuan_hoa;Thuan Hoa;;;;;;;;;;;;;x
b_vinh_an;Vinh An;;;;;;;;;;;;;x
b_thuan_thai;Thuan Thai;;;;;;;;;;;;;x
b_nui_bang;Nui Bang;;;;;;;;;;;;;x
b_song_huong;Song Huong;;;;;;;;;;;;;x
b_kandapurpura;Kandapurpura;;;;;;;;;;;;;x
b_thach_xa_ha;Thach Xa Ha;;;;;;;;;;;;;x
b_le_thuy;Le Thuy;;;;;;;;;;;;;x
b_dong_hoi;Dong Hoi;;;;;;;;;;;;;x
b_da_nhay;Da Nhay;;;;;;;;;;;;;x
b_phong_nha;Phong Nha;;;;;;;;;;;;;x
b_ba_don;Ba Don;;;;;;;;;;;;;x
b_hong_linh;Hong Linh;;;;;;;;;;;;;x
b_vinh;Vinh;;;;;;;;;;;;;x
b_nghi_van;Nghi Van;;;;;;;;;;;;;x
b_thanh_hung;Thanh Hung;;;;;;;;;;;;;x
b_hoang_mai;Hoang Mai;;;;;;;;;;;;;x
b_hoa_binh;Hoa Binh;;;;;;;;;;;;;x
b_na_toc;Na Toc;;;;;;;;;;;;;x
b_den_din;Den Din;;;;;;;;;;;;;x
b_con_cuong;Con Cuong;;;;;;;;;;;;;x
b_que_phong;Que Phong;;;;;;;;;;;;;x
b_lang_chanh;Lang Chanh;;;;;;;;;;;;;x
b_my_hoa;My Hoa;;;;;;;;;;;;;x
b_dai_la;Dai La;;;;;;;;;;;;;x
b_tan_hoa;Tan Hoa;;;;;;;;;;;;;x
b_tu_son;Tu Son;;;;;;;;;;;;;x
b_son_tay;Son Tay;;;;;;;;;;;;;x
b_vinh_yen;Vinh Yen;;;;;;;;;;;;;x
b_phuc_yen;Phuc Yen;;;;;;;;;;;;;x
b_trung_hoa;Trung Hoa;;;;;;;;;;;;;x
b_bao_ha;Bao Ha;;;;;;;;;;;;;x
b_sa_pa;Sa Pa;;;;;;;;;;;;;x
b_muong_thanh;Muong Thanh;;;;;;;;;;;;;x
b_muong_lay;Muong Lay;;;;;;;;;;;;;x
b_sin_ho;Sin Ho;;;;;;;;;;;;;x
b_tuan_giao;Tuan Giao;;;;;;;;;;;;;x
b_ban_cang;Ban Cang;;;;;;;;;;;;;x
b_tua_chua;Tua Chua;;;;;;;;;;;;;x
b_bac_giang;Bac Giang;;;;;;;;;;;;;x
