EVTDESC_SOH_10902;[Root.GetBestName],\nI find myself in need of a Court Alchemist, and I think you would do very well in that regard. I hope you will not turn down this opportunity.\n\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTOPTA_SOH_10902;This is a great opportunity!;;;;;;;;;;;;;x
EVTDESC_SOH_10903;There are several options as to where I might acquire the ingredients I seek. I need to pick one of them.;;;;;;;;;;;;;x
EVTOPTA_SOH_10903;I will look for useful herbs in the wild!;;;;;;;;;;;;;x
EVTOPTB_SOH_10903;I will look for dangerous herbs in the wild!;;;;;;;;;;;;;x
EVTOPTC_SOH_10903;I will visit the market!;;;;;;;;;;;;;x
EVTOPTD_SOH_10903;I will visit the black market!;;;;;;;;;;;;;x
EVTOPTE_SOH_10903;I will hunt for animal parts!;;;;;;;;;;;;;x
EVTOPTF_SOH_10903;I will ask my fellow alchemists for useful ingredients!;;;;;;;;;;;;;x
EVTOPTG_SOH_10903;I will ask my fellow alchemists for dangerous ingredients!;;;;;;;;;;;;;x
EVTOPTH_SOH_10903;Actually, I think I will do this later...;;;;;;;;;;;;;x
EVTDESC_SOH_10904;I have arrived at what should be a good spot to gather some useful herbs. It is time for me to get to work.;;;;;;;;;;;;;x
EVTOPTA_SOH_10904;I just need to avoid the poisonous ones!;;;;;;;;;;;;;x
EVTDESC_SOH_10905_A;I found a large number of useful herbs in the wild. I can already think of several uses for them.;;;;;;;;;;;;;x
EVTDESC_SOH_10905_B;I found a few useful herbs in the wild. I should put them to good use.;;;;;;;;;;;;;x
EVTDESC_SOH_10905_C;I did not find many useful herbs in the wild, and some of those I found might have been harmful.;;;;;;;;;;;;;x
EVTOPTA_SOH_10905;Excellent!;;;;;;;;;;;;;x
EVTOPTB_SOH_10905;An acceptable outcome!;;;;;;;;;;;;;x
EVTOPTC_SOH_10905;That did not go well...;;;;;;;;;;;;;x
EVTDESC_SOH_10906;I have arrived at what should be a good spot to gather some dangerous herbs. It is time for me to get to work.;;;;;;;;;;;;;x
EVTOPTA_SOH_10906;I just need to avoid poisoning myself!;;;;;;;;;;;;;x
