create_real_ci_bloodline;A new Chinese Imperial bloodline will be founded.;;;;;;;;;;;;;x
create_pretender_ci_bloodline;A new pretender Chinese Imperial bloodline will be founded.;;;;;;;;;;;;;x
BA;Ba;;;;;;;;;;;;;x
BEI;Bei;;;;;;;;;;;;;x
BI;Bi;;;;;;;;;;;;;x
BING;Bing;;;;;;;;;;;;;x
CAI;Cai;;;;;;;;;;;;;x
CAO;Cao;;;;;;;;;;;;;x
CHAO;Chao;;;;;;;;;;;;;x
CHEN;Chen;;;;;;;;;;;;;x
CHENG;Cheng;;;;;;;;;;;;;x
CHU;Chu;;;;;;;;;;;;;x
DAI;Dai;;;;;;;;;;;;;x
DAO;Dao;;;;;;;;;;;;;x
DENG;Deng;;;;;;;;;;;;;x
DI;Di;;;;;;;;;;;;;x
DING;Ding;;;;;;;;;;;;;x
EEE;E;;;;;;;;;;;;;x
EMEI;Emei;;;;;;;;;;;;;x
FAN;Fan;;;;;;;;;;;;;x
GAN;Gan;;;;;;;;;;;;;x
GAO;Gao;;;;;;;;;;;;;x
GE;Ge;;;;;;;;;;;;;x
GONG;Gong;;;;;;;;;;;;;x
GUANG;Guang;;;;;;;;;;;;;x
GUO;Guo;;;;;;;;;;;;;x
HAN;Han;;;;;;;;;;;;;x
HENG;Heng;;;;;;;;;;;;;x
HU;Hu;;;;;;;;;;;;;x
HUA;Hua;;;;;;;;;;;;;x
HUANG;Huang;;;;;;;;;;;;;x
HUO;Huo;;;;;;;;;;;;;x
JI;Ji;;;;;;;;;;;;;x
JIA;Jia;;;;;;;;;;;;;x
JIANG;Jiang;;;;;;;;;;;;;x
JIE;Jie;;;;;;;;;;;;;x
JIN;Jin;;;;;;;;;;;;;x
JING;Jing;;;;;;;;;;;;;x
JU;Ju;;;;;;;;;;;;;x
LAI;Lai;;;;;;;;;;;;;x
LAN;Lan;;;;;;;;;;;;;x
LIANG;Liang;;;;;;;;;;;;;x
LIAO;Liao;;;;;;;;;;;;;x
LIU;Liu;;;;;;;;;;;;;x
LONG;Long;;;;;;;;;;;;;x
LU;Lu;;;;;;;;;;;;;x
LUO;Luo;;;;;;;;;;;;;x
LU2;Lü;;;;;;;;;;;;;x
MAO;Mao;;;;;;;;;;;;;x
MIN;Min;;;;;;;;;;;;;x
MING;Ming;;;;;;;;;;;;;x
MIU;Miu;;;;;;;;;;;;;x
NI;Ni;;;;;;;;;;;;;x
PANG;Pang;;;;;;;;;;;;;x
PENG;Peng;;;;;;;;;;;;;x
PI;Pi;;;;;;;;;;;;;x
PING;Ping;;;;;;;;;;;;;x
QI;Qi;;;;;;;;;;;;;x
QIN;Qin;;;;;;;;;;;;;x
QING;Qing;;;;;;;;;;;;;x
QUAN;Quan;;;;;;;;;;;;;x
REN;Ren;;;;;;;;;;;;;x
RUI;Rui;;;;;;;;;;;;;x
RUO;Ruo;;;;;;;;;;;;;x
SAISAI;Sai;;;;;;;;;;;;;x
SHAN;Shan;;;;;;;;;;;;;x
SHANG;Shang;;;;;;;;;;;;;x
SHAO;Shao;;;;;;;;;;;;;x
SHEN;Shen;;;;;;;;;;;;;x
SHU;Shu;;;;;;;;;;;;;x
SHUN;Shun;;;;;;;;;;;;;x
SONG;Song;;;;;;;;;;;;;x
SU;Su;;;;;;;;;;;;;x
SUI;Sui;;;;;;;;;;;;;x
TAI;Tai;;;;;;;;;;;;;x
TAN;Tan;;;;;;;;;;;;;x
TANG;Tang;;;;;;;;;;;;;x
TENG;Teng;;;;;;;;;;;;;x
TIAN;Tian;;;;;;;;;;;;;x
WEI;Wei;;;;;;;;;;;;;x
WEN;Wen;;;;;;;;;;;;;x
WUWU;Wu;;;;;;;;;;;;;x
XI;Xi;;;;;;;;;;;;;x
XIA;Xia;;;;;;;;;;;;;x
XIAN;Xian;;;;;;;;;;;;;x
XIANG;Xiang;;;;;;;;;;;;;x
XIE;Xie;;;;;;;;;;;;;x
