EVTDESC_SOH_4704;The current balance of power when it comes to different interest groups in the court of the [Root.Liege.GetSonDaughterCap] of Heaven does not favor me as much as it could. Perhaps I could increase my own power by challenging one of the other interest groups?;;;;;;;;;;;;;x
EVTOPTA_SOH_4704;I will challenge the eunuchs!;;;;;;;;;;;;;x
EVTOPTB_SOH_4704;I will challenge the courtiers!;;;;;;;;;;;;;x
EVTOPTC_SOH_4704;I will challenge the vassals!;;;;;;;;;;;;;x
EVTOPTD_SOH_4704;I don't want to risk my own power...;;;;;;;;;;;;;x
EVTDESC_SOH_4706;The current balance of power when it comes to different interest groups in the court of the [Root.Liege.GetSonDaughterCap] of Heaven does not favor me as much as it could. Perhaps I could increase my own power by challenging one of the other interest groups?;;;;;;;;;;;;;x
EVTOPTA_SOH_4706;I will challenge the eunuchs!;;;;;;;;;;;;;x
EVTOPTB_SOH_4706;I will challenge the Grand Chancellor!;;;;;;;;;;;;;x
EVTOPTC_SOH_4706;I will challenge the courtiers!;;;;;;;;;;;;;x
EVTOPTD_SOH_4706;I don't want to risk my own power...;;;;;;;;;;;;;x
EVTDESC_SOH_4707_A;[eunuch_challenger.GetBestName], an influential court eunuch, is apparently not content with the current balance of power at the court, and has seen fit to challenge the authority of my Grand Chancellor, [grand_chancellor.GetBestName], seeking to either become more powerful or to weaken my Grand Chancellor.;;;;;;;;;;;;;x
EVTDESC_SOH_4707_B;An influential court eunuch is apparently not content with the current balane of power at the court, and has seen fit to challenge the authority of my Grand Chancellor, [grand_chancellor.GetBestName], seeking to either become more powerful or to weaken my Grand Chancellor.;;;;;;;;;;;;;x
EVTOPTA_SOH_4707;The eunuchs have my support!;;;;;;;;;;;;;x
EVTOPTB_SOH_4707;I will side with the Grand Chancellor!;;;;;;;;;;;;;x
EVTOPTC_SOH_4707;I see no reason to get involved...;;;;;;;;;;;;;x
EVTOPTD_SOH_4707;I will secretly oppose them both!;;;;;;;;;;;;;x
EVTOPTE_SOH_4707;I cannot get involved...;;;;;;;;;;;;;x
EVTDESC_SOH_4708_A;An influential court eunuch at the court of the [From.GetSonDaughterCap] of Heaven is apparently not content with the current balance of power at court, and has seen fit to challenge my authority as Grand Chancellor. Even worse, [From.GetBestName] has sided with the eunuchs.;;;;;;;;;;;;;x
EVTDESC_SOH_4708_B;An influential court eunuch at the court of the [From.GetSonDaughterCap] of Heaven is apparently not content with the current balance of power at court, and has seen fit to challenge my authority as Grand Chancellor. However, [From.GetBestName] is siding with me.;;;;;;;;;;;;;x
EVTDESC_SOH_4708_C;An influential court eunuch at the court of the [From.GetSonDaughterCap] of Heaven is apparently not content with the current balance of power at court, and has seen fit to challenge my authority as Grand Chancellor. [From.GetBestName] has not sided with either side.;;;;;;;;;;;;;x
EVTDESC_SOH_4708_D;An influential court eunuch at the court of the [From.GetSonDaughterCap] of Heaven is apparently not content with the current balance of power at court, and has seen fit to challenge my authority as Grand Chancellor. Naturally, [From.GetBestName] is unable to get involved.;;;;;;;;;;;;;x
EVTOPTA_SOH_4708;The [From.GetSonDaughterCap] of Heaven's help won't be enough!;;;;;;;;;;;;;x
EVTOPTB_SOH_4708;I will not disappoint [From.GetBestName]!;;;;;;;;;;;;;x
EVTOPTC_SOH_4708;I suppose that's fine...;;;;;;;;;;;;;x
EVTOPTD_SOH_4708;Hardly surprising!;;;;;;;;;;;;;x
EVTDESC_SOH_4710_A;The eunuchs are presenting their best arguments as to why my authority should be decreased, or why their authority should be increased, and as the challenging party they can choose what to focus on. It seems they primarily are questioning whether I can handle disputes in a calm and rational manner.;;;;;;;;;;;;;x
EVTDESC_SOH_4710_B;The eunuchs are presenting their best arguments as to why my authority should be decreased, or why their authority should be increased, and as the challenging party they can choose what to focus on. It seems they primarily are challenging my ability to help lead the realm's armies to victory.;;;;;;;;;;;;;x
EVTDESC_SOH_4710_C;The eunuchs are presenting their best arguments as to why my authority should be decreased, or why their authority should be increased, and as the challenging party they can choose what to focus on. It seems they primarily are attempting to prove that I am unable to govern wisely.;;;;;;;;;;;;;x
EVTDESC_SOH_4710_D;The eunuchs are presenting their best arguments as to why my authority should be decreased, or why their authority should be increased, and as the challenging party they can choose what to focus on. It seems they primarily are focusing on underhanded means to gain an advantage.;;;;;;;;;;;;;x
EVTDESC_SOH_4710_E;The eunuchs are presenting their best arguments as to why my authority should be decreased, or why their authority should be increased, and as the challenging party they can choose what to focus on. It seems they primarily are claiming that I am not learned enough to deserve my current authority.;;;;;;;;;;;;;x
EVTOPTA_SOH_4710;A foolish choice!;;;;;;;;;;;;;x
EVTOPTB_SOH_4710;I think I can deal with that...;;;;;;;;;;;;;x
EVTOPTC_SOH_4710;That is hard for me to oppose...;;;;;;;;;;;;;x
EVTDESC_SOH_4712;I have successfully managed to get both the court eunuchs and my Grand Chancellor to discredit one another in a convincing manner by asking the right questions at the right time while appearing as merely a neutral observer. Today, I finally had every justification necessary to weaken both sides.;;;;;;;;;;;;;x
EVTOPTA_SOH_4712;They never saw it coming!;;;;;;;;;;;;;x
