EVTDESC_SOH_601;Preparations have begun for the Chuseok. Doubtlessly my servants have most things under control, but there will likely be things that I have to get involved in.;;;;;;;;;;;;;x
EVTOPTA_SOH_601;I'll offer input when necessary...;;;;;;;;;;;;;x
EVTDESC_SOH_602;It is customary for the commoners to tend local tombs - specifically those of your own ancestors - prior to the Chuseok. I am not expected to take part, as I have matters of state to attend to, but it would doubtlessly be appreciated if I helped out.;;;;;;;;;;;;;x
EVTOPTA_SOH_602;I will give this my full attention!;;;;;;;;;;;;;x
EVTOPTB_SOH_602;I can spare a few moments...;;;;;;;;;;;;;x
EVTOPTC_SOH_602;I can spare a few servants...;;;;;;;;;;;;;x
EVTOPTD_SOH_602;This would be a waste of my time and resources!;;;;;;;;;;;;;x
EVTDESC_SOH_603;Prior to the Chuseok, it is customary to make offerings to the ancestors. I could choose not to do this, since the needs of the realm sometimes need to come first, but it would doubtlessly be taken poorlby by some people.;;;;;;;;;;;;;x
EVTOPTA_SOH_603;I will make a grand offering!;;;;;;;;;;;;;x
EVTOPTB_SOH_603;I will make a small offering...;;;;;;;;;;;;;x
EVTOPTC_SOH_603;This would be a waste of my money!;;;;;;;;;;;;;x
EVTDESC_SOH_604;One of the traditions associated with the Chuseok is the serving of songpyeon, half-moon-shaped rice cakes. My guests would definitely expect me to have some of them ready, but how much can I afford to spend on them?;;;;;;;;;;;;;x
EVTOPTA_SOH_604;I will spare no expense!;;;;;;;;;;;;;x
EVTOPTB_SOH_604;I will make sure everyone gets at least one...;;;;;;;;;;;;;x
EVTOPTC_SOH_604;Songpyeon are overrated!;;;;;;;;;;;;;x
EVTDESC_SOH_605;Though not considered as important as songpyeon, it is not rare for there to be hangwa - traditional Korean confections - served at the Chuseok. Maybe it would be worth spending some money on hangwa?;;;;;;;;;;;;;x
EVTOPTA_SOH_605;I definitely want a lot of hangwa!;;;;;;;;;;;;;x
EVTOPTB_SOH_605;A little wouldn't be amiss...;;;;;;;;;;;;;x
EVTOPTC_SOH_605;I don't think hangwa is a good idea...;;;;;;;;;;;;;x
EVTDESC_SOH_606;In addtion to various foods, my guests will likely want drinks such as makgeolli at the Chuseok. However, there is a risk that the feast could get rowdy if people drink too much, so maybe it isn't such a great idea?;;;;;;;;;;;;;x
EVTOPTA_SOH_606;Rowdy guests or not, I want a lot of drinks!;;;;;;;;;;;;;x
EVTOPTB_SOH_606;A moderate amount would be prudent...;;;;;;;;;;;;;x
EVTOPTC_SOH_606;Let's not invest in drinks!;;;;;;;;;;;;;x
EVTDESC_SOH_607;In addition to traditional food such as songpyeon, your guests will of course require some meals during the Chuseok. How much do you want to spend on regular food?;;;;;;;;;;;;;x
EVTDESC_SOH_608;With the preparations for the Chuseok all but done, it is time to send out invitations to ensure that the guests know to arrive.;;;;;;;;;;;;;x
EVTDESC_SOH_609;[Root.GetBestName],\nI am holding a Chuseok and hope that you and your relatives will be able to attend.\n\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTOPTA_SOH_609;I'll be there!;;;;;;;;;;;;;x
EVTOPTB_SOH_609;I have made other plans...;;;;;;;;;;;;;x
EVTDESC_SOH_610;[Root.GetBestName],\nI have made other plans and will not be coming to your Chuseok.\n\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTDESC_SOH_611;Shortly after my servants finished the preparations for the Chuseok my guests started arriving from near and far. It is time to be a good host and to celebrate the harvest.;;;;;;;;;;;;;x
EVTOPTA_SOH_611;Welcome! Welcome!;;;;;;;;;;;;;x
