GETSUBJECTGC;[This.GetChineseSubjectSpecificsGC];;;;;;;;;;;;;x
VOTERGC;an influential advisor of [This.Liege.GetBestName];;;;;;;;;;;;;x
CHINESEVASSALBUREAUCRATGC;an influential bureaucrat serving directly under [This.Liege.GetBestName];;;;;;;;;;;;;x
CHINESEVASSALFEUDALGC;an influential noble[This.GetManWoman] serving directly under [This.Liege.GetBestName];;;;;;;;;;;;;x
CHINESEVASSALTRIBALNOMADGC;an uncivilized subject of [This.Liege.GetBestName];;;;;;;;;;;;;x
CHINESEVASSALMRGC;a lowly merchant that is a subject of [This.Liege.GetBestName];;;;;;;;;;;;;x
CHINESESUBVASSALBUREAUCRATGC;a bureaucrat serving under [This.Liege.GetBestName];;;;;;;;;;;;;x
CHINESESUBVASSALFEUDALGC;a noble[This.GetManWoman] serving under [This.Liege.GetBestName];;;;;;;;;;;;;x
CHINESESUBVASSALTRIBALNOMADGC;an uncivilized [This.GetManWoman] serving under [This.Liege.GetBestName];;;;;;;;;;;;;x
CHINESESUBVASSALMRGC;a lowly merchant that is a subject of [This.Liege.GetBestName];;;;;;;;;;;;;x
GETBARBARIANGC;[This.GetChineseBarbarianSpecificsGC];;;;;;;;;;;;;x
FOREIGNBUREAUCRATGC;a civilized barbarian of some note;;;;;;;;;;;;;x
FOREIGNFEUDALGC;a barbarian noble[This.GetManWoman] of some note;;;;;;;;;;;;;x
FOREIGNTRIBALNOMADGC;an uncivilized barbarian [This.GetManWoman] of some note;;;;;;;;;;;;;x
FOREIGNMRGC;a lowly foreign merchant;;;;;;;;;;;;;x
FOREIGNSUBJECTGC;[GetChineseBarbarianSubjectSpecificsGC];;;;;;;;;;;;;x
FOREIGNBUREAUCRATWITHLIEGEGC;a civilized barbarian under [This.TopLiege.GetChineseBarbarianSpecificsGC] by the name of [This.TopLiege.GetBestName];;;;;;;;;;;;;x
FOREIGNFEUDALWITHLIEGEGC;a barbarian noble[This.GetManWoman] under [This.TopLiege.GetChineseBarbarianSpecificsGC] by the name of [This.TopLiege.GetBestName];;;;;;;;;;;;;x
FOREIGNTRIBALNOMADWITHLIEGEGC;an uncivilized barbarian [This.GetManWoman] under [This.TopLiege.GetChineseBarbarianSpecificsGC] by the name of [This.TopLiege.GetBestName];;;;;;;;;;;;;x
FOREIGNMRWITHLIEGEGC;a lowly foreign merchant that is a subject of [This.TopLiege.GetChineseBarbarianSpecificsGC] by the name of [This.TopLiege.GetBestName];;;;;;;;;;;;;x
FOREIGNSUBJECT;[GetChineseBarbarianSubjectSpecifics];;;;;;;;;;;;;x
GETSUBJECT;[This.GetChineseSubjectSpecificsGC];;;;;;;;;;;;;x
THEGC;my Grand Chancellor;;;;;;;;;;;;;x
VOTER;my trusted advisor;;;;;;;;;;;;;x
CHINESEVASSALBUREAUCRAT;an influential bureaucrat serving directly under me;;;;;;;;;;;;;x
CHINESEVASSALFEUDAL;an influential noble[This.GetManWoman] serving directly under me;;;;;;;;;;;;;x
CHINESEVASSALTRIBALNOMAD;an uncivilized subject mine;;;;;;;;;;;;;x
CHINESEVASSALMR;a lowly merchant that is my subject;;;;;;;;;;;;;x
CHINESESUBVASSALBUREAUCRAT;a bureaucrat serving under my subject [This.Liege.GetBestName];;;;;;;;;;;;;x
CHINESESUBVASSALFEUDAL;a noble[This.GetManWoman] serving under my subject [This.Liege.GetBestName];;;;;;;;;;;;;x
CHINESESUBVASSALTRIBALNOMAD;an uncivilized [This.GetManWoman] serving under my subject [This.Liege.GetBestName];;;;;;;;;;;;;x
CHINESESUBVASSALMR;a lowly merchant that is a subject of my subject [This.Liege.GetBestName];;;;;;;;;;;;;x
GETBARBARIAN;[This.GetChineseBarbarianSpecificsGC];;;;;;;;;;;;;x
FOREIGNBUREAUCRAT;a civilized barbarian of some note;;;;;;;;;;;;;x
FOREIGNFEUDAL;a barbarian noble[This.GetManWoman] of some note;;;;;;;;;;;;;x
FOREIGNTRIBALNOMAD;an uncivilized barbarian [This.GetManWoman] of some note;;;;;;;;;;;;;x
FOREIGNMR;a lowly foreign merchant;;;;;;;;;;;;;x
FOREIGNBUREAUCRATWITHLIEGE;a civilized barbarian under [This.TopLiege.GetChineseBarbarianSpecificsGC] by the name of [This.TopLiege.GetBestName];;;;;;;;;;;;;x
FOREIGNFEUDALWITHLIEGE;a barbarian noble[This.GetManWoman] under [This.TopLiege.GetChineseBarbarianSpecificsGC] by the name of [This.TopLiege.GetBestName];;;;;;;;;;;;;x
FOREIGNTRIBALNOMADWITHLIEGE;an uncivilized barbarian [This.GetManWoman] under [This.TopLiege.GetChineseBarbarianSpecificsGC] by the name of [This.TopLiege.GetBestName];;;;;;;;;;;;;x
FOREIGNMRWITHLIEGE;a lowly foreign merchant that is a subject of [This.TopLiege.GetChineseBarbarianSpecificsGC] by the name of [This.TopLiege.GetBestName];;;;;;;;;;;;;x
EVTTITLE_SOH_6003;Gold for the Dragon;;;;;;;;;;;;;x
